question,answer
Who developed the theory of general relativity?,Albert Einstein
Who is known as the father of modern physics and discovered the laws of motion?,Isaac Newton
Who discovered penicillin?,Alexander Fleming
Who proposed the theory of evolution by natural selection?,Charles Darwin
Who discovered radioactivity and won two Nobel Prizes in different sciences?,Marie Curie
Who is credited with inventing the telephone?,Alexander Graham Bell
Who developed the polio vaccine?,Jonas Salk
Who formulated the heliocentric model of the solar system?,Nicolaus Copernicus
Who discovered the structure of DNA along with Francis Crick?,James Watson
Who invented the first practical light bulb and phonograph?,Thomas Edison
Who is known for his laws of planetary motion?,Johannes Kepler
Who discovered the electron?,J.J. Thomson
Who developed the first successful vaccine (for smallpox)?,Edward Jenner
Who is the father of modern chemistry and named oxygen?,Antoine Lavoisier
Who discovered X-rays?,Wilhelm Röntgen
Who proposed the Big Bang theory?,Georges Lemaître
Who invented the World Wide Web?,Tim Berners-Lee
Who discovered the neutron?,James Chadwick
Who formulated the uncertainty principle in quantum mechanics?,Werner Heisenberg
Who is known for the wave equation in quantum mechanics?,Erwin Schrödinger
Who discovered the electron's charge with the oil drop experiment?,Robert Millikan
Who invented the periodic table of elements?,Dmitri Mendeleev
Who is the father of microbiology and developed pasteurization?,Louis Pasteur
Who discovered electromagnetic induction?,Michael Faraday
Who proposed the planetary model of the atom?,Niels Bohr
Who discovered the circulation of blood in the human body?,William Harvey
Who invented dynamite and established the Nobel Prizes?,Alfred Nobel
Who is known for contributions to computer science and the Turing test?,Alan Turing
Who discovered infrared radiation?,William Herschel
Who developed the classification system for living organisms?,Carl Linnaeus
