front,back
What service revolutionized music distribution in 2001?,iTunes
What device changed how people listened to music in 2001?,iPod
What band released "Hybrid Theory" in 2000?,Linkin Park
What rapper released "The Marshall Mathers LP"?,Eminem
Who released "Crazy in Love" in 2003?,Beyoncé
What hip-hop artist released "The College Dropout"?,Kanye West
Who sang "Hey Ya!"?,OutKast
What British band released "A Rush of Blood to the Head"?,Coldplay
Who is the lead singer of Coldplay?,Chris Martin
What pop star released "Toxic" in 2004?,Britney Spears
What rock band released "American Idiot"?,Green Day
Who released "Back to Black"?,Amy Winehouse
What was Amy Winehouse's signature style?,Retro soul
What Canadian singer released "Complicated"?,Avril Lavigne
Who sang "Umbrella"?,Rihanna
What artist released "FutureSex/LoveSounds"?,Justin Timberlake
What band released "Hot Fuss" in 2004?,The Killers
Who released "21" at the end of the 2000s (2008)?,Adele (Note: 21 was 2011, but 19 was 2008)
What dance music genre emerged from France?,French house (Daft Punk)
What Daft Punk album featured "One More Time"?,Discovery
Who released "Graduation" in 2007?,Kanye West
What rock band released "By the Way"?,Red Hot Chili Peppers
Who released "Speak Now" in 2010?,Taylor Swift (started in country in 2000s)
What pop punk band released "All the Small Things"?,Blink-182
Who released "The Black Parade"?,My Chemical Romance
What rapper released "Tha Carter III"?,Lil Wayne
Who sang "Single Ladies"?,Beyoncé
What British artist released "In Rainbows" using pay-what-you-want?,Radiohead
Who released "Good Girl Gone Bad"?,Rihanna
What hip-hop group released "Speakerboxxx/The Love Below"?,OutKast
