"front","back"
"¿Qué fue la Batalla de Maratón (490 a.C.)?","Una victoria decisiva de los griegos sobre el Imperio Persa en las llanuras de Maratón, preservando la independencia griega e inspirando la leyenda de la carrera de Filípides hasta Atenas"
"¿Qué fue la Batalla de las Termópilas (480 a.C.)?","Una famosa última resistencia donde 300 espartanos y aliados griegos contuvieron al enorme ejército persa de Jerjes I en un desfiladero costero durante tres días"
"¿Qué fue la Batalla de Salamina (480 a.C.)?","Una batalla naval donde la flota griega en inferioridad numérica derrotó a la armada persa en los estrechos cerca de Atenas, cambiando el curso de las Guerras Médicas"
"¿Qué fue la Batalla de Gaugamela (331 a.C.)?","La victoria decisiva de Alejandro Magno sobre el rey persa Darío III, poniendo fin efectivo al Imperio Aqueménida y convirtiendo a Alejandro en gobernante de Persia"
"¿Qué fue la Batalla de Cannas (216 a.C.)?","La obra maestra táctica de Aníbal, donde las fuerzas cartaginesas rodearon y destruyeron un ejército romano mucho mayor, matando hasta 70.000 romanos en un solo día"
"¿Qué fue la Batalla de Alesia (52 a.C.)?","El asedio de Julio César a la fortaleza gala, donde construyó dobles fortificaciones — una mirando hacia dentro y otra hacia fuera — derrotando a Vercingétorix y completando la conquista romana de la Galia"
"¿Qué fue la Batalla de Accio (31 a.C.)?","Una batalla naval donde Octaviano derrotó las fuerzas combinadas de Marco Antonio y Cleopatra, llevando al fin de la República Romana y al surgimiento del Imperio Romano"
"¿Qué fue la Batalla del Bosque de Teutoburgo (9 d.C.)?","Tribus germánicas bajo Arminio emboscaron y destruyeron tres legiones romanas, deteniendo permanentemente la expansión romana al este del río Rin"
"¿Qué fue la Batalla de Tours (732 d.C.)?","El líder franco Carlos Martel derrotó a un ejército invasor musulmán omeya en el centro de Francia, frecuentemente acreditado por detener el avance islámico en Europa Occidental"
"¿Qué fue la Batalla de Hastings (1066)?","Las fuerzas normandas de Guillermo el Conquistador derrotaron al rey Harold II de Inglaterra, cambiando fundamentalmente la cultura, el idioma y la gobernanza ingleses"
"¿Qué fue la Batalla de Hattin (1187)?","La victoria decisiva de Saladino sobre el Reino Cruzado de Jerusalén, llevando a la reconquista musulmana de Jerusalén y desencadenando la Tercera Cruzada"
"¿Qué fue la Batalla de Azincourt (1415)?","El ejército en inferioridad numérica del rey inglés Enrique V, apoyado fuertemente por arqueros de arco largo, derrotó a una fuerza francesa mucho mayor durante la Guerra de los Cien Años"
"¿Qué fue la Caída de Constantinopla (1453)?","El sultán otomano Mehmed II capturó la capital bizantina usando cañones enormes, poniendo fin al Imperio Bizantino de 1.000 años y marcando el fin de la era medieval"
"¿Qué fue la Batalla de Lepanto (1571)?","Una flota de la Liga Santa derrotó a la armada otomana en la mayor batalla naval de la historia occidental desde la antigüedad, conteniendo la expansión otomana en el Mediterráneo"
"¿Qué fue la Armada Invencible (1588)?","La fracasada flota de invasión enviada por el rey Felipe II de España contra Inglaterra, derrotada por barcos ingleses y tormentas devastadoras, trasladando el poder naval hacia Inglaterra"
"¿Qué fue la Batalla de Viena (1683)?","Una fuerza europea combinada liderada por el rey polaco Jan III Sobieski derrotó el asedio otomano de Viena, marcando el inicio del declive otomano en Europa"
"¿Qué fue la Batalla de Blenheim (1704)?","El Duque de Marlborough y el Príncipe Eugenio de Saboya derrotaron a un ejército franco-bávaro, impidiendo la dominación francesa de Europa durante la Guerra de Sucesión Española"
"¿Qué fue la Batalla de Trafalgar (1805)?","La Armada Real del Almirante Horatio Nelson destruyó la flota combinada francesa y española, asegurando la supremacía naval británica por más de un siglo, aunque Nelson murió"
"¿Qué fue la Batalla de Austerlitz (1805)?","La mayor victoria de Napoleón, donde derrotó a un ejército ruso-austríaco mayor mediante un brillante engaño táctico, también conocida como la Batalla de los Tres Emperadores"
"¿Qué fue la Batalla de Waterloo (1815)?","La derrota final de Napoleón por el Duque de Wellington y fuerzas prusianas bajo Blücher en Bélgica, poniendo fin a la era napoleónica y remodelando la política europea"
"¿Qué fue la Batalla de Gettysburg (1863)?","La batalla más sangrienta de la Guerra Civil Estadounidense, una victoria decisiva de la Unión en Pensilvania que marcó el punto de inflexión contra la Confederación"
"¿Qué fue la Batalla de Tsushima (1905)?","La armada japonesa destruyó la Flota del Báltico rusa en el estrecho entre Corea y Japón, la primera victoria moderna de una potencia asiática sobre una europea"
"¿Qué fue la Batalla del Somme (1916)?","Una de las batallas más sangrientas de la Primera Guerra Mundial, con más de 1 millón de bajas en casi cinco meses. Los británicos sufrieron 57.000 bajas solo el primer día"
"¿Qué fue la Batalla de Verdún (1916)?","Una batalla de desgaste de 10 meses en la Primera Guerra Mundial entre fuerzas francesas y alemanas, convirtiéndose en símbolo de la determinación francesa con el lema 'No pasarán'"
"¿Qué fue la Batalla de Stalingrado (1942-1943)?","El punto de inflexión del Frente Oriental en la Segunda Guerra Mundial, donde la Unión Soviética rodeó y destruyó el 6º Ejército de Alemania tras meses de brutal guerra urbana"
"¿Qué fue la Batalla de Midway (1942)?","Una batalla naval decisiva en la Segunda Guerra Mundial donde la Armada de EE.UU. hundió cuatro portaaviones japoneses, cambiando el equilibrio de poder en el Pacífico"
"¿Qué fue el Día D / Batalla de Normandía (1944)?","La mayor invasión anfibia de la historia, donde las fuerzas Aliadas desembarcaron en cinco playas de Normandía, Francia, iniciando la liberación de Europa Occidental del control nazi"
"¿Qué fue la Batalla de las Ardenas (1944-1945)?","La última gran ofensiva de Alemania en el Frente Occidental, un ataque sorpresa por las Ardenas que inicialmente empujó las líneas aliadas antes de ser derrotado"
"¿Qué fue la Batalla de Berlín (1945)?","La última gran batalla en Europa durante la Segunda Guerra Mundial, donde fuerzas soviéticas capturaron la capital alemana, llevando al suicidio de Hitler y la rendición incondicional de Alemania"
"¿Qué fue la Batalla de Dien Bien Phu (1954)?","Una victoria del Viet Minh sobre las fuerzas coloniales francesas en Vietnam, poniendo fin al dominio francés en Indochina y preparando el escenario para la intervención estadounidense en Vietnam"
