"front","back"
"O que é Python?","Uma linguagem de programação de alto nível, interpretada e de uso geral, conhecida pela sua legibilidade e simplicidade"
"O que faz o 'print()' em Python?","Exibe (imprime) o valor ou mensagem especificado no console"
"Como se declara uma variável em Python?","Simplesmente atribuindo um valor: x = 10 (sem necessidade de declarar o tipo)"
"Quais são os tipos de dados básicos do Python?","int, float, str, bool, list, tuple, dict, set"
"O que é uma lista em Python?","Uma coleção ordenada e mutável de itens: ex., minha_lista = [1, 2, 3]"
"O que é uma tupla em Python?","Uma coleção ordenada e imutável de itens: ex., minha_tupla = (1, 2, 3)"
"O que é um dicionário em Python?","Uma coleção de pares chave-valor: ex., {'nome': 'Alice', 'idade': 30}"
"O que é um conjunto (set) em Python?","Uma coleção não ordenada de elementos únicos: ex., meu_set = {1, 2, 3}"
"Como se escreve um comentário em Python?","Usando o símbolo #: # Isto é um comentário"
"O que é uma função em Python e como é definida?","Um bloco de código reutilizável definido com a palavra-chave 'def': def minha_funcao(): ..."
"O que faz a função 'len()'?","Retorna o número de itens em um objeto (string, lista, etc.)"
"O que é uma f-string em Python?","Uma string formatada usando a sintaxe f'...' que permite inserir expressões: f'Olá {nome}'"
"O que faz 'range()'?","Gera uma sequência de números, ex.: range(5) produz 0, 1, 2, 3, 4"
"Como se escreve um laço 'for' em Python?","for item in iterável: (ex., for i in range(5): print(i))"
"Como se escreve um laço 'while' em Python?","while condição: (ex., while x > 0: x -= 1)"
"Qual a diferença entre '==' e 'is' em Python?","'==' verifica igualdade de valor; 'is' verifica identidade de objeto (mesmo endereço de memória)"
"O que são list comprehensions em Python?","Uma forma concisa de criar listas: [expressão for item in iterável if condição]"
"O que faz 'import' em Python?","Carrega um módulo ou biblioteca para que suas funções e classes possam ser usadas"
"O que é 'None' em Python?","O valor nulo do Python, representando ausência de valor"
"O que é tratamento de exceções em Python?","Uso de blocos try/except para capturar e tratar erros em tempo de execução"
"O que faz 'append()' em uma lista?","Adiciona um item ao final da lista: minha_lista.append(4)"
"O que faz 'split()' em uma string?","Divide uma string em uma lista de substrings com base em um delimitador: 'a,b,c'.split(',') → ['a','b','c']"
"Qual é o propósito de '__init__' em uma classe?","É o método construtor, chamado automaticamente quando uma nova instância da classe é criada"
"O que é herança em Python?","Uma classe (filha) pode herdar atributos e métodos de outra classe (pai): class Cachorro(Animal):"
"O que faz o comando 'return'?","Encerra uma função e devolve um valor ao chamador"
"O que é uma função lambda em Python?","Uma função anônima de uma linha: lambda x: x * 2"
"O que faz 'sorted()'?","Retorna uma nova lista ordenada a partir dos itens de qualquer iterável"
"O que é um módulo Python?","Um arquivo contendo código Python (funções, classes, variáveis) que pode ser importado e reutilizado"
"Qual a diferença entre 'break' e 'continue' em laços?","'break' encerra o laço completamente; 'continue' pula o restante da iteração atual e vai para a próxima"
"O que faz 'isinstance()'?","Verifica se um objeto é uma instância de uma classe específica: isinstance(5, int) → True"
