"front","back"
"¿Qué fue la Edad Media?","Período entre la antigüedad y los tiempos modernos en Europa"
"¿Cuándo fue la Edad Media?","Aproximadamente de 500 a 1500 d.C."
"¿Qué evento inició la Edad Media?","Caída del Imperio Romano Occidental en 476 d.C."
"¿Qué evento terminó la Edad Media?","Caída de Constantinopla o inicio del Renacimiento"
"¿Cuál es otro nombre para la Edad Media?","Período medieval"
"¿Qué era el feudalismo?","Sistema social basado en propiedad de tierra y lealtad"
"¿Quién estaba en la cima del sistema feudal?","Reyes y monarcas"
"¿Qué era un feudo?","Tierra concedida por un señor a un vasallo"
"¿Quiénes eran los vasallos?","Personas que recibían tierra a cambio de servicio"
"¿Quiénes eran los siervos?","Campesinos atados a trabajar la tierra"
"¿Qué era un señorío?","Propiedad autosuficiente perteneciente a un señor"
"¿Qué era el sistema señorial?","Sistema económico centrado en el señorío"
"¿Cuáles eran los tres estados?","Clero, nobleza y campesinos"
"¿Quiénes eran los caballeros?","Guerreros montados que servían a señores"
"¿Qué era la caballería?","Código de conducta para caballeros"
"¿Qué era un castillo?","Residencia fortificada de un señor"
"¿Qué era un foso?","Zanja llena de agua alrededor de un castillo"
"¿Qué era un puente levadizo?","Puente que podía levantarse para defensa"
"¿Qué era la torre del homenaje?","La torre más fuerte de un castillo"
"¿Qué fueron las Cruzadas?","Guerras religiosas para capturar Tierra Santa"
"¿Cuántas Cruzadas principales hubo?","Nueve Cruzadas principales"
"¿Cuándo fue la Primera Cruzada?","1096 a 1099"
"¿Quién convocó la Primera Cruzada?","Papa Urbano II"
"¿Qué ciudad capturaron los Cruzados en 1099?","Jerusalén"
"¿Cuáles fueron los efectos de las Cruzadas?","Aumento del comercio e intercambio cultural"
"¿Quiénes eran los Caballeros Templarios?","Orden religiosa militar de las Cruzadas"
"¿Cuál era el papel de la Iglesia Católica?","Institución religiosa y política dominante"
"¿Quién era el jefe de la Iglesia Católica?","El Papa"
"¿Qué era la excomunión?","Ser expulsado de la Iglesia"
"¿Qué fue el Gran Cisma de 1054?","División entre Iglesia Católica Romana y Ortodoxa Oriental"
"¿Qué fue la Querella de las Investiduras?","Conflicto sobre quién nombra autoridades de la Iglesia"
"¿Quién fue Carlomagno?","Rey franco coronado Sacro Emperador Romano"
"¿Cuándo fue coronado emperador Carlomagno?","800 d.C."
"¿Qué era el Sacro Imperio Romano?","Imperio medieval en Europa Central"
"¿Quiénes eran los vikingos?","Invasores y comerciantes escandinavos"
"¿De dónde venían los vikingos?","Noruega, Suecia y Dinamarca"
"¿Cómo se llamaban los barcos vikingos?","Drakkars"
"¿Quién fue Leif Erikson?","Explorador vikingo que llegó a América del Norte"
"¿Qué fue la Conquista Normanda?","Invasión de Guillermo de Normandía a Inglaterra"
"¿Cuándo fue la Batalla de Hastings?","1066"
"¿Quién fue Guillermo el Conquistador?","Duque normando que se convirtió en Rey de Inglaterra"
"¿Qué fue el Domesday Book?","Inventario de tierras inglesas ordenado por Guillermo"
"¿Qué fue la Carta Magna?","Carta limitando el poder del rey"
"¿Cuándo se firmó la Carta Magna?","1215"
"¿Quién firmó la Carta Magna?","Rey Juan de Inglaterra"
