"front","back"
"Qual prato japonês consiste em arroz avinagrado coberto com peixe cru ou frutos do mar?","Sushi — a palavra significa 'arroz azedo'; sashimi é peixe cru sem arroz"
"Qual é o prato nacional da Tailândia, um macarrão frito com camarão, amendoim e limão?","Pad Thai"
"Qual molho italiano é feito de manjericão, pinhões, alho, queijo parmesão e azeite?","Pesto (especificamente Pesto alla Genovese, de Gênova)"
"Qual é o ingrediente principal da sopa de missô japonesa?","Pasta de missô, feita de soja fermentada"
"Qual pão indiano é assado em um forno de argila tandoor?","Naan"
"Qual prato francês é um ensopado de carne bovina cozida lentamente em vinho tinto?","Boeuf Bourguignon (Carne à Borgonhesa)"
"Qual acompanhamento coreano é feito de vegetais salgados e fermentados, geralmente repolho chinês?","Kimchi"
"Qual prato mexicano consiste em uma tortilha de milho enrolada com recheio e coberta com molho?","Enchilada"
"Qual é o prato espanhol de arroz cozido com açafrão, frutos do mar e carnes variadas?","Paella (originalmente de Valência)"
"Qual pasta do Oriente Médio é feita de grão-de-bico, tahine, suco de limão e alho?","Hummus"
"Qual sopa vietnamita tem macarrão de arroz em um caldo aromático de carne bovina ou frango?","Phở (pronuncia-se aproximadamente 'fâ')"
"Qual prato peruano consiste em peixe cru curado em sucos cítricos?","Ceviche"
"Qual é o pão tradicional etíope que também serve como utensílio para comer?","Injera — um pão fermentado esponjoso feito de farinha de teff"
"Qual técnica culinária chinesa envolve fritar rapidamente alimentos em uma wok muito quente com óleo?","Saltear (chǎo)"
"Qual prato grego é feito em camadas de berinjela, carne moída e molho bechamel?","Moussaka"
"Qual é o ensopado marroquino cozido lentamente que leva o nome da panela de barro em que é preparado?","Tagine"
"Qual prato brasileiro é um ensopado de feijão preto com porco, considerado o prato nacional?","Feijoada"
"Qual caldo japonês é feito cozinhando alga kombu e flocos de bonito?","Dashi — a base da culinária japonesa"
"Qual prato libanês é feito de trigo bulgur, salsinha, tomate, hortelã e suco de limão?","Tabule (Tabbouleh)"
"Qual é a pasta salgada australiana feita de extrato de levedura?","Vegemite"
"Qual comida de rua turca usa carne temperada cozida em um espeto vertical giratório?","Döner kebab"
"Qual estilo jamaicano de cozinhar usa um tempero picante seco ou úmido em carnes grelhadas?","Jerk (jerk chicken, jerk pork)"
"Qual tradição argentina envolve grelhar carnes variadas sobre fogo aberto?","Asado — um evento social tanto quanto um método de cozimento"
"Qual é o prato havaiano de peixe cru marinado servido como aperitivo?","Poke (pronuncia-se 'po-keh')"
"Qual sopa russa é feita de beterraba e servida quente ou fria?","Borscht"
"Qual acompanhamento indiano à base de iogurte é usado para amenizar comidas picantes?","Raita"
"Qual molho indonésio para satay é feito principalmente de amendoim moído?","Molho de amendoim (bumbu kacang), servido com espetinhos de satay"
"Qual é o petisco tradicional sul-africano de carne seca e curada?","Biltong"
"Qual torta de creme português tem uma casca de massa folhada crocante?","Pastel de nata (plural: pastéis de nata)"
"Qual é a técnica clássica francesa de cozinhar alimentos lentamente em gordura em baixa temperatura?","Confit (como em confit de canard / confit de pato)"
