"front","back"
"O que é energia renovável?","Energia de fontes naturais que se renovam em escala de tempo humana, como sol, vento, água e biomassa"
"Qual é a fonte renovável mais abundante na Terra?","Energia solar"
"Como painéis solares fotovoltaicos (PV) geram eletricidade?","Eles convertem a luz do sol diretamente em eletricidade usando células semicondutoras"
"O que uma turbina eólica converte?","A energia cinética do vento em energia elétrica"
"O que é energia hidrelétrica?","Eletricidade gerada a partir do fluxo ou queda da água"
"O que é energia geotérmica?","Energia obtida do calor armazenado abaixo da superfície da Terra"
"O que é energia de biomassa?","Energia produzida de materiais orgânicos como madeira, resíduos agrícolas e biogás"
"Qual é o principal benefício das renováveis para o clima?","Elas reduzem fortemente as emissões de gases de efeito estufa em comparação aos combustíveis fósseis"
"O que é intermitência nas renováveis?","Variação da geração devido a mudanças no clima ou na luz solar"
"Por que armazenamento em baterias é importante para renováveis?","Armazena eletricidade excedente e fornece energia quando a geração está baixa"
"O que é compensação de energia (net metering)?","Sistema de faturamento que credita donos de solar pela energia excedente enviada à rede"
"O que é um PPA?","Contrato de longo prazo para compra de eletricidade por um preço acordado"
"O que significa LCOE?","Custo Nivelado de Energia, métrica que compara custos de geração ao longo da vida útil"
"O que é eólica offshore?","Energia eólica gerada por turbinas instaladas em corpos d'água, geralmente no mar"
"O que é energia solar concentrada (CSP)?","Tecnologia que usa espelhos para concentrar luz solar e gerar calor para produzir eletricidade"
"O que é uma rede elétrica inteligente (smart grid)?","Rede com controles digitais para melhorar eficiência e confiabilidade"
"O que é geração distribuída?","Produção de eletricidade por várias pequenas fontes locais próximas aos consumidores"
"O que é curtailment em sistemas renováveis?","Redução da geração renovável porque a rede não consegue absorver toda a energia disponível"
"O que é hidrogênio verde?","Hidrogênio produzido com eletricidade renovável para separar água por eletrólise"
"Por que linhas de transmissão são importantes para energia limpa?","Elas transportam eletricidade de áreas com recursos abundantes para centros de demanda"
"O que é fator de capacidade de uma usina?","Produção real ao longo do tempo dividida pela produção máxima possível"
"Qual fonte renovável é mais usada globalmente para eletricidade hoje?","Hidrelétrica"
"O que é armazenamento hidrelétrico por bombeamento?","Método que bombeia água para cima quando energia é barata e a libera depois"
"O que são certificados de energia renovável (RECs)?","Certificados negociáveis que comprovam geração de eletricidade renovável"
"Qual é um desafio da adoção de solar em telhados?","Custo inicial de instalação, apesar de custos operacionais baixos"
"Como renováveis melhoram segurança energética?","Reduzem dependência de combustíveis importados e diversificam o suprimento"
"Qual é o papel dos inversores em sistemas solares?","Converter eletricidade DC dos painéis em AC para casas e rede"
"O que é energia solar comunitária?","Projeto solar compartilhado que permite a vários usuários receber créditos na conta"
"O que significa descarbonizar a eletricidade?","Reduzir emissões de carbono do setor elétrico substituindo fósseis por fontes de baixo carbono"
"Qual é um co-benefício importante de substituir carvão por renováveis?","Ar mais limpo e menor impacto na saúde pública"
