"front","back"
"What is ES6 (ECMAScript 2015)?","The 6th edition of the ECMAScript standard, introducing major new syntax and features to JavaScript"
"What are arrow functions in ES6?","A shorter syntax for writing functions using the '=>' notation, e.g. const add = (a, b) => a + b"
"What is 'let' in ES6?","A block-scoped variable declaration that limits the variable's scope to the enclosing block"
"What is 'const' in ES6?","A block-scoped declaration for variables whose reference cannot be reassigned after initialization"
"What is the difference between 'let' and 'var'?","'let' is block-scoped and not hoisted to the top of its function, while 'var' is function-scoped and hoisted"
"What are template literals in ES6?","Strings enclosed in backticks (`) that allow embedded expressions with ${expression} syntax"
"What is destructuring assignment in ES6?","A syntax that unpacks values from arrays or properties from objects into distinct variables, e.g. const {a, b} = obj"
"What are default function parameters in ES6?","Parameters with pre-set values used when no argument is provided, e.g. function greet(name = 'World')"
"What is the rest parameter (...) in ES6?","Allows a function to accept an indefinite number of arguments as an array, e.g. function sum(...nums)"
"What is the spread operator (...) in ES6?","Expands an iterable (array, object) into individual elements, e.g. const merged = [...arr1, ...arr2]"
"What are ES6 classes?","Syntactic sugar over JavaScript's prototype-based inheritance, providing a cleaner class syntax with constructor and methods"
"What is the 'extends' keyword in ES6?","Used to create a subclass (child class) that inherits from a parent class"
"What is the 'super' keyword in ES6?","Refers to the parent class constructor or methods, used inside a subclass"
"What are Promises in ES6?","Objects representing the eventual completion or failure of an asynchronous operation, with .then() and .catch()"
"What are the three states of a Promise?","Pending (initial), Fulfilled (completed successfully), and Rejected (failed)"
"What is Promise.all()?","A method that takes an array of promises and resolves when all resolve, or rejects if any one rejects"
"What are ES6 modules?","A system for organizing code into reusable files using 'export' and 'import' statements"
"What does 'export default' do in ES6?","Exports a single default value from a module that can be imported without curly braces"
"What is 'import' in ES6?","A statement to bring in exported values from another module, e.g. import { func } from './module'"
"What is the Map object in ES6?","A collection of key-value pairs where keys can be any type (not just strings)"
"What is the Set object in ES6?","A collection of unique values — duplicates are automatically ignored"
"What are Symbols in ES6?","A primitive data type for unique, immutable identifiers, created with Symbol('description')"
"What is object shorthand notation in ES6?","When a property name matches a variable name, you can write {name} instead of {name: name}"
"What is computed property names in ES6?","Allows using expressions as property keys in object literals, e.g. { [varName]: value }"
"What is the for...of loop in ES6?","Iterates over iterable objects (arrays, strings, Maps, Sets), e.g. for (const item of array)"
"What is the difference between for...in and for...of?","for...in iterates over object keys; for...of iterates over iterable values"
"What are generators in ES6?","Functions that can pause execution and resume later, defined with function* and using 'yield'"
"What is 'yield' in a generator function?","Pauses the generator and returns a value; execution resumes from that point on next .next() call"
"What is the Iterator protocol in ES6?","An interface requiring a .next() method that returns {value, done} objects to traverse a sequence"
"What is Object.assign() in ES6?","Copies own enumerable properties from one or more source objects into a target object"
"What is Array.from() in ES6?","Creates a new array from an array-like or iterable object, e.g. Array.from('hello') → ['h','e','l','l','o']"
"What is Array.find() in ES6?","Returns the first element in an array that satisfies a testing function, or undefined if not found"
"What is Array.includes() in ES6?","Returns true if an array contains a specified element, false otherwise"
