front,back
¿Cuál es el país más grande por área?,Rusia (17,1 millones de km²)
¿Cuál es el país más pequeño por área?,Ciudad del Vaticano (0,44 km²)
¿Cuál es el país más poblado?,India (más de 1.400 millones de personas)
¿Qué país tiene la costa más larga?,Canadá (202.080 km)
¿Cuál es el único país que abarca los cuatro hemisferios?,Kiribati
¿Qué país es conocido como la Tierra del Sol Naciente?,Japón
¿Cuál es el único país que limita con el Atlántico y el Océano Índico en África?,Sudáfrica
¿Qué dos países están doblemente sin litoral (rodeados solo por países sin litoral)?,Liechtenstein y Uzbekistán
¿Cuál es el país más nuevo internacionalmente reconocido?,Sudán del Sur (2011)
¿Qué país tiene más zonas horarias?,Francia (12 zonas horarias incluyendo territorios de ultramar)
¿Cuál es el único país cuyo nombre comienza con Q?,Catar
¿Qué país está en Europa y Asia?,Turquía (también Rusia y Kazajistán)
¿Qué país tiene más Patrimonios Mundiales de la UNESCO?,Italia (59 sitios)
¿Qué país africano nunca fue colonizado por potencias europeas?,Etiopía (brevemente ocupada por Italia 1936-1941)
¿Cuál es el único país con una bandera no rectangular?,Nepal
¿Qué país tiene la mayor densidad de población?,Mónaco (aproximadamente 26.000 personas por km²)
¿Cuál es el nombre oficial de Corea del Norte?,República Popular Democrática de Corea (RPDC)
¿Qué país es conocido como la Perla de África?,Uganda
¿Qué país europeo tiene más fronteras con otros países?,Alemania (9 países fronterizos)
¿Qué país produce más café en el mundo?,Brasil
¿Cuál es el único país predominantemente cristiano en Asia?,Filipinas (también Timor Oriental)
¿Qué país alberga la antigua ciudad de Petra?,Jordania
¿Qué país tiene el río más largo?,Egipto (el Nilo - aunque fluye a través de varios países)
¿Qué país nórdico no forma parte de la Unión Europea?,Noruega (también Islandia)
¿Cuál es el país sin litoral más grande?,Kazajistán
¿Qué país tiene portugués como idioma oficial en Asia?,Timor Oriental
¿Qué país es conocido como la Tierra del Fuego y el Hielo?,Islandia
¿Qué país tiene más islas?,Suecia (aproximadamente 267.570 islas)
¿Cuál es el único país en el Sudeste Asiático que nunca fue colonizado?,Tailandia
¿Qué país abarca más grados de longitud?,Rusia
