"front","back"
"What 1985 Nintendo game featured a plumber rescuing a princess?","Super Mario Bros."
"Who is the main character in ""The Legend of Zelda""?","Link (not Zelda)"
"What company created Sonic the Hedgehog?","Sega"
"What 1997 RPG featured Cloud Strife?","Final Fantasy VII"
"What 1980 arcade game featured a yellow circle eating dots?","Pac-Man"
"Who created Mario?","Shigeru Miyamoto"
"What 1993 game popularized the first-person shooter genre?","Doom"
"What console was the Nintendo Entertainment System (NES) called in Japan?","Famicom"
"What 1996 game featured Lara Croft?","Tomb Raider"
"What was the first commercially successful video game?","Pong (1972)"
"What game company's name means ""leave luck to heaven"" in Japanese?","Nintendo"
"What 1991 game featured a blue hedgehog racing through loops?","Sonic the Hedgehog"
"Who is Mario's brother?","Luigi"
"What 1998 stealth game featured Solid Snake?","Metal Gear Solid"
"What company created the PlayStation?","Sony"
"What 1989 handheld console dominated portable gaming?","Game Boy"
"What puzzle game was bundled with the Game Boy?","Tetris"
"What 2001 game launched the Xbox?","Halo: Combat Evolved"
"What 1999 game let players catch and train creatures?","Pokémon Red and Blue (1996 Japan, 1999 US)"
"Who is the antagonist in the Super Mario series?","Bowser"
"What 2004 game featured a criminal in San Andreas?","Grand Theft Auto: San Andreas"
"What racing game series features Mario and friends?","Mario Kart"
"What 1992 fighting game featured fatalities?","Mortal Kombat"
"What company created Street Fighter?","Capcom"
"What 2000 game featured a simulation of life?","The Sims"
"Who created The Sims?","Will Wright"
"What 1994 game featured Donkey Kong returning as a hero?","Donkey Kong Country"
"What 2007 game featured portals and a lying cake?","Portal"
"What 2011 game featured mining and crafting in a blocky world?","Minecraft"
"What company created Minecraft?","Mojang (now owned by Microsoft)"
