"front","back"
"Quem era o rei dos deuses egípcios e deus do sol?","Rá (também conhecido como Ré) — ele viajava pelo submundo à noite e renascia a cada manhã"
"Qual deus egípcio tinha cabeça de chacal e era o deus da mumificação?","Anúbis — ele guiava as almas para a vida após a morte e supervisionava o processo de embalsamamento"
"Qual era o nome do submundo egípcio onde as almas eram julgadas?","Duat — o reino pelo qual Rá viajava à noite e onde Osíris reinava como rei dos mortos"
"Qual deusa era conhecida como mãe de todos os faraós e usava um toucado em forma de trono?","Ísis — deusa da magia, cura e maternidade, esposa de Osíris"
"O que acontecia durante a cerimônia da 'Pesagem do Coração'?","O coração do falecido era pesado contra a pena de Ma'at (verdade); se mais leve, entrava na vida após a morte; se mais pesado, era devorado por Ammit"
"Qual deus egípcio foi assassinado pelo irmão Set e se tornou governante do submundo?","Osíris — deus da vida após a morte, ressurreição e fertilidade"
"Qual criatura tinha corpo de leão e cabeça humana e guardava as pirâmides de Gizé?","A Grande Esfinge — acredita-se que represente o Faraó Quéfren"
"Qual deus egípcio tinha cabeça de íbis e era o deus da escrita e sabedoria?","Thoth — inventor dos hieróglifos e patrono dos escribas"
"Quem era a deusa egípcia dos gatos, proteção e fertilidade?","Bastet — originalmente retratada como uma leoa feroz, depois como um gato doméstico"
"Qual deus era representado com cabeça de falcão e era o deus do céu?","Hórus — filho de Ísis e Osíris, protetor do faraó"
"Qual era o besouro sagrado que simbolizava renascimento e o sol nascente?","O escaravelho (Khepri) — os egípcios acreditavam que o escaravelho rolava o sol pelo céu"
"Quem era o deus egípcio do caos, tempestades e deserto?","Set (Seth) — ele assassinou seu irmão Osíris e lutou contra Hórus pelo trono"
"O que é o Livro dos Mortos?","Uma coleção de feitiços e instruções colocada nas tumbas para ajudar o falecido a navegar pela vida após a morte e passar pelo julgamento de Osíris"
"Qual deusa tinha cabeça de leoa e era a deusa da guerra e da cura?","Sekhmet — dizia-se que seu sopro criava o deserto; era tanto temida quanto reverenciada"
"Para que serviam os vasos canopos nas práticas funerárias egípcias?","Para armazenar os órgãos preservados (pulmões, fígado, estômago, intestinos) do falecido mumificado, cada um protegido por um dos Quatro Filhos de Hórus"
"Qual deusa egípcia personificava verdade, justiça e ordem cósmica?","Ma'at — retratada com uma pena de avestruz na cabeça, sua pena era usada na Pesagem do Coração"
"Quem era o deus com cabeça de carneiro que criava humanos em sua roda de oleiro?","Khnum — acreditava-se que moldava crianças em argila antes de colocá-las no ventre materno"
"O que era a pedra Benben na mitologia egípcia?","O monte primordial que surgiu das águas do caos (Nun) no início da criação; acredita-se que as pirâmides o representem"
"Qual deusa era retratada como uma vaca ou mulher com chifres de vaca e disco solar?","Hathor — deusa do amor, beleza, música e alegria"
"O que era o Olho de Hórus e o que simbolizava?","Um poderoso símbolo protetor representando cura, restauração e poder real — Hórus perdeu seu olho na batalha contra Set e Thoth o restaurou"
"Quem era Ammit na mitologia egípcia?","Um demônio com cabeça de crocodilo, parte frontal de leopardo e traseira de hipopótamo — ela devorava os corações dos mortos indignos"
"Qual deus era o patrono dos artesãos e teria criado o mundo através da fala?","Ptah — deus principal de Mênfis, ele trouxe o mundo à existência pelo poder de seu coração e língua"
"Quais eram os Quatro Filhos de Hórus?","Imsety (fígado), Hapy (pulmões), Duamutef (estômago) e Qebehsenuef (intestinos) — protegiam os vasos canopos"
"Qual deusa egípcia era representada como um escorpião e protegia mães e crianças?","Serqet (Selket) — também protegia os mortos e era associada à cura de picadas venenosas"
"O que era a Ogdóade na mitologia egípcia?","Oito divindades primordiais de Hermópolis representando o caos antes da criação: Nun/Naunet (água), Heh/Hauhet (infinito), Kek/Kauket (escuridão), Amun/Amaunet (oculto)"
"Quem era o deus anão que protegia os lares, especialmente durante o parto?","Bes — uma divindade protetora e jovial retratada como um anão barbudo; sua imagem adornava casas e amuletos"
"Qual papel o Rio Nilo desempenhava na mitologia egípcia?","Era considerado um presente dos deuses; sua inundação anual era atribuída às lágrimas de Ísis lamentando Osíris, trazendo fertilidade à terra"
"Qual faraó tentou substituir todos os deuses egípcios por um único deus sol, o Aton?","Akhenaton (Amenhotep IV) — ele estabeleceu um culto monoteísta ao Aton por volta de 1350 a.C."
"Qual era o significado do símbolo ankh?","O ankh representava a vida eterna; os deuses eram frequentemente retratados segurando-o, e era um dos símbolos mais importantes da cultura egípcia"
"Quem era Sobek e por que era adorado?","Um deus com cabeça de crocodilo do Nilo, proezas militares e fertilidade — os egípcios mantinham crocodilos sagrados em templos dedicados a ele"
