"front","back"
"¿Qué plato japonés consiste en arroz avinagrado cubierto con pescado crudo o mariscos?","Sushi — la palabra significa 'arroz agrio'; el sashimi es pescado crudo sin arroz"
"¿Cuál es el plato nacional de Tailandia, unos fideos salteados con camarones, maní y lima?","Pad Thai"
"¿Qué salsa italiana se hace con albahaca, piñones, ajo, queso parmesano y aceite de oliva?","Pesto (específicamente Pesto alla Genovese, de Génova)"
"¿Cuál es el ingrediente principal de la sopa de miso japonesa?","Pasta de miso, hecha de soja fermentada"
"¿Qué pan indio se hornea en un horno de arcilla tandoor?","Naan"
"¿Qué plato francés es un estofado de carne de res cocido lentamente en vino tinto?","Boeuf Bourguignon (Carne a la Borgoñesa)"
"¿Qué acompañamiento coreano se hace con vegetales salados y fermentados, generalmente col china?","Kimchi"
"¿Qué plato mexicano consiste en una tortilla de maíz enrollada con relleno y cubierta de salsa?","Enchilada"
"¿Cuál es el plato español de arroz cocinado con azafrán, mariscos y carnes variadas?","Paella (originaria de Valencia)"
"¿Qué dip del Medio Oriente se hace con garbanzos, tahini, jugo de limón y ajo?","Hummus"
"¿Qué sopa vietnamita tiene fideos de arroz en un caldo aromático de res o pollo?","Phở (se pronuncia aproximadamente 'fâ')"
"¿Qué plato peruano consiste en pescado crudo curado en jugos cítricos?","Ceviche"
"¿Cuál es el pan tradicional etíope que también sirve como utensilio para comer?","Injera — un pan fermentado esponjoso hecho de harina de teff"
"¿Qué técnica de cocina china consiste en freír rápidamente alimentos en un wok muy caliente con aceite?","Saltear (chǎo)"
"¿Qué plato griego tiene capas de berenjena, carne molida y salsa bechamel?","Moussaka"
"¿Cuál es el estofado marroquí cocinado lentamente que lleva el nombre de la olla de barro donde se prepara?","Tagine"
"¿Qué plato brasileño es un estofado de frijoles negros con cerdo, considerado el plato nacional?","Feijoada"
"¿Qué caldo japonés se hace cocinando alga kombu y copos de bonito?","Dashi — la base de la cocina japonesa"
"¿Qué plato libanés se hace con trigo bulgur, perejil, tomate, menta y jugo de limón?","Tabulé (Tabbouleh)"
"¿Cuál es la pasta salada australiana hecha de extracto de levadura?","Vegemite"
"¿Qué comida callejera turca usa carne sazonada cocida en un asador vertical giratorio?","Döner kebab"
"¿Qué estilo jamaicano de cocina usa un adobo picante seco o húmedo en carnes asadas?","Jerk (jerk chicken, jerk pork)"
"¿Qué tradición argentina consiste en asar diversas carnes sobre fuego abierto?","Asado — un evento social tanto como un método de cocción"
"¿Cuál es el plato hawaiano de pescado crudo marinado servido como aperitivo?","Poke (se pronuncia 'po-keh')"
"¿Qué sopa rusa se hace con remolacha y se sirve caliente o fría?","Borscht"
"¿Qué acompañamiento indio a base de yogur se usa para aliviar las comidas picantes?","Raita"
"¿Qué salsa indonesia para satay se hace principalmente de maní molido?","Salsa de maní (bumbu kacang), servida con brochetas de satay"
"¿Cuál es el snack tradicional sudafricano de carne seca y curada?","Biltong"
"¿Qué tarta de crema portuguesa tiene una corteza de hojaldre crujiente?","Pastel de nata (plural: pastéis de nata)"
"¿Cuál es la técnica clásica francesa de cocinar alimentos lentamente en grasa a baja temperatura?","Confit (como en confit de canard / confit de pato)"
