"front","back"
"Bonjour","Hola / Buenos días"
"Bonsoir","Buenas noches (al anochecer)"
"Bonne nuit","Buenas noches (al dormir)"
"Au revoir","Adiós / Hasta luego"
"Salut","Hola / Chao (informal)"
"S'il vous plaît","Por favor (formal)"
"S'il te plaît","Por favor (informal)"
"Merci","Gracias"
"Merci beaucoup","Muchas gracias"
"De rien","De nada"
"Excusez-moi","Disculpe (formal)"
"Pardon","Perdón / Lo siento"
"Oui","Sí"
"Non","No"
"Comment vous appelez-vous ?","¿Cómo se llama usted? (formal)"
"Je m'appelle...","Me llamo..."
"Comment allez-vous ?","¿Cómo está usted? (formal)"
"Ça va ?","¿Cómo estás? (informal)"
"Ça va bien, merci","Estoy bien, gracias"
"Je ne comprends pas","No entiendo"
"Parlez-vous anglais ?","¿Habla inglés?"
"Pouvez-vous répéter, s'il vous plaît ?","¿Puede repetir, por favor?"
"Où est la salle de bain ?","¿Dónde está el baño?"
"Combien ça coûte ?","¿Cuánto cuesta?"
"L'addition, s'il vous plaît","La cuenta, por favor"
"Je voudrais...","Quisiera..."
"Avez-vous...?","¿Tiene usted...?"
"Je suis perdu(e)","Estoy perdido(a)"
"Appelez la police !","¡Llame a la policía!"
"À quelle heure ?","¿A qué hora?"
"Où est...?","¿Dónde está...?"
"C'est délicieux !","¡Está delicioso!"
