"front","back"
"¿Cuáles son los ingredientes principales de una Margarita clásica?","Tequila, jugo de limón y triple sec (licor de naranja), típicamente servida con sal en el borde"
"¿Qué cóctel se hace con vodka, licor de café y café espresso?","Espresso Martini"
"¿Qué cóctel fue inventado en el Harry's New York Bar en París en 1921?","Sidecar - hecho con coñac, triple sec y jugo de limón"
"¿Cuál es el licor base de un Mojito?","Ron blanco"
"¿Cuáles son los cinco ingredientes de un Mojito tradicional?","Ron blanco, jugo de limón, azúcar, agua con gas y hojas de menta fresca"
"¿Qué cóctel se hace con bourbon, azúcar, bitters y cáscara de naranja?","Old Fashioned"
"¿Qué cóctel fue supuestamente creado para el Moscow Mule?","El Mule fue creado para promover el vodka en América, servido en una distintiva taza de cobre"
"¿Cuáles son los tres ingredientes de un Moscow Mule?","Vodka, cerveza de jengibre y jugo de limón"
"¿Qué cóctel recibe su nombre de un conde italiano?","Negroni - nombrado en honor al Conde Camillo Negroni"
"¿Cuáles son los tres ingredientes en partes iguales de un Negroni?","Ginebra, vermut dulce y Campari"
"¿Qué cóctel fue inventado en el Raffles Hotel de Singapur?","Singapore Sling"
"¿Cuál es el licor principal de un Daiquiri?","Ron blanco"
"¿Qué cóctel era supuestamente favorito del autor Ernest Hemingway?","El Mojito y el Daiquiri eran favoritos en los bares La Bodeguita y El Floridita en La Habana"
"¿Cuál es el licor base de un cóctel Manhattan?","Whisky de centeno (o bourbon)"
"¿Qué cóctel se hace con whisky, vermut dulce y Angostura bitters?","Manhattan"
"¿Qué contiene tradicionalmente un Martini?","Ginebra y vermut seco, decorado con una aceituna o twist de limón"
"¿Qué cóctel se hace con tequila, jugo de naranja y granadina?","Tequila Sunrise - nombrado por su color degradado que se asemeja a un amanecer"
"¿Qué cóctel cubano fue nombrado en honor a una playa cerca de Santiago de Cuba?","Daiquiri - nombrado en honor a la playa Daiquirí"
"¿Qué es un 'Spritz' o 'Aperol Spritz'?","Un cóctel hecho con prosecco, Aperol y agua con gas, popular como aperitivo italiano"
"¿Qué cóctel combina vodka, jugo de tomate y varias especias?","Bloody Mary"
"¿Cuáles son los condimentos y guarniciones típicas de un Bloody Mary?","Sal de apio, pimienta, salsa Worcestershire, salsa picante, limón y tallo de apio como guarnición"
"¿Cuál es el origen de la Piña Colada?","Creada en Puerto Rico, su nombre significa 'piña colada' en español"
"¿Cuáles son los tres ingredientes principales de una Piña Colada?","Ron blanco, crema de coco y jugo de piña"
"¿Qué cóctel fue nombrado en honor a un héroe folclórico escocés?","Rob Roy - nombrado en honor al forajido escocés, es un Manhattan hecho con whisky escocés"
"¿Cuál es la diferencia entre un Cosmopolitan y un Kamikaze?","El Cosmopolitan añade jugo de arándano y usa vodka cítrico, dándole su color rosa"
"¿Cuáles son los ingredientes de un Cosmopolitan?","Vodka cítrico, triple sec, jugo de arándano y jugo de limón fresco"
"¿Qué cóctel de whisky recibe su nombre de un barrio de Nueva York?","Manhattan - nombrado en honor al distrito de Manhattan"
"¿Qué es un cóctel 'Highball'?","Una familia de bebidas mezcladas usando un licor con una proporción mayor de mezclador sin alcohol, servido en vaso alto"
"¿Qué cóctel se hace con ron oscuro, jugo de limón y cerveza de jengibre?","Dark 'n' Stormy - un cóctel con marca registrada de Bermuda"
"¿Qué licor francés le da al Sidecar su sabor a naranja?","Triple sec o Cointreau (licor de naranja)"
"¿Cuál es el cóctel italiano tradicionalmente servido antes de la cena como estimulante del apetito?","Cócteles aperitivos como Negroni, Aperol Spritz o Campari Soda"
