"front","back"
"What year was the first FIFA World Cup held?","1930"
"Which country hosted the first World Cup?","Uruguay"
"Which country won the first World Cup?","Uruguay"
"How many teams played in the 1930 World Cup?","13"
"Which country won the 1934 World Cup?","Italy"
"Which country hosted the 1934 World Cup?","Italy"
"Which country won the 1938 World Cup?","Italy"
"Why was there no World Cup in 1942?","World War Two"
"Why was there no World Cup in 1946?","World War Two"
"Which country won the 1950 World Cup?","Uruguay"
"Which country hosted the 1950 World Cup?","Brazil"
"What famous match occurred in 1950 Maracanazo?","Uruguay beat Brazil"
"Which country won the 1954 World Cup?","West Germany"
"Which final is known as the Miracle of Bern?","1954 final"
"Which country won the 1958 World Cup?","Brazil"
"Who was the teenage star of the 1958 World Cup?","Pele"
"Which country hosted the 1958 World Cup?","Sweden"
"Which country won the 1962 World Cup?","Brazil"
"Which player won two World Cups by 1962?","Pele"
"Which country hosted the 1962 World Cup?","Chile"
"Which country won the 1966 World Cup?","England"
"Which country hosted the 1966 World Cup?","England"
"Who scored a hat trick in the 1966 final?","Geoff Hurst"
"Which country won the 1970 World Cup?","Brazil"
"Which country hosted the 1970 World Cup?","Mexico"
"Why is the 1970 Brazil team famous?","Considered greatest team"
"Which country won the 1974 World Cup?","West Germany"
"Which country hosted the 1974 World Cup?","West Germany"
"Which team popularized Total Football?","Netherlands"
"Which country won the 1978 World Cup?","Argentina"
"Which country hosted the 1978 World Cup?","Argentina"
"Which country won the 1982 World Cup?","Italy"
"Which country hosted the 1982 World Cup?","Spain"
"Which country won the 1986 World Cup?","Argentina"
"Which country hosted the 1986 World Cup?","Mexico"
"Who scored the Hand of God goal?","Diego Maradona"
"Which country won the 1990 World Cup?","West Germany"
"Which country hosted the 1990 World Cup?","Italy"
"Which country won the 1994 World Cup?","Brazil"
"Which country hosted the 1994 World Cup?","United States"
"Which final was decided by penalties in 1994?","Brazil vs Italy"
"Which country won the 1998 World Cup?","France"
"Which country hosted the 1998 World Cup?","France"
"Who scored twice in the 1998 final?","Zinedine Zidane"
"Which country won the 2002 World Cup?","Brazil"
"Which countries hosted the 2002 World Cup?","Japan and South Korea"
"Who was top scorer in 2002?","Ronaldo"
"Which country won the 2006 World Cup?","Italy"
"Which country hosted the 2006 World Cup?","Germany"
"Who headbutted in the 2006 final?","Zinedine Zidane"
"Which country won the 2010 World Cup?","Spain"
"Which country hosted the 2010 World Cup?","South Africa"
"Who scored the winning goal in 2010?","Andres Iniesta"
"Which country won the 2014 World Cup?","Germany"
"Which country hosted the 2014 World Cup?","Brazil"
"Which famous goal happened in 2014 final?","Gotze extra time goal"
"Which country won the 2018 World Cup?","France"
"Which country hosted the 2018 World Cup?","Russia"
"Who was the 2018 World Cup top scorer?","Harry Kane"
"Which country won the 2022 World Cup?","Argentina"
"Which country hosted the 2022 World Cup?","Qatar"
"Who won best player in 2022?","Lionel Messi"
"Which country has won the most World Cups?","Brazil"
"How many World Cups has Brazil won?","Five"
"Which two countries have won four titles?","Germany and Italy"
"Which country has won three World Cups?","Argentina"
"Which trophy is awarded to winners?","FIFA World Cup Trophy"
"What was the old trophy called?","Jules Rimet Trophy"
"Which player has the most World Cup goals?","Miroslav Klose"
"Which player scored in four World Cups?","Pele"
"Which country has appeared in most World Cups?","Brazil"
"What year did women World Cup start?","1991"
"Which World Cup had VAR first used?","2018"
"How often is the World Cup held?","Every four years"
"Which continent hosted World Cup in 2010?","Africa"
"Which World Cup had 32 teams first time?","1998"
"Which World Cup will expand to 48 teams?","2026"
"Which countries host the 2026 World Cup?","USA Canada Mexico"
"Which country has never missed World Cup?","Brazil"
