"front","back"
"¿Qué es la demografía?","El estudio estadístico de poblaciones humanas incluyendo tamaño, estructura y distribución"
"¿Cuál es la población mundial actual (aproximada)?","Aproximadamente 8 mil millones de personas (en 2024)"
"¿Qué es la tasa de fecundidad?","El número promedio de hijos nacidos por mujer a lo largo de su vida"
"¿Qué tasa de fecundidad de reemplazo se necesita para mantener la población?","Aproximadamente 2,1 hijos por mujer"
"¿Qué es el modelo de transición demográfica?","Un modelo que muestra cómo las poblaciones cambian de altas tasas de natalidad/mortalidad a bajas tasas a medida que los países se desarrollan"
"¿Qué es la esperanza de vida?","El número promedio de años que se espera que una persona viva según las tasas de mortalidad actuales"
"¿Qué continente tiene la mayor tasa de crecimiento poblacional?","África"
"¿Qué es la razón de dependencia?","La proporción de población en edad no productiva (jóvenes y ancianos) respecto a la población en edad productiva"
"¿Qué es la urbanización?","La proporción creciente de una población que vive en áreas urbanas"
"¿Qué porcentaje de la población mundial vive en áreas urbanas?","Más del 55% (y aumentando)"
"¿Qué es una pirámide poblacional?","Una representación gráfica que muestra la distribución por edad y sexo de una población"
"¿Qué es la migración neta?","La diferencia entre inmigración (entrada) y emigración (salida) de un área"
"¿Cuál es la edad mediana de la población mundial?","Aproximadamente 30 años"
"¿Qué país tiene la edad mediana más alta?","Mónaco (aproximadamente 55 años)"
"¿Qué país tiene la edad mediana más baja?","Níger (aproximadamente 15 años)"
"¿Qué es la tasa de mortalidad infantil?","El número de muertes de bebés menores de un año por cada 1.000 nacidos vivos"
"¿Qué es un censo?","Un conteo oficial de una población que típicamente incluye información demográfica"
"¿Qué es la tasa bruta de natalidad?","El número de nacidos vivos por cada 1.000 personas por año"
"¿Qué es la tasa bruta de mortalidad?","El número de muertes por cada 1.000 personas por año"
"¿Qué es el crecimiento natural?","La tasa de natalidad menos la tasa de mortalidad (excluyendo migración)"
"¿Cuál es el idioma nativo más hablado?","Mandarín chino (aproximadamente 920 millones de hablantes nativos)"
"¿Cuál es el idioma más hablado en general (incluyendo hablantes de segunda lengua)?","Inglés (aproximadamente 1.500 millones de hablantes)"
"¿Qué es la densidad de población?","El número de personas por unidad de área (generalmente por km² o por milla cuadrada)"
"¿Qué es el dividendo demográfico?","Potencial de crecimiento económico por cambios en la estructura de edad cuando la población en edad productiva excede a los dependientes"
"¿Qué es una población envejecida?","Una población con una proporción creciente de personas mayores"
"¿Qué es la razón de sexos?","La proporción de hombres a mujeres en una población"
"¿Qué es la migración interna?","Movimiento de personas dentro de las fronteras de un país"
"¿Qué es la fuga de cerebros?","Emigración de individuos altamente calificados o educados de un país"
"¿Qué es la capacidad de carga?","El tamaño máximo de población que un ambiente puede sostener indefinidamente"
"¿Qué causa el impulso demográfico?","Poblaciones jóvenes grandes que tendrán hijos aunque las tasas de fecundidad bajen"
