"front","back"
"Qual serviço revolucionou a distribuição de música em 2001?","iTunes"
"Qual dispositivo mudou como as pessoas ouviam música em 2001?","iPod"
"Qual banda lançou ""Hybrid Theory"" em 2000?","Linkin Park"
"Qual rapper lançou ""The Marshall Mathers LP""?","Eminem"
"Quem lançou ""Crazy in Love"" em 2003?","Beyoncé"
"Qual artista de hip-hop lançou ""The College Dropout""?","Kanye West"
"Quem cantou ""Hey Ya!""?","OutKast"
"Qual banda britânica lançou ""A Rush of Blood to the Head""?","Coldplay"
"Quem é o vocalista do Coldplay?","Chris Martin"
"Qual pop star lançou ""Toxic"" em 2004?","Britney Spears"
"Qual banda de rock lançou ""American Idiot""?","Green Day"
"Quem lançou ""Back to Black""?","Amy Winehouse"
"Qual era o estilo característico de Amy Winehouse?","Soul retrô"
"Qual cantora canadense lançou ""Complicated""?","Avril Lavigne"
"Quem cantou ""Umbrella""?","Rihanna"
"Qual artista lançou ""FutureSex/LoveSounds""?","Justin Timberlake"
"Qual banda lançou ""Hot Fuss"" em 2004?","The Killers"
"Quem lançou ""21"" no final dos anos 2000 (2008)?","""Adele (Nota: 21 foi em 2011, mas 19 foi em 2008)"""
"Qual gênero de música eletrônica surgiu da França?","French house (Daft Punk)"
"Qual álbum do Daft Punk apresentou ""One More Time""?","Discovery"
"Quem lançou ""Graduation"" em 2007?","Kanye West"
"Qual banda de rock lançou ""By the Way""?","Red Hot Chili Peppers"
"Quem lançou ""Speak Now"" em 2010?","Taylor Swift (começou no country nos anos 2000)"
"Qual banda de pop punk lançou ""All the Small Things""?","Blink-182"
"Quem lançou ""The Black Parade""?","My Chemical Romance"
"Qual rapper lançou ""Tha Carter III""?","Lil Wayne"
"Quem cantou ""Single Ladies""?","Beyoncé"
"Qual artista britânico lançou ""In Rainbows"" com preço livre?","Radiohead"
"Quem lançou ""Good Girl Gone Bad""?","Rihanna"
"Qual grupo de hip-hop lançou ""Speakerboxxx/The Love Below""?","OutKast"
