front,back
¿Qué es un átomo?,La unidad más pequeña de un elemento que conserva las propiedades químicas de ese elemento
¿Cuáles son las tres principales partículas subatómicas?,Protones (positivos), neutrones (neutros) y electrones (negativos)
¿Qué es la tabla periódica?,Una disposición tabular de elementos químicos organizados por número atómico y propiedades químicas
¿Qué es un isótopo?,Átomos del mismo elemento con diferentes números de neutrones
¿Qué es una molécula?,Dos o más átomos unidos químicamente
¿Qué es un enlace covalente?,Un enlace químico formado al compartir electrones entre átomos
¿Qué es un enlace iónico?,Un enlace químico formado por la transferencia de electrones de un átomo a otro
¿Qué es la electronegatividad?,Una medida de la capacidad de un átomo para atraer electrones compartidos en un enlace químico
¿Qué es la escala de pH?,Una escala del 0 al 14 que mide qué tan ácida o básica es una solución (7 es neutro)
¿Qué es un ácido?,Una sustancia que dona iones de hidrógeno (H+) en solución
¿Qué es una base?,Una sustancia que acepta iones de hidrógeno o dona iones hidróxido (OH-)
¿Qué es la oxidación?,Pérdida de electrones o aumento en el estado de oxidación
¿Qué es la reducción?,Ganancia de electrones o disminución en el estado de oxidación
¿Qué es un catalizador?,Una sustancia que acelera una reacción química sin ser consumida
¿Qué es el número de Avogadro?,6,022 × 10²³ partículas por mol
¿Qué es un mol?,Una unidad igual a 6,022 × 10²³ partículas de una sustancia
¿Qué es la molaridad?,Concentración medida en moles de soluto por litro de solución
¿Qué es una reacción exotérmica?,Una reacción que libera calor a su entorno
¿Qué es una reacción endotérmica?,Una reacción que absorbe calor de su entorno
¿Qué es el principio de Le Chatelier?,Un sistema en equilibrio se desplazará para contrarrestar cualquier estrés aplicado
¿Qué es la regla del octeto?,Los átomos tienden a ganar, perder o compartir electrones para tener 8 electrones de valencia
¿Qué es la valencia?,La capacidad de combinación de un átomo basada en su configuración electrónica
¿Qué es una capa electrónica?,Niveles de energía donde los electrones orbitan el núcleo
¿Cuáles son los estados de la materia?,Sólido, líquido, gaseoso y plasma
¿Qué es la sublimación?,La transición directa de sólido a gas sin pasar por líquido
¿Qué es una solución amortiguadora?,Una solución que resiste cambios en el pH cuando se añaden ácidos o bases
¿Qué es la estequiometría?,El cálculo de reactivos y productos en reacciones químicas
¿Qué es la ley de los gases ideales?,PV = nRT (presión × volumen = moles × constante de gases × temperatura)
¿Qué es la masa atómica?,El promedio ponderado de la masa de los isótopos de un elemento
¿Qué son los gases nobles?,Elementos del Grupo 18 con capas electrónicas externas completas (helio, neón, argón, etc.)
