"front","back"
"What ancient wonder was a lighthouse on the island of Pharos in Egypt?","Lighthouse of Alexandria — one of the Seven Wonders of the Ancient World, built around 280 BC, stood approximately 100 meters tall"
"Which Italian landmark is famous for its unintended tilt?","Leaning Tower of Pisa — bell tower begun in 1173, tilts due to soft foundation soil, currently leans at about 4 degrees"
"What is the largest ancient amphitheater ever built?","The Colosseum in Rome — completed in 80 AD, could hold 50,000-80,000 spectators for gladiatorial contests"
"Which Indian monument was built by Shah Jahan as a mausoleum for his wife?","Taj Mahal — white marble mausoleum in Agra, completed around 1653, considered a masterpiece of Mughal architecture"
"What is the world's tallest building as of 2024?","Burj Khalifa in Dubai — stands at 828 meters (2,717 feet), completed in 2010, has 163 floors"
"Which ancient Greek temple on the Acropolis was dedicated to Athena?","The Parthenon — built between 447-432 BC in Athens, considered the finest example of Doric architecture"
"What famous structure connects the boroughs of Manhattan and Brooklyn?","Brooklyn Bridge — completed in 1883, first steel-wire suspension bridge, designed by John Augustus Roebling"
"Which Spanish architect designed the unfinished Sagrada Família basilica?","Antoni Gaudí — construction began in 1882 in Barcelona, combines Gothic and Art Nouveau forms"
"What is the largest Gothic cathedral in the world?","Seville Cathedral in Spain — completed in the 16th century, built on the site of a former mosque"
"Which Australian landmark has a distinctive sail-shaped design?","Sydney Opera House — designed by Jørn Utzon, opened in 1973, UNESCO World Heritage Site"
"What ancient Mesopotamian temple form resembles a stepped pyramid?","Ziggurat — massive terraced structures built in ancient Mesopotamia, served as temples to local gods"
"Which French palace was the principal royal residence from 1682 to 1789?","Palace of Versailles — originally a hunting lodge, expanded by Louis XIV into an opulent palace complex"
"What is the longest wall ever built by humans?","Great Wall of China — over 21,000 km including all branches, built over many centuries starting in 7th century BC"
"Which New York City skyscraper was the world's tallest for nearly 40 years?","Empire State Building — completed in 1931, stood at 381 meters, held record until 1970"
"What ancient stone monument in England consists of a ring of standing stones?","Stonehenge — prehistoric monument built in stages from around 3000-2000 BC, purpose remains debated"
"Which tower was built as the entrance arch for the 1889 World's Fair?","Eiffel Tower in Paris — designed by Gustave Eiffel, originally 300 meters tall, was meant to be temporary"
"What is the largest religious monument in the world?","Angkor Wat in Cambodia — Hindu-Buddhist temple complex built in 12th century, covers 162.6 hectares"
"Which San Francisco landmark is painted 'International Orange'?","Golden Gate Bridge — suspension bridge completed in 1937, spans 2,737 meters total"
"What ancient wonder was a massive tomb for Egyptian pharaoh Khufu?","Great Pyramid of Giza — built around 2560 BC, oldest of the Seven Wonders and only one still standing"
"Which building in Bilbao revitalized the city and pioneered 'starchitecture'?","Guggenheim Museum Bilbao — designed by Frank Gehry, opened 1997, known for titanium curves"
"What Russian landmark features colorful onion domes?","Saint Basil's Cathedral in Moscow — built 1555-1561 by Ivan the Terrible, has nine chapels"
"Which ancient Jordanian city was carved into rose-red cliffs?","Petra — ancient Nabataean city established around 312 BC, famous for its rock-cut architecture"
"What is the largest dome built before the 20th century?","Dome of the Pantheon in Rome — 43.3 meters diameter, built around 125 AD, unreinforced concrete"
"Which London landmark contains the Houses of Parliament?","Palace of Westminster — Gothic Revival building rebuilt after 1834 fire, includes Big Ben tower"
"What medieval fortress in Prague overlooks the Vltava River?","Prague Castle — largest ancient castle complex in the world at about 70,000 square meters"
"Which Chicago skyscraper pioneered the steel-frame construction method?","Home Insurance Building — built 1885, demolished 1931, considered first true skyscraper at 10 stories"
"What ancient Greek outdoor theater had exceptional acoustics?","Theater of Epidaurus — built in 4th century BC, seats 14,000, whispers audible from the stage"
"Which Beijing landmark was the Chinese imperial palace for 500 years?","Forbidden City — built 1406-1420, has 980 buildings, largest palace complex in the world"
"What German castle inspired Disney's Sleeping Beauty Castle?","Neuschwanstein Castle — built for Ludwig II of Bavaria starting 1869, Romanesque Revival style"
"Which ancient Incan citadel sits high in the Peruvian Andes?","Machu Picchu — built around 1450 AD at 2,430 meters elevation, rediscovered in 1911"
