"front","back"
"Quem é o Pai de Todos e governante de Asgard?","Odin — o deus de um olho só da sabedoria, guerra, morte e poesia"
"Qual é o nome da grande árvore que conecta os nove mundos?","Yggdrasil — a Árvore do Mundo, um imenso freixo"
"Quais são os nove mundos na cosmologia nórdica?","Asgard, Midgard, Jotunheim, Vanaheim, Alfheim, Svartalfheim, Niflheim, Muspelheim e Helheim"
"Quem é Thor?","O deus do trovão, filho de Odin, portador do martelo Mjölnir"
"O que é Mjölnir?","O martelo mágico de Thor, que sempre retorna à sua mão após ser lançado"
"Quem é Loki?","O deus trapaceiro, um metamorfo e irmão de sangue de Odin (em algumas tradições)"
"O que é Ragnarök?","O fim do mundo profetizado — uma grande batalha que leva à morte de muitos deuses e ao renascimento do mundo"
"Quem são as Valquírias?","Espíritos guerreiros femininos que escolhem quais guerreiros caídos vão para Valhalla"
"O que é Valhalla?","O grande salão de Odin em Asgard, onde guerreiros mortos em batalha festejam e treinam para o Ragnarök"
"O que é Bifröst?","A ponte arco-íris que conecta Midgard (o mundo humano) a Asgard (o reino dos deuses)"
"Quem é Freya?","A deusa do amor, beleza, fertilidade, guerra e morte — líder das Valquírias"
"Quem é Heimdall?","O sentinela dos deuses que guarda Bifröst, possuindo sentidos extraordinários"
"O que é Midgard?","O reino dos humanos, localizado no meio dos nove mundos"
"Quem é Fenrir?","Um lobo monstruoso, filho de Loki, profetizado para engolir Odin durante o Ragnarök"
"O que é Jörmungandr?","A Serpente de Midgard — uma gigantesca serpente marinha, filha de Loki, que circunda o mundo"
"Quem é Hel?","A filha de Loki que governa Helheim, o reino dos mortos desonrados"
"O que é Jotunheim?","O reino dos gigantes (Jötnar) na cosmologia nórdica"
"Quem é Tyr?","O deus da guerra e da justiça, famoso por sacrificar sua mão para prender Fenrir"
"O que é Gungnir?","A lança mágica de Odin, forjada por anões, que nunca erra seu alvo"
"Quem são as Nornas?","Três seres femininos (Urd, Verdandi e Skuld) que controlam os destinos de deuses e homens"
"Que sacrifício Odin fez para obter sabedoria?","Ele se pendurou em Yggdrasil por nove dias e noites, perfurado por sua própria lança, para aprender as runas"
"Por que Odin tem apenas um olho?","Ele sacrificou um olho no Poço de Mimir em troca de um gole que concedia sabedoria cósmica"
"Quem é Balder?","O deus da luz, beleza e pureza — filho de Odin, cuja morte desencadeia os eventos do Ragnarök"
"O que matou Balder?","Um dardo de visco, a única coisa no mundo que não havia jurado não machucá-lo, lançado pelo cego Hödr sob a direção de Loki"
"Quem é Freyr?","O deus da fertilidade, prosperidade, luz solar e bom tempo — irmão gêmeo de Freya"
"O que é Niflheim?","O reino primordial do gelo, frio e névoa — um dos dois mundos originais"
"O que é Muspelheim?","O reino primordial do fogo, lar do gigante de fogo Surtr"
"Quem é Surtr?","Um gigante de fogo que empunha uma espada flamejante e está destinado a incendiar o mundo durante o Ragnarök"
"O que são os Einherjar?","As almas dos guerreiros caídos que residem em Valhalla, treinando diariamente para o Ragnarök"
"O que são Huginn e Muninn?","Os dois corvos de Odin — Pensamento e Memória — que voam pelo mundo e reportam a ele"
"O que é Draupnir?","O anel mágico de ouro de Odin que produz oito novos anéis a cada nona noite"
"Quem criou os primeiros humanos, Ask e Embla?","Odin e seus irmãos Vili e Vé, que os moldaram a partir de dois troncos de árvore"
"O que é Sleipnir?","O cavalo de oito patas de Odin, o mais rápido de todos os cavalos, filho de Loki"
"Quem é Skadi?","Uma giganta e deusa associada ao esqui, inverno e montanhas"
"O que é Fólkvangr?","O reino pós-morte de Freya, onde ela recebe metade dos que morrem em batalha"
