"front","back"
"¿Dónde se celebraron los primeros Juegos Olímpicos modernos?","Atenas, Grecia en 1896"
"¿Quién fundó los Juegos Olímpicos modernos?","Pierre de Coubertin"
"¿Qué representan los cinco anillos olímpicos?","Los cinco continentes del mundo (África, Américas, Asia, Europa, Oceanía)"
"¿Cuáles son los colores de los anillos olímpicos?","Azul, amarillo, negro, verde y rojo"
"¿Cuál es el lema olímpico?","Citius, Altius, Fortius (Más Rápido, Más Alto, Más Fuerte) - actualizado para incluir Communiter (Juntos) en 2021"
"¿Con qué frecuencia se celebran los Juegos Olímpicos de Verano?","Cada cuatro años"
"¿Con qué frecuencia se celebran los Juegos Olímpicos de Invierno?","Cada cuatro años (desfasados dos años de los Juegos de Verano)"
"¿Qué país ha ganado más medallas de oro en los Juegos Olímpicos de Verano?","Estados Unidos"
"¿Qué país ha ganado más medallas de oro en los Juegos Olímpicos de Invierno?","Noruega"
"¿Qué es la llama olímpica?","Un símbolo de los Juegos Olímpicos, encendida en Olimpia y llevada por relevo de antorcha a la ciudad sede"
"¿Quién fue la primera mujer en competir en los Juegos Olímpicos modernos?","Las mujeres compitieron por primera vez en los Juegos Olímpicos de París 1900 (tenis y golf)"
"¿Qué atleta ha ganado más medallas de oro olímpicas?","Michael Phelps con 23 medallas de oro"
"¿Qué ciudad ha albergado más Juegos Olímpicos de Verano?","Londres (1908, 1948, 2012)"
"¿En qué año se cancelaron los Juegos Olímpicos debido a la Primera Guerra Mundial?","1916 (Berlín)"
"¿En qué años se cancelaron los Juegos Olímpicos debido a la Segunda Guerra Mundial?","1940 y 1944"
"¿Qué son los Juegos Paralímpicos?","Evento deportivo internacional para atletas con discapacidad, celebrado después de los Juegos Olímpicos"
"¿Cuándo comenzaron los Juegos Olímpicos de Invierno?","1924 en Chamonix, Francia"
"¿Cuál es el significado del relevo de la antorcha olímpica?","Simboliza el paso de las tradiciones olímpicas de Grecia al país anfitrión"
"¿Quién encendió el pebetero olímpico en los Juegos de Atlanta 1996?","Muhammad Ali"
"¿Qué sucedió en los Juegos Olímpicos de Múnich 1972?","Ataque terrorista de un grupo palestino mató a 11 atletas y entrenadores israelíes"
"¿Qué país boicoteó los Juegos Olímpicos de Moscú 1980?","Estados Unidos y otros 65 países (protestando contra la invasión soviética de Afganistán)"
"¿Qué país boicoteó los Juegos Olímpicos de Los Ángeles 1984?","Unión Soviética y 13 países aliados"
"¿Qué es el decatlón?","Un evento combinado con 10 disciplinas de atletismo en dos días"
"¿Cuál es la distancia del maratón y por qué?","42,195 km, basada en la leyenda de Filípides corriendo de Maratón a Atenas"
"¿Quién es Usain Bolt?","Velocista jamaicano, posee récords mundiales en 100m (9,58s) y 200m (19,19s)"
"¿Qué significa COI?","Comité Olímpico Internacional"
"¿Dónde se celebrarán los Juegos Olímpicos de Verano de 2028?","Los Ángeles, EE.UU."
"¿Dónde se celebrarán los Juegos Olímpicos de Verano de 2032?","Brisbane, Australia"
"¿Qué deporte volvió a los Juegos Olímpicos en 2016 después de 112 años?","Golf"
"¿Qué deporte debutó en los Juegos Olímpicos de Tokio 2020?","Skateboarding, surf, escalada deportiva y karate"
