front,back
¿En qué año se celebró la primera Copa Mundial de la FIFA?,1930
¿Qué país fue sede de la primera Copa Mundial?,Uruguay
¿Qué país ganó la primera Copa Mundial?,Uruguay
¿Cuántos equipos jugaron en la Copa Mundial de 1930?,13
¿Qué país ganó la Copa Mundial de 1934?,Italia
¿Qué país fue sede de la Copa Mundial de 1934?,Italia
¿Qué país ganó la Copa Mundial de 1938?,Italia
¿Por qué no hubo Copa Mundial en 1942?,Segunda Guerra Mundial
¿Por qué no hubo Copa Mundial en 1946?,Segunda Guerra Mundial
¿Qué país ganó la Copa Mundial de 1950?,Uruguay
¿Qué país fue sede de la Copa Mundial de 1950?,Brasil
¿Qué partido famoso ocurrió en el Maracanazo de 1950?,Uruguay venció a Brasil
¿Qué país ganó la Copa Mundial de 1954?,Alemania Occidental
¿Qué final se conoce como el Milagro de Berna?,Final de 1954
¿Qué país ganó la Copa Mundial de 1958?,Brasil
¿Quién fue la estrella adolescente de la Copa Mundial de 1958?,Pelé
¿Qué país fue sede de la Copa Mundial de 1958?,Suecia
¿Qué país ganó la Copa Mundial de 1962?,Brasil
¿Qué jugador ganó dos Copas Mundiales hasta 1962?,Pelé
¿Qué país fue sede de la Copa Mundial de 1962?,Chile
¿Qué país ganó la Copa Mundial de 1966?,Inglaterra
¿Qué país fue sede de la Copa Mundial de 1966?,Inglaterra
¿Quién anotó un hat-trick en la final de 1966?,Geoff Hurst
¿Qué país ganó la Copa Mundial de 1970?,Brasil
¿Qué país fue sede de la Copa Mundial de 1970?,México
¿Por qué es famosa la selección brasileña de 1970?,Considerada la mejor selección
¿Qué país ganó la Copa Mundial de 1974?,Alemania Occidental
¿Qué país fue sede de la Copa Mundial de 1974?,Alemania Occidental
¿Qué selección popularizó el Fútbol Total?,Países Bajos
¿Qué país ganó la Copa Mundial de 1978?,Argentina
¿Qué país fue sede de la Copa Mundial de 1978?,Argentina
¿Qué país ganó la Copa Mundial de 1982?,Italia
¿Qué país fue sede de la Copa Mundial de 1982?,España
¿Qué país ganó la Copa Mundial de 1986?,Argentina
¿Qué país fue sede de la Copa Mundial de 1986?,México
¿Quién marcó el gol de la Mano de Dios?,Diego Maradona
¿Qué país ganó la Copa Mundial de 1990?,Alemania Occidental
¿Qué país fue sede de la Copa Mundial de 1990?,Italia
¿Qué país ganó la Copa Mundial de 1994?,Brasil
¿Qué país fue sede de la Copa Mundial de 1994?,Estados Unidos
¿Qué final se decidió por penaltis en 1994?,Brasil vs Italia
¿Qué país ganó la Copa Mundial de 1998?,Francia
¿Qué país fue sede de la Copa Mundial de 1998?,Francia
¿Quién marcó dos veces en la final de 1998?,Zinedine Zidane
¿Qué país ganó la Copa Mundial de 2002?,Brasil
¿Qué países fueron sede de la Copa Mundial de 2002?,Japón y Corea del Sur
¿Quién fue el máximo goleador en 2002?,Ronaldo
¿Qué país ganó la Copa Mundial de 2006?,Italia
¿Qué país fue sede de la Copa Mundial de 2006?,Alemania
¿Quién dio un cabezazo en la final de 2006?,Zinedine Zidane
¿Qué país ganó la Copa Mundial de 2010?,España
¿Qué país fue sede de la Copa Mundial de 2010?,Sudáfrica
¿Quién marcó el gol de la victoria en 2010?,Andrés Iniesta
¿Qué país ganó la Copa Mundial de 2014?,Alemania
¿Qué país fue sede de la Copa Mundial de 2014?,Brasil
¿Qué gol famoso ocurrió en la final de 2014?,Gol de Götze en tiempo extra
¿Qué país ganó la Copa Mundial de 2018?,Francia
¿Qué país fue sede de la Copa Mundial de 2018?,Rusia
¿Quién fue el máximo goleador de la Copa Mundial de 2018?,Harry Kane
¿Qué país ganó la Copa Mundial de 2022?,Argentina
¿Qué país fue sede de la Copa Mundial de 2022?,Catar
¿Quién ganó el premio al mejor jugador en 2022?,Lionel Messi
¿Qué país ha ganado más Copas Mundiales?,Brasil
¿Cuántas Copas Mundiales ha ganado Brasil?,Cinco
¿Qué dos países han ganado cuatro títulos?,Alemania e Italia
¿Qué país ha ganado tres Copas Mundiales?,Argentina
¿Qué trofeo se entrega a los ganadores?,Trofeo de la Copa Mundial de la FIFA
¿Cómo se llamaba el antiguo trofeo?,Trofeo Jules Rimet
¿Qué jugador tiene más goles en Copas Mundiales?,Miroslav Klose
¿Qué jugador marcó en cuatro Copas Mundiales?,Pelé
¿Qué país ha participado en más Copas Mundiales?,Brasil
¿En qué año comenzó la Copa Mundial Femenina?,1991
¿En qué Copa Mundial se usó el VAR por primera vez?,2018
¿Cada cuánto tiempo se celebra la Copa Mundial?,Cada cuatro años
¿Qué continente fue sede de la Copa Mundial en 2010?,África
¿Qué Copa Mundial tuvo 32 equipos por primera vez?,1998
¿Qué Copa Mundial tendrá 48 equipos?,2026
¿Qué países serán sede de la Copa Mundial de 2026?,EE.UU., Canadá y México
¿Qué país nunca ha faltado a una Copa Mundial?,Brasil
