front,back
What 1972 film is considered one of the greatest ever made?,The Godfather
Who directed "The Godfather"?,Francis Ford Coppola
Who played Vito Corleone in "The Godfather"?,Marlon Brando
Who played Michael Corleone?,Al Pacino
What 1975 film made audiences afraid to go in the water?,Jaws
Who directed "Jaws"?,Steven Spielberg
What 1977 film revolutionized blockbuster filmmaking?,Star Wars
Who created Star Wars?,George Lucas
What 1979 sci-fi horror film featured a xenomorph?,Alien
Who directed "Alien"?,Ridley Scott
What 1971 film featured Alex DeLarge and ultraviolence?,A Clockwork Orange
Who directed "A Clockwork Orange"?,Stanley Kubrick
What 1974 film starred Jack Nicholson as a detective?,Chinatown
Who directed "Chinatown"?,Roman Polanski
What 1976 film launched Sylvester Stallone's career?,Rocky
What 1979 war film depicted the Vietnam War?,Apocalypse Now
Who directed "Apocalypse Now"?,Francis Ford Coppola
What 1973 horror film featured a possessed girl?,The Exorcist
Who directed "The Exorcist"?,William Friedkin
What 1975 film swept the Academy Awards?,One Flew Over the Cuckoo's Nest
Who starred in "One Flew Over the Cuckoo's Nest"?,Jack Nicholson
What 1976 film starred Robert De Niro as a taxi driver?,Taxi Driver
Who directed "Taxi Driver"?,Martin Scorsese
What 1971 film featured Gene Hackman as a detective?,The French Connection
What 1972 film featured Burt Reynolds in a canoe?,Deliverance
What 1978 film starred John Travolta dancing?,Saturday Night Fever
What 1978 musical starred Olivia Newton-John and John Travolta?,Grease
What 1979 film started the Superman franchise?,Superman
Who played Superman in 1978?,Christopher Reeve
What term describes the new directors of 1970s Hollywood?,New Hollywood
