front,back
What is Stoicism?,"An ancient Greek philosophy focused on virtue, reason, and living in accordance with nature"
Who founded Stoicism?,Zeno of Citium
What is the highest good in Stoicism?,Virtue
What are the four cardinal Stoic virtues?,Wisdom, Courage, Justice, Temperance
What does Stoicism teach about emotions?,Emotions should be understood and guided by reason
What is the Stoic view of happiness?,Happiness comes from living virtuously not from externals
What are externals in Stoicism?,Things outside our control like wealth, fame, and health
What is the Dichotomy of Control?,The idea that some things are in our control and others are not
What is under our control according to Stoics?,Our judgments, choices, and actions
What is not under our control according to Stoics?,Events, other people's actions, and outcomes
Who was Epictetus?,A former slave who became a major Stoic philosopher
What is Epictetus most famous work?,The Enchiridion
Who was Marcus Aurelius?,A Roman emperor and Stoic philosopher
What book did Marcus Aurelius write?,Meditations
Who was Seneca?,A Roman Stoic philosopher statesman and playwright
What is Stoic physics concerned with?,The rational order of the universe
What is Logos in Stoicism?,The rational principle governing the universe
What is living according to nature?,Living in harmony with reason and the natural order
What is Stoic ethics focused on?,How to live a virtuous life
What is Stoic logic used for?,Correct reasoning and avoiding false judgments
What is apatheia?,Freedom from destructive passions
What is a passion in Stoicism?,An excessive or irrational emotion
What is preferred indifference?,Something not necessary for virtue but naturally desired
Give examples of preferred indifferents,Health wealth friendship
What are dispreferred indifferents?,Things naturally avoided but morally neutral
What is the Stoic view of death?,Death is neither good nor bad
How do Stoics view pain?,Pain is an external and not evil
What is negative visualization?,Imagining loss to appreciate what you have
What is voluntary discomfort?,Practicing hardship to build resilience
What is the Stoic response to insult?,Examine the judgment rather than react emotionally
What is fate in Stoicism?,Events determined by the rational order of the universe
What is amor fati?,Love of fate
What is Stoic determinism?,The belief that events happen according to cause and effect
How do Stoics view free will?,Freedom exists in our judgments and responses
What is the role of reason in Stoicism?,Reason guides ethical living
What is oikeiosis?,The process of recognizing what is appropriate to oneself
What is Stoic cosmopolitanism?,The idea that all humans belong to one community
How should a Stoic treat others?,With fairness rationality and compassion
What is Stoic humility?,Recognizing human limitations
What is Stoic courage?,Acting rightly despite fear
What is Stoic temperance?,Moderation and self control
What is Stoic justice?,Acting fairly for the common good
What is Stoic wisdom?,Knowing what is good bad and indifferent
What is the Stoic view on wealth?,Wealth is indifferent not a source of virtue
What is the Stoic view on fame?,Fame is outside our control and indifferent
What is the Stoic view on pleasure?,Pleasure is not the highest good
What is the Stoic ideal person?,The sage
What is a Stoic sage?,A perfectly rational and virtuous person
Did Stoics believe sages exist?,They believed sages are extremely rare
What is moral progress in Stoicism?,Gradual improvement toward virtue
What is Stoic resilience?,Maintaining virtue under adversity
What is Stoic discipline of desire?,Aligning desires with what is in our control
What is Stoic discipline of action?,Acting ethically and socially
What is Stoic discipline of assent?,Controlling judgments and beliefs
What is Stoic assent?,Agreement with an impression
What are impressions?,Initial perceptions or thoughts
Why are impressions important?,They influence emotions and actions
What is Stoic tranquility?,Inner calm from rational living
What is Stoic simplicity?,Valuing what is necessary
What is Stoic acceptance?,Accepting what cannot be changed
What is Stoic responsibility?,Owning one’s choices
What is Stoic self mastery?,Control over impulses and desires
What is Stoic patience?,Enduring difficulty without complaint
What is Stoic gratitude?,Appreciation without attachment
What is Stoic mindfulness?,Awareness of thoughts and judgments
What is Stoic practice?,Daily exercises to train the mind
What is journaling in Stoicism?,Reflecting on actions and thoughts
What is morning reflection?,Preparing for challenges ahead
What is evening reflection?,Reviewing the day’s actions
What is Stoic friendship?,Mutual encouragement toward virtue
What is Stoic leadership?,Leading by reason and example
What is Stoic legacy?,Living virtuously regardless of recognition
What is the ultimate Stoic goal?,A life of virtue and inner freedom
