front,back
O que é viés de confirmação?,"A tendência de buscar, interpretar e lembrar informações que confirmam crenças preexistentes"
O que é o efeito placebo?,"Um efeito benéfico produzido por um tratamento que não pode ser atribuído ao tratamento em si, causado pela crença do paciente"
O que é dissonância cognitiva?,"Desconforto mental experimentado ao manter duas crenças, valores ou atitudes conflitantes simultaneamente"
Quem conduziu o Experimento da Prisão de Stanford?,"Philip Zimbardo em 1971"
O que é o efeito espectador?,"O fenômeno onde indivíduos são menos propensos a ajudar uma vítima quando outras pessoas estão presentes"
O que é condicionamento clássico?,"Um processo de aprendizagem onde um estímulo neutro se associa a uma resposta involuntária, descoberto por Ivan Pavlov"
O que é condicionamento operante?,"Um método de aprendizagem usando recompensas e punições para modificar comportamento, desenvolvido por B.F. Skinner"
O que é a hierarquia de necessidades de Maslow?,"Uma teoria motivacional com cinco níveis: fisiológico, segurança, amor/pertencimento, estima e autorrealização"
O que é o efeito Dunning-Kruger?,"Um viés cognitivo onde pessoas com competência limitada superestimam suas habilidades"
O que é o efeito halo?,"A tendência de uma impressão em uma área influenciar a opinião em outra área (ex: pessoas atraentes vistas como mais inteligentes)"
Qual é a capacidade da memória de curto prazo?,"Tipicamente 7±2 itens (Lei de Miller)"
O que os experimentos de obediência de Stanley Milgram demonstraram?,"Que pessoas comuns seguiriam ordens para administrar choques elétricos aparentemente prejudiciais a outros"
O que é a resposta de luta ou fuga?,"Uma reação fisiológica a ameaças percebidas, ativando o sistema nervoso simpático"
O que é motivação intrínseca?,"Motivação impulsionada por recompensas internas como prazer ou satisfação pessoal, em vez de recompensas externas"
O que é o modelo id, ego e superego de Sigmund Freud?,"Três partes da personalidade: id (instintos), ego (realidade), superego (moralidade)"
O que é viés de ancoragem?,"A tendência de confiar fortemente na primeira informação encontrada ao tomar decisões"
O que é o efeito de mera exposição?,"A tendência de desenvolver preferência por coisas simplesmente porque estamos familiarizados com elas"
O que é desamparo aprendido?,"Uma condição onde uma pessoa se sente impotente após falhas repetidas, descoberto por Martin Seligman"
O que é sono REM?,"Sono de Movimento Rápido dos Olhos, associado a sonhos vívidos e consolidação de memória"
O que é neuroplasticidade?,"A capacidade do cérebro de se reorganizar formando novas conexões neurais ao longo da vida"
O que é inteligência emocional (QE)?,"A capacidade de reconhecer, entender e gerenciar as próprias emoções e as emoções dos outros"
O que é a heurística de disponibilidade?,"Um atalho mental que se baseia em exemplos imediatos que vêm à mente ao avaliar um tópico"
O que é projeção (mecanismo de defesa)?,"Atribuir seus próprios pensamentos ou sentimentos inaceitáveis a outros"
O que é o efeito Stroop?,"Tempo de reação atrasado quando a cor de uma palavra difere da própria palavra (ex: a palavra 'VERMELHO' escrita em azul)"
Quem é o pai da psicologia moderna?,"Wilhelm Wundt, que estabeleceu o primeiro laboratório de psicologia em 1879"
O que é o efeito de recência?,"A tendência de lembrar melhor as informações apresentadas mais recentemente"
O que é o efeito de primazia?,"A tendência de lembrar melhor as informações apresentadas primeiro do que as apresentadas depois"
O que é vadiagem social?,"A tendência de indivíduos se esforçarem menos quando trabalham em grupo do que quando trabalham sozinhos"
O que é o efeito holofote?,"A tendência de superestimar o quanto os outros notam nossa aparência ou comportamento"
O que é aprendizagem observacional?,"Aprender observando e imitando outros, estudado extensivamente por Albert Bandura"
