"front","back"
"Qual trilogia de fantasia concluiu em 2003 com um Oscar de Melhor Filme?","O Senhor dos Anéis"
"Quem dirigiu a trilogia ""O Senhor dos Anéis""?","Peter Jackson"
"Qual filme de super-herói de 2008 apresentou Heath Ledger como o Coringa?","Batman: O Cavaleiro das Trevas"
"Quem dirigiu ""Batman: O Cavaleiro das Trevas""?","Christopher Nolan"
"Qual filme de 2009 se tornou o filme de maior bilheteria de todos os tempos?","Avatar"
"Quem dirigiu ""Avatar""?","James Cameron"
"Qual filme de 2000 apresentou Russell Crowe como um gladiador?","Gladiador"
"Quem dirigiu ""Gladiador""?","Ridley Scott"
"Qual filme de 2001 iniciou a franquia Harry Potter?","Harry Potter e a Pedra Filosofal"
"Quem interpretou Harry Potter?","Daniel Radcliffe"
"Qual filme de super-herói de 2002 lançou a franquia Marvel?","Homem-Aranha"
"Quem interpretou o Homem-Aranha em 2002?","Tobey Maguire"
"Qual filme da Pixar de 2003 apresentou um peixe-palhaço procurando seu filho?","Procurando Nemo"
"Qual filme de 2004 apresentou um romance com vampiros?","Entrevista com o Vampiro (1994) / Crepúsculo (2008)"
"Qual filme de 2006 apresentou 300 espartanos?","300"
"Quem dirigiu ""300""?","Zack Snyder"
"Qual filme dos Irmãos Coen de 2007 ganhou o Oscar de Melhor Filme?","Onde os Fracos Não Têm Vez"
"Qual filme da Pixar de 2008 apresentou um robô chamado WALL-E?","WALL-E"
"Qual filme de Christopher Nolan de 2000 apresentou perda de memória?","Amnésia"
"Qual filme de 2001 apresentou ogros falantes?","Shrek"
"Qual filme de 2002 ganhou o Oscar de Melhor Filme sobre um pianista?","O Pianista"
"Quem dirigiu ""O Pianista""?","Roman Polanski"
"Qual filme de 2003 apresentou Bill Murray no Japão?","Encontros e Desencontros"
"Quem dirigiu ""Encontros e Desencontros""?","Sofia Coppola"
"Qual filme de 2005 apresentou a origem do Batman?","Batman Begins"
"Qual filme de Martin Scorsese de 2006 ganhou o Oscar de Melhor Filme?","Os Infiltrados"
"Qual filme de 2007 apresentou Daniel Day-Lewis como um homem do petróleo?","Sangue Negro"
"Qual filme da Pixar de 2009 apresentou uma casa com balões?","Up - Altas Aventuras"
"Qual filme de 2008 apresentou um milionário de Mumbai?","Quem Quer Ser um Milionário?"
"Qual filme de 2003 concluiu a trilogia Matrix?","Matrix Revolutions"
