"front","back"
"O que foi a Batalha de Maratona (490 a.C.)?","Uma vitória decisiva dos gregos sobre o Império Persa nas planícies de Maratona, preservando a independência grega e inspirando a lenda da corrida de Fidípides até Atenas"
"O que foi a Batalha das Termópilas (480 a.C.)?","Uma famosa resistência final onde 300 espartanos e aliados gregos contiveram o enorme exército persa de Xerxes I em um desfiladeiro costeiro por três dias"
"O que foi a Batalha de Salamina (480 a.C.)?","Uma batalha naval onde a frota grega em menor número derrotou a marinha persa nos estreitos perto de Atenas, mudando o rumo das Guerras Greco-Persas"
"O que foi a Batalha de Gaugamela (331 a.C.)?","A vitória decisiva de Alexandre, o Grande, sobre o rei persa Dario III, encerrando efetivamente o Império Aquemênida e tornando Alexandre governante da Pérsia"
"O que foi a Batalha de Canas (216 a.C.)?","A obra-prima tática de Aníbal, onde as forças cartaginesas cercaram e destruíram um exército romano muito maior, matando até 70.000 romanos em um único dia"
"O que foi a Batalha de Alésia (52 a.C.)?","O cerco de Júlio César à fortaleza gaulesa, onde construiu duplas fortificações — uma voltada para dentro e outra para fora — derrotando Vercingetórix e completando a conquista romana da Gália"
"O que foi a Batalha de Ácio (31 a.C.)?","Uma batalha naval onde Otaviano derrotou as forças combinadas de Marco Antônio e Cleópatra, levando ao fim da República Romana e à ascensão do Império Romano"
"O que foi a Batalha da Floresta de Teutoburgo (9 d.C.)?","Tribos germânicas sob Armínio emboscaram e destruíram três legiões romanas, impedindo permanentemente a expansão romana a leste do Rio Reno"
"O que foi a Batalha de Tours (732 d.C.)?","O líder franco Carlos Martel derrotou um exército invasor muçulmano omíada no centro da França, frequentemente creditado por deter o avanço islâmico na Europa Ocidental"
"O que foi a Batalha de Hastings (1066)?","As forças normandas de Guilherme, o Conquistador, derrotaram o rei Haroldo II da Inglaterra, mudando fundamentalmente a cultura, a língua e a governança inglesas"
"O que foi a Batalha de Hattin (1187)?","A vitória decisiva de Saladino sobre o Reino Cruzado de Jerusalém, levando à reconquista muçulmana de Jerusalém e desencadeando a Terceira Cruzada"
"O que foi a Batalha de Azincourt (1415)?","O exército em menor número do rei inglês Henrique V, apoiado fortemente por arqueiros de arco longo, derrotou uma força francesa muito maior durante a Guerra dos Cem Anos"
"O que foi a Queda de Constantinopla (1453)?","O sultão otomano Mehmed II capturou a capital bizantina usando canhões enormes, encerrando o Império Bizantino de 1.000 anos e marcando o fim da era medieval"
"O que foi a Batalha de Lepanto (1571)?","Uma frota da Liga Santa derrotou a marinha otomana na maior batalha naval da história ocidental desde a antiguidade, contendo a expansão otomana no Mediterrâneo"
"O que foi a Armada Espanhola (1588)?","A fracassada frota de invasão enviada pelo rei Filipe II da Espanha contra a Inglaterra, derrotada por navios ingleses e tempestades devastadoras, transferindo o poder naval para a Inglaterra"
"O que foi a Batalha de Viena (1683)?","Uma força europeia combinada liderada pelo rei polonês Jan III Sobieski derrotou o cerco otomano de Viena, marcando o início do declínio otomano na Europa"
"O que foi a Batalha de Blenheim (1704)?","O Duque de Marlborough e o Príncipe Eugênio de Saboia derrotaram um exército franco-bávaro, impedindo a dominação francesa da Europa durante a Guerra de Sucessão Espanhola"
"O que foi a Batalha de Trafalgar (1805)?","A Marinha Real do Almirante Horatio Nelson destruiu a frota combinada francesa e espanhola, garantindo a supremacia naval britânica por mais de um século, embora Nelson tenha morrido"
"O que foi a Batalha de Austerlitz (1805)?","A maior vitória de Napoleão, onde derrotou um exército russo-austríaco maior através de brilhante engano tático, também conhecida como a Batalha dos Três Imperadores"
"O que foi a Batalha de Waterloo (1815)?","A derrota final de Napoleão pelo Duque de Wellington e forças prussianas sob Blücher na Bélgica, encerrando a era napoleônica e remodelando a política europeia"
"O que foi a Batalha de Gettysburg (1863)?","A batalha mais sangrenta da Guerra Civil Americana, uma vitória decisiva da União na Pensilvânia que marcou o ponto de virada contra a Confederação"
"O que foi a Batalha de Tsushima (1905)?","A marinha japonesa destruiu a Frota do Báltico russa no estreito entre a Coreia e o Japão, a primeira vitória moderna de uma potência asiática sobre uma europeia"
"O que foi a Batalha do Somme (1916)?","Uma das batalhas mais sangrentas da Primeira Guerra Mundial, com mais de 1 milhão de baixas em quase cinco meses. Os britânicos sofreram 57.000 baixas apenas no primeiro dia"
"O que foi a Batalha de Verdun (1916)?","Uma batalha de desgaste de 10 meses na Primeira Guerra Mundial entre forças francesas e alemãs, tornando-se símbolo da determinação francesa com o lema 'Eles não passarão'"
"O que foi a Batalha de Stalingrado (1942-1943)?","O ponto de virada da Frente Oriental na Segunda Guerra Mundial, onde a União Soviética cercou e destruiu o 6º Exército da Alemanha após meses de brutal guerra urbana"
"O que foi a Batalha de Midway (1942)?","Uma batalha naval decisiva na Segunda Guerra Mundial onde a Marinha dos EUA afundou quatro porta-aviões japoneses, mudando o equilíbrio de poder no Pacífico"
"O que foi o Dia D / Batalha da Normandia (1944)?","A maior invasão anfíbia da história, onde as forças Aliadas desembarcaram em cinco praias na Normandia, França, iniciando a libertação da Europa Ocidental do controle nazista"
"O que foi a Batalha do Bulge (1944-1945)?","A última grande ofensiva da Alemanha na Frente Ocidental, um ataque surpresa pelas Ardenas que inicialmente empurrou as linhas aliadas antes de ser derrotado"
"O que foi a Batalha de Berlim (1945)?","A última grande batalha na Europa durante a Segunda Guerra Mundial, onde forças soviéticas capturaram a capital alemã, levando ao suicídio de Hitler e à rendição incondicional da Alemanha"
"O que foi a Batalha de Dien Bien Phu (1954)?","Uma vitória do Viet Minh sobre as forças coloniais francesas no Vietnã, encerrando o domínio francês na Indochina e preparando o cenário para o envolvimento americano no Vietnã"
