question,answer
¿Quién es el rey de los dioses griegos y gobernante del Monte Olimpo?,Zeus
¿Quién es la diosa griega de la sabiduría y la guerra?,Atenea
¿Quién es el dios griego del mar y los terremotos?,Poseidón
¿Quién es el dios griego del inframundo?,Hades
¿Quién es la diosa griega del amor y la belleza?,Afrodita
¿Quién es el dios griego de la guerra?,Ares
¿Quién es el dios griego de la música y el sol?,Apolo
¿Quién es la diosa griega de la caza y la luna?,Artemisa
¿Quién es el dios mensajero griego con sandalias aladas?,Hermes
¿Quién es el dios griego del fuego y la metalurgia?,Hefesto
¿Quién es la diosa griega de la cosecha y la agricultura?,Deméter
¿Quién es la diosa griega del matrimonio y reina de los dioses?,Hera
¿Quién es el dios griego del vino y la celebración?,Dioniso
¿Cuál es el nombre del caballo alado en la mitología griega?,Pegaso
¿Qué criatura tiene cabeza de toro y cuerpo de hombre?,El Minotauro
¿Qué perro de tres cabezas guarda la entrada al inframundo?,Cerbero
¿Qué criatura tiene serpientes por cabello y convierte a la gente en piedra?,Medusa
¿Quién robó el fuego de los dioses y se lo dio a la humanidad?,Prometeo
¿Quién es el héroe griego conocido por sus doce trabajos?,Heracles (Hércules)
¿Quién es el héroe griego que mató al Minotauro?,Teseo
¿Cuál es el nombre de los gigantes de un solo ojo en la mitología griega?,Cíclopes
¿Quién navegó con los Argonautas para encontrar el Vellocino de Oro?,Jasón
¿Quién es el héroe griego de la Guerra de Troya conocido por su talón?,Aquiles
¿Qué caja liberó todos los males al mundo cuando se abrió?,La Caja de Pandora
¿Quién voló demasiado cerca del sol con alas de cera?,Ícaro
¿Qué es el Monte Olimpo?,El hogar de los dioses griegos
¿Quiénes son las nueve diosas de las artes y las ciencias?,Las Musas
¿Qué río deben cruzar las almas para entrar al inframundo?,El Río Estigia
¿Quién es el barquero que transporta almas a través del Río Estigia?,Caronte
¿Cómo se llama el néctar de los dioses que otorga la inmortalidad?,Ambrosía
