"front","back"
"Qual jogo da Nintendo de 1985 apresentava um encanador resgatando uma princesa?","Super Mario Bros."
"Quem é o personagem principal de ""The Legend of Zelda""?","Link (não é Zelda)"
"Qual empresa criou Sonic the Hedgehog?","Sega"
"Qual RPG de 1997 apresentava Cloud Strife?","Final Fantasy VII"
"Qual jogo de arcade de 1980 apresentava um círculo amarelo comendo pontos?","Pac-Man"
"Quem criou Mario?","Shigeru Miyamoto"
"Qual jogo de 1993 popularizou o gênero de tiro em primeira pessoa?","Doom"
"Como o Nintendo Entertainment System (NES) era chamado no Japão?","Famicom"
"Qual jogo de 1996 apresentava Lara Croft?","Tomb Raider"
"Qual foi o primeiro videogame comercialmente bem-sucedido?","Pong (1972)"
"O nome de qual empresa de jogos significa ""deixe a sorte para o céu"" em japonês?","Nintendo"
"Qual jogo de 1991 apresentava um ouriço azul correndo por loops?","Sonic the Hedgehog"
"Quem é o irmão de Mario?","Luigi"
"Qual jogo de espionagem de 1998 apresentava Solid Snake?","Metal Gear Solid"
"Qual empresa criou o PlayStation?","Sony"
"Qual console portátil de 1989 dominou os jogos portáteis?","Game Boy"
"Qual jogo de quebra-cabeça vinha com o Game Boy?","Tetris"
"Qual jogo de 2001 lançou o Xbox?","Halo: Combat Evolved"
"Qual jogo de 1999 permitia capturar e treinar criaturas?","Pokémon Red e Blue (1996 Japão, 1999 EUA)"
"Quem é o antagonista na série Super Mario?","Bowser"
"Qual jogo de 2004 apresentava um criminoso em San Andreas?","Grand Theft Auto: San Andreas"
"Qual série de corrida apresenta Mario e amigos?","Mario Kart"
"Qual jogo de luta de 1992 apresentava fatalities?","Mortal Kombat"
"Qual empresa criou Street Fighter?","Capcom"
"Qual jogo de 2000 apresentava uma simulação da vida?","The Sims"
"Quem criou The Sims?","Will Wright"
"Qual jogo de 1994 apresentava Donkey Kong retornando como herói?","Donkey Kong Country"
"Qual jogo de 2007 apresentava portais e um bolo mentiroso?","Portal"
"Qual jogo de 2011 apresentava mineração e construção em um mundo de blocos?","Minecraft"
"Qual empresa criou o Minecraft?","Mojang (agora pertence à Microsoft)"
