"front","back"
"What is a light-year?","The distance light travels in one year (about 9.46 trillion kilometers)"
"What is the closest star to Earth?","The Sun (Proxima Centauri is the closest star after the Sun)"
"How old is the universe?","Approximately 13.8 billion years"
"What is the Big Bang?","The theoretical beginning of the universe from an extremely hot, dense state"
"What is a galaxy?","A massive system of stars, gas, dust, and dark matter bound by gravity"
"What galaxy do we live in?","The Milky Way"
"What is the nearest major galaxy to the Milky Way?","The Andromeda Galaxy (about 2.5 million light-years away)"
"What are the planets in our solar system in order?","Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune"
"What is the largest planet in our solar system?","Jupiter"
"What is the smallest planet in our solar system?","Mercury"
"What is a black hole?","A region of space where gravity is so strong that nothing, not even light, can escape"
"What is a neutron star?","The collapsed core of a massive star composed almost entirely of neutrons"
"What is a supernova?","The explosive death of a massive star"
"What is a nebula?","A cloud of gas and dust in space, often a site of star formation"
"What is the Hubble constant?","The rate at which the universe is expanding"
"What is dark matter?","Invisible matter that doesn't emit light but affects gravity"
"What is dark energy?","A mysterious force causing the universe's expansion to accelerate"
"What are the inner (terrestrial) planets?","Mercury, Venus, Earth, and Mars"
"What are the outer (gas giant) planets?","Jupiter, Saturn, Uranus, and Neptune"
"What is an asteroid?","A rocky object orbiting the Sun, mostly found between Mars and Jupiter"
"What is a comet?","An icy body that releases gas and dust, forming a tail when near the Sun"
"What is the Kuiper Belt?","A region of icy objects beyond Neptune's orbit"
"What is the Oort Cloud?","A theoretical cloud of icy objects at the outer edge of the solar system"
"What is a pulsar?","A rotating neutron star that emits beams of radiation"
"What is redshift?","The stretching of light wavelengths from objects moving away from us"
"What is the cosmic microwave background?","Radiation left over from the early universe, about 380,000 years after the Big Bang"
"What is an exoplanet?","A planet orbiting a star outside our solar system"
"What is the habitable zone?","The region around a star where liquid water could exist on a planet's surface"
"What is a lunar eclipse?","When Earth passes between the Sun and Moon, casting a shadow on the Moon"
"What is a solar eclipse?","When the Moon passes between the Sun and Earth, blocking sunlight"
