"front","back"
"¿Qué es la mecánica cuántica?","La rama de la física que describe el comportamiento de la materia y energía a escalas atómicas y subatómicas"
"¿Qué es la constante de Planck?","6,626 × 10⁻³⁴ J⋅s - la constante fundamental que relaciona energía con frecuencia"
"¿Qué es la dualidad onda-partícula?","El concepto de que toda materia exhibe propiedades tanto de onda como de partícula"
"¿Qué es el Principio de Incertidumbre de Heisenberg?","No se puede conocer simultáneamente la posición exacta y el momento de una partícula"
"¿Qué es un fotón?","Un cuanto de luz - la cantidad discreta más pequeña de radiación electromagnética"
"¿Qué es el efecto fotoeléctrico?","Emisión de electrones cuando la luz incide sobre un material, demostrando la naturaleza de partícula de la luz"
"¿Qué es la cuantización?","La restricción de una cantidad física a valores discretos en lugar de continuos"
"¿Qué es un estado cuántico?","Una descripción matemática de un sistema cuántico que contiene toda la información medible"
"¿Qué es la superposición?","Un sistema cuántico existiendo en múltiples estados simultáneamente hasta ser medido"
"¿Qué es el entrelazamiento cuántico?","Cuando las partículas se correlacionan de modo que medir una afecta instantáneamente a la otra"
"¿Qué es la ecuación de Schrödinger?","La ecuación fundamental que describe cómo los estados cuánticos evolucionan con el tiempo"
"¿Qué es el gato de Schrödinger?","Un experimento mental que ilustra la superposición - un gato tanto vivo como muerto hasta ser observado"
"¿Qué es la función de onda (ψ)?","Una función matemática que describe el estado cuántico de una partícula"
"¿Qué es el colapso de la función de onda?","La transición de superposición a un estado definido tras la medición"
"¿Qué es la interpretación de Copenhague?","La visión de que los sistemas cuánticos no tienen propiedades definidas hasta ser medidos"
"¿Qué es la interpretación de los muchos mundos?","La visión de que todos los resultados posibles de mediciones cuánticas ocurren en universos separados"
"¿Qué es el efecto túnel cuántico?","Cuando las partículas atraviesan barreras que clásicamente no podrían superar"
"¿Qué es el espín en mecánica cuántica?","Una propiedad intrínseca de momento angular de las partículas no relacionada con la rotación real"
"¿Qué son los fermiones?","Partículas con espín semientero (electrones, protones, neutrones) que obedecen el principio de exclusión de Pauli"
"¿Qué son los bosones?","Partículas con espín entero (fotones, gluones) que pueden ocupar el mismo estado cuántico"
"¿Qué es el principio de exclusión de Pauli?","Dos fermiones idénticos no pueden ocupar el mismo estado cuántico simultáneamente"
"¿Qué es un qubit?","Un bit cuántico que puede existir en superposición de estados 0 y 1"
"¿Qué es la decoherencia cuántica?","La pérdida de comportamiento cuántico cuando un sistema interactúa con su entorno"
"¿Qué es la longitud de onda de de Broglie?","La longitud de onda asociada con una partícula: λ = h/p"
"¿Qué es el experimento de la doble rendija?","Experimento que muestra la dualidad onda-partícula donde las partículas crean patrones de interferencia"
"¿Qué es la teoría cuántica de campos?","Marco que combina la mecánica cuántica con la relatividad especial para describir la física de partículas"
"¿Qué es el Modelo Estándar?","La teoría que describe las partículas y fuerzas fundamentales (excepto la gravedad)"
"¿Qué es la energía del punto cero?","La energía más baja posible que un sistema cuántico puede tener (nunca exactamente cero)"
"¿Qué es el principio de superposición cuántica?","Cualquier dos estados cuánticos pueden sumarse para obtener otro estado cuántico válido"
"¿Qué es el teorema de Bell?","Demuestra que ninguna teoría de variables ocultas locales puede reproducir todas las predicciones de la mecánica cuántica"
