"front","back"
"What is renewable energy?","Energy from natural sources that replenish on a human timescale, like sun, wind, water, and biomass"
"What is the most abundant renewable energy source on Earth?","Solar energy"
"How do solar photovoltaic (PV) panels generate electricity?","They convert sunlight directly into electricity using semiconductor cells"
"What does a wind turbine convert?","The kinetic energy of moving air into electrical energy"
"What is hydropower?","Electricity generated from flowing or falling water"
"What is geothermal energy?","Energy derived from heat stored beneath Earth's surface"
"What is biomass energy?","Energy produced from organic materials such as wood, crop waste, and biogas"
"What is the main benefit of renewable energy for climate?","It greatly reduces greenhouse gas emissions compared to fossil fuels"
"What is intermittency in renewables?","Variable output due to changing weather or daylight conditions"
"Why is battery storage important for renewables?","It stores excess electricity and supplies power when generation is low"
"What is net metering?","A billing system that credits solar owners for excess electricity sent to the grid"
"What is a power purchase agreement (PPA)?","A long-term contract to buy electricity at an agreed price"
"What does LCOE stand for?","Levelized Cost of Energy, a metric comparing lifetime generation costs"
"What is offshore wind?","Wind power generated by turbines installed in bodies of water, usually at sea"
"What is concentrated solar power (CSP)?","A technology that uses mirrors to focus sunlight and produce heat for electricity"
"What is a smart grid?","An electricity network using digital controls to improve efficiency and reliability"
"What is distributed generation?","Electricity production from many small local sources near users"
"What is curtailment in renewable systems?","Reducing renewable output because the grid cannot absorb all available power"
"What is green hydrogen?","Hydrogen produced using renewable electricity to split water via electrolysis"
"Why are transmission lines important for clean energy?","They move electricity from resource-rich areas to demand centers"
"What is the capacity factor of a power plant?","Actual output over time divided by maximum possible output"
"Which renewable source is most used globally for electricity today?","Hydropower"
"What is pumped hydro storage?","A storage method that pumps water uphill when power is cheap and releases it later"
"What are renewable energy certificates (RECs)?","Tradable certificates representing proof of renewable electricity generation"
"What is one challenge of rooftop solar adoption?","Upfront installation cost, even though operating costs are low"
"How do renewables improve energy security?","They reduce dependence on imported fuels and diversify supply"
"What is the role of inverters in solar systems?","They convert DC electricity from panels into AC electricity for homes and grids"
"What is community solar?","A shared solar project that allows multiple users to receive bill credits"
"What does decarbonization of electricity mean?","Cutting power-sector carbon emissions by replacing fossil generation with low-carbon sources"
"What is a key co-benefit of replacing coal with renewables?","Cleaner air and lower public health impacts"
