question,answer
Quem é o rei dos deuses gregos e governante do Monte Olimpo?,Zeus
Quem é a deusa grega da sabedoria e da guerra?,Atena
Quem é o deus grego do mar e dos terremotos?,Poseidon
Quem é o deus grego do submundo?,Hades
Quem é a deusa grega do amor e da beleza?,Afrodite
Quem é o deus grego da guerra?,Ares
Quem é o deus grego da música e do sol?,Apolo
Quem é a deusa grega da caça e da lua?,Ártemis
Quem é o deus mensageiro grego com sandálias aladas?,Hermes
Quem é o deus grego do fogo e da metalurgia?,Hefesto
Quem é a deusa grega da colheita e da agricultura?,Deméter
Quem é a deusa grega do casamento e rainha dos deuses?,Hera
Quem é o deus grego do vinho e da celebração?,Dionísio
Qual é o nome do cavalo alado na mitologia grega?,Pégaso
Qual criatura tem cabeça de touro e corpo de homem?,O Minotauro
Qual cão de três cabeças guarda a entrada do submundo?,Cérbero
Qual criatura tem cobras no lugar de cabelo e transforma pessoas em pedra?,Medusa
Quem roubou o fogo dos deuses e o deu à humanidade?,Prometeu
Quem é o herói grego conhecido por seus doze trabalhos?,Héracles (Hércules)
Quem é o herói grego que matou o Minotauro?,Teseu
Qual é o nome dos gigantes de um olho só na mitologia grega?,Ciclopes
Quem navegou com os Argonautas para encontrar o Velocino de Ouro?,Jasão
Quem é o herói grego da Guerra de Troia conhecido por seu calcanhar?,Aquiles
Qual caixa liberou todos os males no mundo quando aberta?,A Caixa de Pandora
Quem voou muito perto do sol com asas de cera?,Ícaro
O que é o Monte Olimpo?,O lar dos deuses gregos
Quem são as nove deusas das artes e das ciências?,As Musas
Qual rio as almas devem atravessar para entrar no submundo?,O Rio Estige
Quem é o barqueiro que transporta almas através do Rio Estige?,Caronte
Como se chama o néctar dos deuses que concede imortalidade?,Ambrosia
