front,back
Who wrote "Pride and Prejudice"?,Jane Austen
Who wrote "1984"?,George Orwell
Who wrote "To Kill a Mockingbird"?,Harper Lee
Who wrote "The Great Gatsby"?,F. Scott Fitzgerald
Who wrote "One Hundred Years of Solitude"?,Gabriel García Márquez
Who wrote "Don Quixote"?,Miguel de Cervantes
Who wrote "War and Peace"?,Leo Tolstoy
Who wrote "Crime and Punishment"?,Fyodor Dostoevsky
Who wrote "The Divine Comedy"?,Dante Alighieri
Who wrote "Hamlet"?,William Shakespeare
What literary movement emphasized emotion and nature?,Romanticism
What literary movement focused on realistic depiction of life?,Realism
What literary movement explored the subconscious mind?,Modernism
What is a sonnet?,A 14-line poem with a specific rhyme scheme
What is an epic?,A long narrative poem about heroic deeds
What is allegory?,A story with a hidden moral or political meaning
What is stream of consciousness?,A narrative technique that depicts a character's thoughts
Who is considered the father of English literature?,Geoffrey Chaucer
What is the oldest known work of literature?,"The Epic of Gilgamesh, from ancient Mesopotamia"
Who wrote "The Odyssey"?,Homer
Who wrote "Les Misérables"?,Victor Hugo
Who wrote "Anna Karenina"?,Leo Tolstoy
Who wrote "Moby-Dick"?,Herman Melville
Who wrote "The Brothers Karamazov"?,Fyodor Dostoevsky
Who wrote "Wuthering Heights"?,Emily Brontë
Who wrote "Jane Eyre"?,Charlotte Brontë
Who wrote "Frankenstein"?,Mary Shelley
Who wrote "Dracula"?,Bram Stoker
Who wrote "The Picture of Dorian Gray"?,Oscar Wilde
What is the Harlem Renaissance?,A cultural movement celebrating African American art and literature in the 1920s
Who wrote "Beloved"?,Toni Morrison
Who wrote "The Color Purple"?,Alice Walker
Who wrote "The Catcher in the Rye"?,J.D. Salinger
Who wrote "Brave New World"?,Aldous Huxley
Who wrote "Lord of the Flies"?,William Golding
What is magical realism?,A genre blending realistic narrative with magical elements
Who won the first Nobel Prize in Literature?,Sully Prudhomme in 1901
Who wrote "In Search of Lost Time"?,Marcel Proust
Who wrote "Ulysses"?,James Joyce
Who wrote "Mrs Dalloway"?,Virginia Woolf
What is the Beat Generation?,A literary movement of the 1950s rejecting mainstream values
Who wrote "On the Road"?,Jack Kerouac
Who wrote "The Metamorphosis"?,Franz Kafka
What is dystopian fiction?,Fiction depicting a dark, oppressive future society
Who wrote "Fahrenheit 451"?,Ray Bradbury
Who wrote "The Handmaid's Tale"?,Margaret Atwood
What is a bildungsroman?,A coming-of-age novel about a character's growth
Who wrote "Great Expectations"?,Charles Dickens
Who wrote "A Tale of Two Cities"?,Charles Dickens
Who wrote "The Old Man and the Sea"?,Ernest Hemingway
