"front","back"
"What was the largest known dinosaur by length?","Argentinosaurus, estimated at 30–40 meters (100–130 feet) long"
"In which geological era did dinosaurs first appear?","The Mesozoic Era, specifically the Triassic period (~230 million years ago)"
"What are the three periods of the Mesozoic Era?","Triassic, Jurassic, and Cretaceous"
"What does the word 'dinosaur' mean?","'Terrible lizard' — from Greek deinos (terrible) + sauros (lizard)"
"Who coined the term 'Dinosauria' in 1842?","Sir Richard Owen"
"What event caused the mass extinction of non-avian dinosaurs?","The Chicxulub asteroid impact ~66 million years ago, combined with volcanic activity"
"Where is the Chicxulub crater located?","Yucatán Peninsula, Mexico"
"What is the closest living relative of dinosaurs?","Birds — they are technically living theropod dinosaurs"
"What were the two main groups (orders) of dinosaurs?","Saurischia (lizard-hipped) and Ornithischia (bird-hipped)"
"What was the most famous large theropod predator?","Tyrannosaurus rex"
"How long were T. rex's arms?","About 1 meter (3.3 feet) — tiny relative to its 12-meter body"
"What dinosaur had the longest neck?","Mamenchisaurus, with a neck up to 15 meters (49 feet) long"
"What was the top speed estimated for a Velociraptor?","About 40 km/h (25 mph)"
"How big was a real Velociraptor compared to the movie version?","Much smaller — about the size of a turkey, ~2 meters long including tail"
"What dinosaur had the thickest skull?","Pachycephalosaurus, with a skull dome up to 25 cm (10 inches) thick"
"What was the purpose of Stegosaurus's back plates?","Most likely thermoregulation and display, not armor"
"How many horns did Triceratops have?","Three — two large brow horns and one smaller nose horn"
"What is a coprolite?","Fossilized dinosaur dung, used to study their diet"
"What flying reptiles lived alongside dinosaurs?","Pterosaurs (not actually dinosaurs themselves)"
"What was the largest flying reptile?","Quetzalcoatlus, with a wingspan of ~10–11 meters (33–36 feet)"
"What dinosaur is known for its large sail-like spine?","Spinosaurus, which was also semi-aquatic"
"Was Spinosaurus larger than T. rex?","Yes — Spinosaurus is estimated at 14–18 meters, compared to T. rex's 12 meters"
"What small dinosaur is famous for its sickle-shaped claw?","Deinonychus (and its relative Velociraptor)"
"What dinosaur had 500+ teeth arranged in rows?","Nigersaurus, a sauropod from Africa"
"Where was the first dinosaur fossil scientifically described?","England — Megalosaurus was described by William Buckland in 1824"
"What is the K-Pg boundary?","The geological layer marking the Cretaceous–Paleogene extinction event (66 mya)"
"What dinosaur had the longest tail?","Diplodocus, with a tail up to 14 meters (45 feet) — used like a whip"
"Were dinosaurs warm-blooded or cold-blooded?","Current evidence suggests many were mesotherms (intermediate) or warm-blooded"
"What is the smallest known dinosaur?","Bee hummingbird is technically a dinosaur; among non-avian: Microraptor (~77 cm)"
"What continent have dinosaur fossils been found on?","All seven continents, including Antarctica"
