"front","back"
"Qual foi o maior dinossauro conhecido em comprimento?","Argentinosaurus, estimado em 30–40 metros de comprimento"
"Em qual era geológica os dinossauros surgiram?","Na Era Mesozoica, especificamente no período Triássico (~230 milhões de anos atrás)"
"Quais são os três períodos da Era Mesozoica?","Triássico, Jurássico e Cretáceo"
"O que significa a palavra 'dinossauro'?","'Lagarto terrível' — do grego deinos (terrível) + sauros (lagarto)"
"Quem cunhou o termo 'Dinosauria' em 1842?","Sir Richard Owen"
"Que evento causou a extinção em massa dos dinossauros não-avianos?","O impacto do asteroide Chicxulub há ~66 milhões de anos, combinado com atividade vulcânica"
"Onde fica a cratera de Chicxulub?","Península de Yucatán, México"
"Qual é o parente vivo mais próximo dos dinossauros?","As aves — tecnicamente são dinossauros terópodes vivos"
"Quais eram as duas principais ordens de dinossauros?","Saurischia (quadril de lagarto) e Ornithischia (quadril de ave)"
"Qual foi o mais famoso grande predador terópode?","Tyrannosaurus rex"
"Qual era o tamanho dos braços do T. rex?","Cerca de 1 metro — minúsculos em relação ao corpo de 12 metros"
"Qual dinossauro tinha o pescoço mais longo?","Mamenchisaurus, com pescoço de até 15 metros"
"Qual era a velocidade máxima estimada de um Velociraptor?","Cerca de 40 km/h"
"Qual era o tamanho real de um Velociraptor?","Muito menor que nos filmes — do tamanho de um peru, ~2 metros incluindo a cauda"
"Qual dinossauro tinha o crânio mais espesso?","Pachycephalosaurus, com domo craniano de até 25 cm de espessura"
"Para que serviam as placas dorsais do Stegosaurus?","Provavelmente termorregulação e exibição, não armadura"
"Quantos chifres o Triceratops tinha?","Três — dois grandes sobre os olhos e um menor no nariz"
"O que é um coprólito?","Fezes fossilizadas de dinossauro, usadas para estudar sua dieta"
"Que répteis voadores viviam junto com os dinossauros?","Pterossauros (que não eram tecnicamente dinossauros)"
"Qual foi o maior réptil voador?","Quetzalcoatlus, com envergadura de ~10–11 metros"
"Qual dinossauro é conhecido pela vela nas costas?","Spinosaurus, que também era semiaquático"
"O Spinosaurus era maior que o T. rex?","Sim — estimado em 14–18 metros, contra 12 metros do T. rex"
"Qual pequeno dinossauro é famoso pela garra em foice?","Deinonychus (e seu parente Velociraptor)"
"Qual dinossauro tinha mais de 500 dentes em fileiras?","Nigersaurus, um saurópode da África"
"Onde foi descrito cientificamente o primeiro fóssil de dinossauro?","Inglaterra — Megalosaurus foi descrito por William Buckland em 1824"
"O que é o limite K-Pg?","A camada geológica que marca a extinção Cretáceo–Paleogeno (66 milhões de anos)"
"Qual dinossauro tinha a cauda mais longa?","Diplodocus, com cauda de até 14 metros — usada como chicote"
"Os dinossauros eram de sangue quente ou frio?","Evidências atuais sugerem que muitos eram mesotérmicos ou de sangue quente"
"Qual é o menor dinossauro conhecido?","O beija-flor-abelha é tecnicamente um dinossauro; entre não-avianos: Microraptor (~77 cm)"
"Em quais continentes foram encontrados fósseis de dinossauros?","Em todos os sete continentes, incluindo a Antártica"
