"front","back"
"¿Qué es ES6 (ECMAScript 2015)?","La 6ª edición del estándar ECMAScript, que introdujo importantes nuevas funcionalidades y sintaxis en JavaScript"
"¿Qué son las arrow functions en ES6?","Una sintaxis más corta para escribir funciones usando '=>', ej: const suma = (a, b) => a + b"
"¿Qué es 'let' en ES6?","Una declaración de variable con ámbito de bloque, limitando su visibilidad al bloque donde fue declarada"
"¿Qué es 'const' en ES6?","Una declaración de ámbito de bloque para variables cuya referencia no puede reasignarse tras la inicialización"
"¿Cuál es la diferencia entre 'let' y 'var'?","'let' tiene ámbito de bloque y no se eleva al inicio de su función; 'var' tiene ámbito de función y sí se eleva"
"¿Qué son los template literals en ES6?","Cadenas delimitadas por comillas invertidas (`) que permiten expresiones incrustadas con ${expresión}"
"¿Qué es la desestructuración (destructuring) en ES6?","Una sintaxis que desempaqueta valores de arrays o propiedades de objetos en variables distintas, ej: const {a, b} = obj"
"¿Qué son los parámetros por defecto en ES6?","Parámetros con valores predefinidos que se usan cuando no se proporciona argumento, ej: function saludar(nombre = 'Mundo')"
"¿Qué es el parámetro rest (...) en ES6?","Permite que una función acepte un número indefinido de argumentos como array, ej: function suma(...nums)"
"¿Qué es el operador spread (...) en ES6?","Expande un iterable (array, objeto) en elementos individuales, ej: const unido = [...arr1, ...arr2]"
"¿Qué son las clases ES6?","Azúcar sintáctico sobre la herencia basada en prototipos de JavaScript, con sintaxis más clara para constructor y métodos"
"¿Qué es la palabra clave 'extends' en ES6?","Se usa para crear una subclase (clase hija) que hereda de una clase padre"
"¿Qué es la palabra clave 'super' en ES6?","Hace referencia al constructor o métodos de la clase padre; se usa dentro de una subclase"
"¿Qué son las Promises en ES6?","Objetos que representan la eventual finalización o fallo de una operación asíncrona, con .then() y .catch()"
"¿Cuáles son los tres estados de una Promise?","Pendiente (inicial), Cumplida (completada con éxito) y Rechazada (fallida)"
"¿Qué es Promise.all()?","Método que recibe un array de promises y se resuelve cuando todas se cumplen, o se rechaza si alguna falla"
"¿Qué son los módulos ES6?","Un sistema para organizar código en archivos reutilizables usando instrucciones 'export' e 'import'"
"¿Qué hace 'export default' en ES6?","Exporta un único valor predeterminado de un módulo que puede importarse sin llaves"
"¿Qué es 'import' en ES6?","Una instrucción para traer valores exportados de otro módulo, ej: import { funcion } from './modulo'"
"¿Qué es el objeto Map en ES6?","Una colección de pares clave-valor donde las claves pueden ser de cualquier tipo (no solo cadenas)"
"¿Qué es el objeto Set en ES6?","Una colección de valores únicos — los duplicados se ignoran automáticamente"
"¿Qué son los Symbols en ES6?","Un tipo de dato primitivo para identificadores únicos e inmutables, creados con Symbol('descripcion')"
"¿Qué es la notación abreviada de objetos en ES6?","Cuando el nombre de la propiedad coincide con el de la variable, se puede escribir {nombre} en lugar de {nombre: nombre}"
"¿Qué son los nombres de propiedad calculados en ES6?","Permite usar expresiones como claves en literales de objeto, ej: { [nombreVar]: valor }"
"¿Qué es el bucle for...of en ES6?","Itera sobre objetos iterables (arrays, cadenas, Maps, Sets), ej: for (const item of array)"
"¿Cuál es la diferencia entre for...in y for...of?","for...in itera sobre las claves de un objeto; for...of itera sobre los valores de un iterable"
"¿Qué son los generators en ES6?","Funciones que pueden pausar su ejecución y reanudarla después, definidas con function* usando 'yield'"
"¿Qué es 'yield' en una función generator?","Pausa el generator y devuelve un valor; la ejecución se reanuda desde ese punto en la siguiente llamada .next()"
"¿Qué es el protocolo Iterator en ES6?","Una interfaz que requiere un método .next() que devuelve objetos {value, done} para recorrer una secuencia"
"¿Qué es Object.assign() en ES6?","Copia las propiedades enumerables propias de uno o más objetos fuente a un objeto destino"
"¿Qué es Array.from() en ES6?","Crea un nuevo array a partir de un objeto array-like o iterable, ej: Array.from('hola') → ['h','o','l','a']"
"¿Qué es Array.find() en ES6?","Devuelve el primer elemento del array que satisface una función de prueba, o undefined si no se encuentra"
"¿Qué es Array.includes() en ES6?","Devuelve true si el array contiene un elemento especificado, false en caso contrario"
