front,back
¿Cuándo se celebró el primer Campeonato Mundial de Fórmula 1?,1950
¿Dónde se celebró la primera carrera del Campeonato Mundial de Fórmula 1?,Circuito de Silverstone en el Reino Unido
¿Quién ganó el primer Campeonato Mundial de Fórmula 1?,Giuseppe Farina
¿Qué equipo ganó el primer Campeonato de Constructores?,Vanwall en 1958
¿Qué significa Fórmula 1?,La categoría más alta de carreras de monoplazas
¿Qué país ha albergado más carreras de Fórmula 1 históricamente?,Italia
¿Qué equipo ha competido en todas las temporadas de Fórmula 1?,Ferrari
¿Quién es conocido como "El Barón Rojo" en la Fórmula 1?,Michael Schumacher
¿Cuántos Campeonatos Mundiales ganó Michael Schumacher?,7
¿Qué piloto igualó los 7 títulos de Schumacher?,Lewis Hamilton
¿Quién ganó el primer Campeonato de Pilotos para Ferrari?,Alberto Ascari
¿En qué década la Fórmula 1 se convirtió en un deporte televisivo global?,Años 1970
¿Qué dispositivo de seguridad se volvió obligatorio después de 2018?,Protección de cabina Halo
¿Qué evento trágico llevó a grandes reformas de seguridad en 1994?,Muerte de Ayrton Senna
¿Quién es Ayrton Senna?,Tricampeón Mundial de Brasil
¿De qué país es Ayrton Senna?,Brasil
¿Qué equipo dominó a finales de los años 1980 con motor turbo Honda?,McLaren
¿Qué innovación introdujo Lotus a finales de los años 1970?,Aerodinámica de efecto suelo
¿Quién fundó el equipo Lotus F1?,Colin Chapman
¿Qué fabricante de motores dominó la era híbrida?,Mercedes
¿Cuándo comenzó la era turbo híbrida?,2014
¿Qué equipo dominó la Fórmula 1 de 2014 a 2020?,Mercedes
¿Quién ganó el Campeonato Mundial de Fórmula 1 de 2021?,Max Verstappen
¿Para qué equipo conduce Max Verstappen?,Red Bull Racing
¿Qué cambio de regla controvertido decidió el título de 2021?,Procedimiento de reinicio del Safety Car
¿Quién fue el primer campeón brasileño de Fórmula 1?,Emerson Fittipaldi
¿Qué piloto ganó títulos en 1972 y 1974?,Emerson Fittipaldi
¿Qué es el Campeonato de Constructores?,Título otorgado al mejor equipo
¿Qué circuito alberga el Gran Premio de Italia?,Monza
¿Por qué Monza se llama el Templo de la Velocidad?,Velocidades promedio de vuelta muy altas
¿Qué carrera es conocida como la más prestigiosa de la Fórmula 1?,Gran Premio de Mónaco
¿Qué hace único a Mónaco?,Circuito callejero con curvas estrechas
¿Qué equipo ha ganado más títulos de Constructores?,Ferrari
¿Quién fue el Campeón Mundial más joven de Fórmula 1?,Sebastian Vettel
¿A qué edad ganó Vettel su primer título?,23
¿Con qué equipo ganó Vettel sus títulos?,Red Bull Racing
¿Cuántos títulos consecutivos ganó Vettel?,4
¿Qué piloto dijo la famosa frase "Si ya no vas por un hueco..."?,Ayrton Senna
¿De qué color son tradicionalmente los coches de Ferrari?,Rojo
¿Cuál es el apodo de Ferrari?,El Cavallino Rampante
¿Qué empresa es dueña de la Fórmula 1 hoy?,Liberty Media
¿Cuándo adquirió Liberty Media la Fórmula 1?,2017
¿Cómo se llamaba la Fórmula 1 antes de los cambios de gobernanza de 1981?,FISA Formula One
¿Qué cambio de combustible ocurrió en 2022?,Cambio a combustible sostenible E10
¿Qué es parc fermé?,Área restringida donde los coches no pueden ser modificados
¿Qué significa DRS?,Sistema de Reducción de Arrastre
¿Cuándo se introdujo el DRS?,2011
¿Qué es la pole position?,Primera posición de salida en la parrilla
¿Quién tiene más pole positions en la historia?,Lewis Hamilton
¿Qué piloto sobrevivió a un accidente con fuego en 2020?,Romain Grosjean
¿Dónde ocurrió el accidente de Grosjean?,Gran Premio de Baréin
¿Qué estructura de seguridad salvó a Grosjean?,Halo
¿Qué país alberga el Gran Premio de Gran Bretaña?,Reino Unido
¿Qué circuito ha albergado más GPs de Gran Bretaña?,Silverstone
¿Qué es el calendario de Fórmula 1?,Lista de carreras en una temporada
¿Cuántas carreras son típicas en una temporada moderna de F1?,20-24
¿Qué nuevo formato de carrera se introdujo en 2021?,Sprint qualifying
¿Qué neumáticos se usan en la Fórmula 1?,Pirelli
¿Qué compuestos de neumáticos existen?,"Blando, Medio, Duro"
¿Qué bandera señala el fin de una carrera?,Bandera a cuadros
¿Qué bandera indica peligro?,Bandera amarilla
¿Quién fue el primer Campeón Mundial estadounidense de F1?,Ningún estadounidense ha ganado
¿Qué equipo introdujo el chasis de fibra de carbono?,McLaren
¿Cuándo se introdujeron los chasis de fibra de carbono?,1981
¿Qué configuración de motor dominó el inicio de la F1?,V8 y V12 aspirados naturalmente
¿Qué país ha producido más campeones de F1?,Reino Unido
¿Cuál es el organismo rector de la Fórmula 1?,FIA
¿Qué significa FIA?,Fédération Internationale de l'Automobile
¿Cuál es el propósito del límite de gastos?,Limitar el gasto de los equipos
¿Cuándo se introdujo el límite de gastos?,2021
¿Quién es considerado el mejor piloto de F1 por muchos?,"Ayrton Senna, Michael Schumacher o Lewis Hamilton"
