"front","back"
"What does SQL stand for?","Structured Query Language"
"What SQL command is used to retrieve data from a table?","SELECT"
"What SQL command is used to insert new rows into a table?","INSERT INTO"
"What SQL command is used to modify existing rows in a table?","UPDATE"
"What SQL command is used to remove rows from a table?","DELETE"
"What SQL command creates a new table?","CREATE TABLE"
"What SQL command removes an entire table and its data?","DROP TABLE"
"What clause filters rows returned by a SELECT query?","WHERE"
"What clause groups rows sharing a property in a SELECT query?","GROUP BY"
"What clause filters results of a GROUP BY aggregation?","HAVING"
"What clause sorts the result set of a query?","ORDER BY"
"What keyword removes duplicate rows from a SELECT result?","DISTINCT"
"What SQL function counts the number of rows?","COUNT()"
"What SQL function returns the highest value in a column?","MAX()"
"What SQL function returns the lowest value in a column?","MIN()"
"What SQL function returns the sum of a numeric column?","SUM()"
"What SQL function returns the average of a numeric column?","AVG()"
"What type of JOIN returns all matching rows from both tables?","INNER JOIN"
"What type of JOIN returns all rows from the left table even if no match in the right?","LEFT JOIN (LEFT OUTER JOIN)"
"What type of JOIN returns all rows from both tables?","FULL OUTER JOIN"
"What is a PRIMARY KEY?","A column (or set of columns) that uniquely identifies each row in a table"
"What is a FOREIGN KEY?","A column that references the PRIMARY KEY of another table, establishing a relationship"
"What is a NULL value in SQL?","A marker indicating that a value is unknown or missing"
"What operator checks for NULL values in SQL?","IS NULL"
"What SQL clause limits the number of rows returned?","LIMIT (MySQL/PostgreSQL) or TOP (SQL Server)"
"What does the LIKE operator do in SQL?","Searches for a specified pattern in a column using wildcards (% and _)"
"What is a SQL subquery?","A query nested inside another query, used to return data for the outer query"
"What does the IN operator do in SQL?","Tests whether a value matches any value in a list or subquery"
"What is an INDEX in SQL?","A database object that speeds up data retrieval on a table column"
"What does the ALIAS keyword AS do in SQL?","Renames a column or table with a temporary name for use in the query"
"What is a SQL VIEW?","A virtual table based on the result of a stored SELECT query"
"What is a SQL transaction?","A sequence of SQL statements executed as a single unit, ensuring data integrity"
"What does COMMIT do in a SQL transaction?","Saves all changes made during the current transaction permanently"
"What does ROLLBACK do in a SQL transaction?","Undoes all changes made during the current transaction"
