"front","back"
"O que significa CIA em cibersegurança?","Confidencialidade, Integridade e Disponibilidade — os três princípios centrais de segurança"
"O que é phishing?","Um ataque de engenharia social em que criminosos enganam usuários para revelar informações sensíveis por mensagens ou sites falsos"
"O que é autenticação multifator (MFA)?","Um método de login que exige dois ou mais fatores de verificação, como senha e código no celular"
"Qual é o principal objetivo de um firewall?","Monitorar e filtrar o tráfego de rede com base em regras de segurança, bloqueando acessos não autorizados"
"O que é malware?","Software malicioso criado para danificar sistemas, roubar dados ou interromper operações"
"O que é ransomware?","Um tipo de malware que criptografa arquivos e exige pagamento para descriptografá-los"
"O que significa VPN?","Rede Privada Virtual — um túnel criptografado que protege os dados em trânsito"
"O que é gestão de patches?","Processo de atualizar softwares para corrigir vulnerabilidades e melhorar a segurança"
"O que é uma vulnerabilidade zero-day?","Uma falha de software desconhecida pelo fornecedor ou sem correção disponível no momento da descoberta ou ataque"
"O que é o princípio do menor privilégio?","Conceder a usuários e sistemas apenas o acesso mínimo necessário para suas tarefas"
"O que é criptografia?","Processo de converter dados legíveis em texto codificado para que apenas partes autorizadas possam ler"
"Qual é a diferença entre vulnerabilidade e ameaça?","Vulnerabilidade é uma fraqueza; ameaça é um evento ou agente potencial que pode explorar essa fraqueza"
"O que é engenharia social?","Manipulação psicológica de pessoas para fazê-las revelar informações confidenciais ou executar ações inseguras"
"O que é ataque de força bruta?","Um ataque que testa muitas combinações de senha até encontrar a correta"
"O que é um gerenciador de senhas?","Ferramenta que armazena com segurança e gera senhas fortes e únicas"
"O que é proteção de endpoint?","Controles de segurança instalados em dispositivos como laptops e celulares para detectar e bloquear ameaças"
"O que é um ataque DDoS?","Negação de Serviço Distribuída — sobrecarregar um serviço com tráfego de muitas origens para torná-lo indisponível"
"O que é um incidente de segurança?","Um evento que compromete ou ameaça a confidencialidade, integridade ou disponibilidade"
"O que é IDS?","Sistema de Detecção de Intrusão — ferramenta que monitora tráfego e alerta sobre atividade suspeita"
"O que é IPS?","Sistema de Prevenção de Intrusão — ferramenta que detecta e bloqueia ativamente tráfego malicioso"
"O que é exfiltração de dados?","Transferência não autorizada de dados para fora da organização"
"Qual é o objetivo de um programa de conscientização em segurança?","Ensinar pessoas a reconhecer e evitar ameaças cibernéticas como phishing e comportamentos inseguros"
"O que é backup no contexto de cibersegurança?","Uma cópia segura de dados usada para restaurar sistemas após perda, corrupção ou ataque"
"Por que backups offline são importantes contra ransomware?","Porque backups desconectados da rede são mais difíceis de serem criptografados ou apagados"
"O que é segmentação de rede?","Dividir a rede em zonas menores para limitar o movimento do atacante e conter violações"
"O que significa SIEM?","Gerenciamento de Informações e Eventos de Segurança — coleta e análise centralizada de logs de segurança"
"O que é ameaça interna?","Risco causado por alguém dentro da organização, de forma maliciosa ou por negligência"
"O que é autenticação baseada em token?","Método em que sistemas emitem um token digital temporário após o login para verificar identidade"
"O que é uma política de segurança?","Conjunto documentado de regras e procedimentos para proteger sistemas e dados"
"O que é resposta a incidentes?","Processo estruturado para detectar, conter, erradicar, recuperar e aprender com incidentes de segurança"
