"front","back"
"Em quais anos ocorreu a Segunda Guerra Mundial?","1939–1945"
"Qual evento é considerado o início da Segunda Guerra Mundial?","Invasão alemã da Polônia em 1939"
"Quais países compunham as Potências do Eixo?","Alemanha, Itália e Japão"
"Quais países compunham as principais Potências Aliadas?","Estados Unidos, União Soviética, Reino Unido, França"
"Quem era o líder da Alemanha Nazista?","Adolf Hitler"
"Qual era a ideologia política da Alemanha Nazista?","Fascismo e Nazismo"
"Qual tratado encerrou oficialmente a Primeira Guerra Mundial?","Tratado de Versalhes"
"Por que o Tratado de Versalhes foi significativo para a Segunda Guerra Mundial?","Impôs penalidades severas à Alemanha"
"O que era Blitzkrieg?","Uma tática militar rápida usando tanques e aviões"
"Qual país foi invadido primeiro pela Alemanha na Segunda Guerra Mundial?","Polônia"
"O que foi a Guerra de Mentira?","Um período de pouco combate no início da Segunda Guerra Mundial"
"Qual batalha marcou a queda da França?","Batalha da França em 1940"
"Qual governo substituiu a França após sua derrota?","França de Vichy"
"Qual operação foi a invasão alemã da União Soviética?","Operação Barbarossa"
"Em que ano a Alemanha invadiu a União Soviética?","1941"
"Qual foi a maior batalha terrestre da Segunda Guerra Mundial?","Batalha de Stalingrado"
"Por que a Batalha de Stalingrado foi importante?","Marcou um ponto de virada contra a Alemanha"
"Quem liderou a União Soviética durante a Segunda Guerra Mundial?","Joseph Stalin"
"O que era a Frente Oriental?","O conflito entre Alemanha e União Soviética"
"Qual evento trouxe os Estados Unidos para a Segunda Guerra Mundial?","Ataque a Pearl Harbor"
"Quando Pearl Harbor foi atacado?","7 de dezembro de 1941"
"Qual país atacou Pearl Harbor?","Japão"
"Qual era o objetivo do ataque japonês a Pearl Harbor?","Enfraquecer a Frota do Pacífico dos EUA"
"O que foi o Dia D?","A invasão aliada da Normandia"
"Quando ocorreu o Dia D?","6 de junho de 1944"
"O que foi a Operação Overlord?","A invasão aliada da Europa Ocidental"
"Quais praias fizeram parte do Dia D?","Omaha, Utah, Gold, Juno, Sword"
"Quem foi o presidente dos EUA durante a maior parte da Segunda Guerra Mundial?","Franklin D. Roosevelt"
"O que foi o Projeto Manhattan?","O programa para desenvolver bombas atômicas"
"Quais cidades foram atingidas por bombas atômicas?","Hiroshima e Nagasaki"
"Quando as bombas atômicas foram lançadas sobre o Japão?","Agosto de 1945"
"Por que as bombas atômicas foram usadas?","Para forçar o Japão a se render"
"Quando a Alemanha se rendeu?","7 de maio de 1945"
"Quando o Japão se rendeu?","2 de setembro de 1945"
"O que foi o Dia VE?","Dia da Vitória na Europa"
"O que foi o Dia VJ?","Dia da Vitória sobre o Japão"
"O que foi o Holocausto?","O genocídio de seis milhões de judeus"
"Quem realizou o Holocausto?","Alemanha Nazista"
"O que eram campos de concentração?","Campos usados para prisão e extermínio"
"Cite um grande campo de concentração","Auschwitz"
"Qual grupo além dos judeus foi perseguido pelos nazistas?","Roma, deficientes, oponentes políticos"
"O que era a SS?","Uma organização paramilitar nazista"
"O que era a Gestapo?","A polícia secreta nazista"
"Quem foi Winston Churchill?","Primeiro-ministro do Reino Unido"
"Qual papel as mulheres desempenharam na Segunda Guerra Mundial?","Trabalho em fábricas, enfermagem, apoio militar"
"O que era o racionamento?","Limitação do consumo civil de bens"
"Para que a propaganda foi usada?","Influenciar a opinião pública"
"O que foi a Batalha da Grã-Bretanha?","Batalha aérea entre Alemanha e Reino Unido"
"Por que a Alemanha falhou na Batalha da Grã-Bretanha?","Forte defesa da RAF e radar"
"O que era a Luftwaffe?","Força aérea alemã"
"O que era a RAF?","Royal Air Force"
"O que foi a Carta do Atlântico?","Objetivos aliados para o mundo pós-guerra"
"O que foi Lend-Lease?","Ajuda dos EUA aos países aliados"
"O que foi o Gueto de Varsóvia?","Um distrito judeu isolado na Polônia"
"Qual era o propósito dos campos de internação nos EUA?","Deter japoneses-americanos"
"O que foram os Julgamentos de Nuremberg?","Julgamentos de líderes nazistas por crimes de guerra"
"O que é um crime de guerra?","Violações das leis de guerra"
"Qual organização foi formada após a Segunda Guerra Mundial?","Nações Unidas"
"Por que a ONU foi criada?","Promover paz e cooperação"
"O que foi a Guerra Fria?","Tensão pós-guerra entre EUA e URSS"
"Qual país sofreu mais baixas?","União Soviética"
"O que era a Cortina de Ferro?","Divisão entre Europa Ocidental e Oriental"
"Quais avanços tecnológicos vieram da Segunda Guerra Mundial?","Radar, foguetes, energia nuclear"
"O que foi a Operação Torch?","Invasão aliada do Norte da África"
"Quem foi Benito Mussolini?","Líder da Itália Fascista"
"Quando a Itália mudou de lado?","1943"
"O que foi a Batalha de Midway?","Uma grande vitória naval dos EUA sobre o Japão"
"Por que Midway foi significativa?","Mudou o poder no Pacífico"
"O que era island hopping?","Estratégia aliada no Pacífico"
"O que era kamikaze?","Ataques suicidas japoneses"
"O que encerrou a Segunda Guerra Mundial?","Rendição da Alemanha e do Japão"
