front,back
Quem inventou o basquete?,James Naismith em 1891 em Springfield, Massachusetts
Quantos jogadores estão em quadra por equipe?,5 jogadores
Quais são as dimensões de uma quadra de basquete da NBA?,28,7 m de comprimento por 15,2 m de largura
Qual é a altura de uma cesta de basquete regulamentar?,3,05 metros
Quantos pontos vale uma cesta de além do arco?,3 pontos
Quantos pontos vale um lance livre?,1 ponto
Quanto tempo dura um jogo da NBA?,48 minutos (quatro quartos de 12 minutos)
Quanto tempo dura o cronômetro de posse na NBA?,24 segundos
Quem ganhou mais campeonatos da NBA como jogador?,Bill Russell com 11 campeonatos
Quem é o maior pontuador de todos os tempos da NBA?,LeBron James
Quem tem mais prêmios de MVP na história da NBA?,Kareem Abdul-Jabbar com 6 MVPs
Qual time ganhou mais campeonatos da NBA?,Boston Celtics (18 campeonatos)
Quem é Michael Jordan?,Considerado por muitos o maior jogador de basquete, 6 títulos da NBA, 5 MVPs com o Chicago Bulls
O que é um triple-double?,Quando um jogador registra dois dígitos em três categorias estatísticas em um jogo
O que é a Loteria do Draft da NBA?,Sistema para determinar a ordem do draft para times que não chegaram aos playoffs
O que é March Madness?,O torneio de basquete da NCAA Divisão I realizado todo mês de março
O que é uma enterrada?,Pontuar pulando e colocando a bola diretamente através do aro
O que é o garrafão?,A área retangular perto da cesta, também chamada de lance livre
O que é um pick and roll?,Jogada ofensiva onde um jogador faz um bloqueio e depois se move em direção à cesta
Quem foi o primeiro jogador da NBA a marcar 100 pontos em um jogo?,Wilt Chamberlain (2 de março de 1962)
O que é a WNBA?,Women's National Basketball Association, fundada em 1996
O que significa andar no basquete?,Mover-se ilegalmente com a bola sem driblar
O que é duplo drible?,Driblar ilegalmente com as duas mãos ou parar e recomeçar um drible
Quem é o Dream Team?,A seleção olímpica de basquete dos EUA de 1992 com estrelas da NBA como Jordan, Bird e Magic
O que é a EuroLeague?,A principal competição profissional de basquete europeu
Quem ganhou mais campeonatos da WNBA?,Houston Comets e Seattle Storm (4 campeonatos cada)
O que é uma falta flagrante?,Uma falta grave envolvendo contato excessivo ou violento
O que é o arco de área restrita?,Um semicírculo sob a cesta onde defensores não podem sofrer faltas de ataque
Quem detém o recorde de mais pontos em um único jogo da NBA?,Wilt Chamberlain com 100 pontos
O que é um sexto homem?,O melhor jogador reserva de um time que sai do banco
