front,back
What is confirmation bias?,"The tendency to search for, interpret, and remember information that confirms one's preexisting beliefs"
What is the placebo effect?,"A beneficial effect produced by a treatment that cannot be attributed to the treatment itself, caused by the patient's belief in the treatment"
What is cognitive dissonance?,"Mental discomfort experienced when holding two conflicting beliefs, values, or attitudes simultaneously"
Who conducted the Stanford Prison Experiment?,"Philip Zimbardo in 1971"
What is the bystander effect?,"The phenomenon where individuals are less likely to help a victim when others are present"
What is classical conditioning?,"A learning process where a neutral stimulus becomes associated with an involuntary response, discovered by Ivan Pavlov"
What is operant conditioning?,"A learning method using rewards and punishments to modify behavior, developed by B.F. Skinner"
What is Maslow's hierarchy of needs?,"A motivational theory with five levels: physiological, safety, love/belonging, esteem, and self-actualization"
What is the Dunning-Kruger effect?,"A cognitive bias where people with limited competence overestimate their abilities"
What is the halo effect?,"The tendency for an impression in one area to influence opinion in another area (e.g., attractive people seen as more intelligent)"
What is short-term memory capacity?,"Typically 7±2 items (Miller's Law)"
What did Stanley Milgram's obedience experiments demonstrate?,"That ordinary people would follow orders to administer seemingly harmful electric shocks to others"
What is the fight-or-flight response?,"A physiological reaction to perceived threats, activating the sympathetic nervous system"
What is intrinsic motivation?,"Motivation driven by internal rewards like enjoyment or personal satisfaction, rather than external rewards"
What is Sigmund Freud's id, ego, and superego model?,"Three parts of personality: id (instincts), ego (reality), superego (morality)"
What is anchoring bias?,"The tendency to rely heavily on the first piece of information encountered when making decisions"
What is the mere exposure effect?,"The tendency to develop a preference for things simply because we are familiar with them"
What is learned helplessness?,"A condition where a person feels powerless after repeated failures, discovered by Martin Seligman"
What is REM sleep?,"Rapid Eye Movement sleep, associated with vivid dreaming and memory consolidation"
What is neuroplasticity?,"The brain's ability to reorganize itself by forming new neural connections throughout life"
What is emotional intelligence (EQ)?,"The ability to recognize, understand, and manage one's own emotions and the emotions of others"
What is the availability heuristic?,"A mental shortcut that relies on immediate examples that come to mind when evaluating a topic"
What is projection (defense mechanism)?,"Attributing one's own unacceptable thoughts or feelings to others"
What is the Stroop effect?,"Delayed reaction time when the color of a word differs from the word itself (e.g., the word 'RED' written in blue)"
Who is the father of modern psychology?,"Wilhelm Wundt, who established the first psychology laboratory in 1879"
What is the recency effect?,"The tendency to remember the most recently presented information best"
What is the primacy effect?,"The tendency to remember information presented first better than information presented later"
What is social loafing?,"The tendency for individuals to put in less effort when working in a group than when working alone"
What is the spotlight effect?,"The tendency to overestimate how much others notice our appearance or behavior"
What is observational learning?,"Learning by watching and imitating others, studied extensively by Albert Bandura"
