"front","back"
"Bonjour","Hello / Good morning"
"Bonsoir","Good evening"
"Bonne nuit","Good night"
"Au revoir","Goodbye"
"Salut","Hi / Bye (informal)"
"S'il vous plaît","Please (formal)"
"S'il te plaît","Please (informal)"
"Merci","Thank you"
"Merci beaucoup","Thank you very much"
"De rien","You're welcome"
"Excusez-moi","Excuse me (formal)"
"Pardon","Sorry / Pardon"
"Oui","Yes"
"Non","No"
"Comment vous appelez-vous ?","What is your name? (formal)"
"Je m'appelle...","My name is..."
"Comment allez-vous ?","How are you? (formal)"
"Ça va ?","How are you? (informal)"
"Ça va bien, merci","I'm fine, thank you"
"Je ne comprends pas","I don't understand"
"Parlez-vous anglais ?","Do you speak English?"
"Pouvez-vous répéter, s'il vous plaît ?","Can you repeat, please?"
"Où est la salle de bain ?","Where is the bathroom?"
"Combien ça coûte ?","How much does it cost?"
"L'addition, s'il vous plaît","The bill, please"
"Je voudrais...","I would like..."
"Avez-vous...?","Do you have...?"
"Je suis perdu(e)","I am lost"
"Appelez la police !","Call the police!"
"À quelle heure ?","At what time?"
"Où est...?","Where is...?"
"C'est délicieux !","It's delicious!"
