"front","back"
"O que é Microsoft Azure?","""Microsoft Azure é uma plataforma de computação em nuvem que fornece serviços como computação, armazenamento e rede."""
"O que é computação em nuvem?","Computação em nuvem é a entrega de serviços de computação pela internet em vez de em hardware local."
"Quais são os três principais modelos de serviço em nuvem?","IaaS, PaaS e SaaS."
"O que é IaaS?","Infraestrutura como Serviço fornece máquinas virtuais, rede e armazenamento."
"O que é PaaS?","Plataforma como Serviço fornece uma plataforma para desenvolvedores construírem e implantarem aplicações."
"O que é SaaS?","Software como Serviço entrega software pela internet por assinatura."
"Quais são os três modelos de implantação em nuvem?","Nuvem pública, privada e híbrida."
"O que é uma nuvem pública?","Uma nuvem pública é de propriedade de um provedor de nuvem e compartilhada entre clientes."
"O que é uma nuvem privada?","Uma nuvem privada é dedicada a uma única organização."
"O que é uma nuvem híbrida?","Uma nuvem híbrida combina nuvens públicas e privadas."
"O que é uma região Azure?","Uma região Azure é uma área geográfica com um ou mais data centers."
"O que é uma zona de disponibilidade Azure?","Uma zona de disponibilidade é um data center fisicamente separado dentro de uma região."
"O que é alta disponibilidade?","Alta disponibilidade garante que sistemas permaneçam operacionais com tempo de inatividade mínimo."
"O que é escalabilidade?","Escalabilidade é a capacidade de aumentar ou diminuir recursos conforme necessário."
"O que é elasticidade?","Elasticidade ajusta automaticamente recursos baseado em demanda."
"O que é tolerância a falhas?","Tolerância a falhas permite que sistemas continuem operando quando falhas ocorrem."
"O que é Azure Virtual Machine?","Azure VM é um serviço que fornece recursos de computação virtualizados sob demanda."
"O que é Azure App Service?","Azure App Service é um PaaS para hospedar apps web, APIs e backends móveis."
"O que é Azure Functions?","Azure Functions é um serviço de computação serverless."
"O que é computação serverless?","Computação serverless permite executar código sem gerenciar servidores."
"O que é Azure Storage?","Azure Storage fornece armazenamento em nuvem para objetos de dados, arquivos e filas."
"Quais são os tipos de Azure Storage?","Armazenamento Blob, File, Queue e Table."
"O que é Azure Blob Storage?","Armazenamento Blob armazena dados não estruturados como imagens e vídeos."
"O que é Azure File Storage?","Armazenamento File fornece sistemas de arquivos compartilhados na nuvem."
