"front","back"
"Qual é o maior país por área?","Rússia (17,1 milhões de km²)"
"Qual é o menor país por área?","Cidade do Vaticano (0,44 km²)"
"Qual é o país mais populoso?","Índia (mais de 1,4 bilhão de pessoas)"
"Qual país tem a costa mais longa?","Canadá (202.080 km)"
"Qual é o único país que abrange os quatro hemisférios?","Kiribati"
"Qual país é conhecido como a Terra do Sol Nascente?","Japão"
"Qual é o único país que faz fronteira com o Atlântico e o Oceano Índico na África?","África do Sul"
"Quais dois países são duplamente sem litoral (cercados apenas por países sem litoral)?","Liechtenstein e Uzbequistão"
"Qual é o mais novo país internacionalmente reconhecido?","Sudão do Sul (2011)"
"Qual país tem mais fusos horários?","França (12 fusos horários incluindo territórios ultramarinos)"
"Qual é o único país cujo nome começa com Q?","Catar"
"Qual país está na Europa e na Ásia?","Turquia (também Rússia e Cazaquistão)"
"Qual país tem mais Patrimônios Mundiais da UNESCO?","Itália (59 sítios)"
"Qual país africano nunca foi colonizado por potências europeias?","Etiópia (brevemente ocupada pela Itália 1936-1941)"
"Qual é o único país com uma bandeira não retangular?","Nepal"
"Qual país tem a maior densidade populacional?","Mônaco (cerca de 26.000 pessoas por km²)"
"Qual é o nome oficial da Coreia do Norte?","República Popular Democrática da Coreia (RPDC)"
"Qual país é conhecido como a Pérola da África?","Uganda"
"Qual país europeu tem mais fronteiras com outros países?","Alemanha (9 países fronteiriços)"
"Qual país produz mais café no mundo?","Brasil"
"Qual é o único país predominantemente cristão na Ásia?","Filipinas (também Timor-Leste)"
"Qual país abriga a antiga cidade de Petra?","Jordânia"
"Qual país tem o rio mais longo?","Egito (o Nilo - embora flua por vários países)"
"Qual país nórdico não faz parte da União Europeia?","Noruega (também Islândia)"
"Qual é o maior país sem litoral?","Cazaquistão"
"Qual país tem português como língua oficial na Ásia?","Timor-Leste"
"Qual país é conhecido como a Terra do Fogo e Gelo?","Islândia"
"Qual país tem mais ilhas?","Suécia (aproximadamente 267.570 ilhas)"
"Qual é o único país no Sudeste Asiático que nunca foi colonizado?","Tailândia"
"Qual país abrange mais graus de longitude?","Rússia"
