"front","back"
"¿Quién fue el primer europeo en llegar a la India por mar en 1498?","Vasco da Gama, un explorador portugués que navegó alrededor del Cabo de Buena Esperanza"
"¿Qué explorador lideró la primera expedición en circunnavegar el globo (1519-1522)?","Fernando de Magallanes (aunque murió en Filipinas; Juan Sebastián Elcano completó el viaje)"
"¿A quién se le atribuye el 'descubrimiento' de las Américas en 1492?","Cristóbal Colón, un navegante italiano al servicio de España, que llegó al Caribe"
"¿Qué explorador noruego lideró la primera expedición en alcanzar el Polo Sur en 1911?","Roald Amundsen, llegando el 14 de diciembre de 1911 — superando a Robert Falcon Scott por 34 días"
"¿Quién fue el primer europeo en llegar a Brasil en 1500?","Pedro Álvares Cabral, un navegante portugués que desembarcó cerca de la actual Porto Seguro"
"¿Qué explorador es conocido por cartografiar gran parte de la costa noroeste del Pacífico en América del Norte?","Capitán James Cook, un oficial de la Marina Real Británica que realizó tres viajes al Pacífico"
"¿Quién lideró la expedición del Cuerpo de Descubrimiento a través del oeste de Estados Unidos (1804-1806)?","Meriwether Lewis y William Clark"
"¿Qué mercader veneciano viajó por la Ruta de la Seda hasta China y sirvió en la corte de Kublai Khan?","Marco Polo, quien documentó sus viajes en 'Los Viajes de Marco Polo' (c. 1300)"
"¿Quién fue la primera persona en alcanzar el Polo Norte, tradicionalmente acreditada en 1909?","Robert Peary (aunque esta afirmación es disputada; Frederick Cook también afirmó haberlo alcanzado en 1908)"
"¿Qué príncipe portugués patrocinó muchos viajes de exploración a lo largo de la costa africana en el siglo XV?","Enrique el Navegante (Infante Dom Henrique), quien estableció una escuela de navegación en Sagres"
"¿Quién lideró la primera expedición europea en ver el Océano Pacífico desde las Américas en 1513?","Vasco Núñez de Balboa, un explorador español que cruzó el Istmo de Panamá"
"¿Qué explorador conquistó el Imperio Azteca en 1519-1521?","Hernán Cortés, un conquistador español que derrotó a Moctezuma II"
"¿Quién conquistó el Imperio Inca en 1532-1533?","Francisco Pizarro, un conquistador español que capturó al Emperador Atahualpa"
"¿Qué corsario inglés fue la segunda persona en circunnavegar el globo (1577-1580)?","Sir Francis Drake, a bordo del Golden Hind"
"¿Quién exploró el Río San Lorenzo y reclamó Canadá para Francia en la década de 1530?","Jacques Cartier, un navegante francés de Saint-Malo"
"¿Qué explorador le dio al Océano Pacífico su nombre en 1520?","Fernando de Magallanes, quien lo llamó 'Mar Pacífico' debido a sus aguas tranquilas"
"¿Quién fue el primer europeo en alcanzar la costa este de Australia en 1770?","Capitán James Cook, quien cartografió la costa y la reclamó para Gran Bretaña como Nueva Gales del Sur"
"¿Qué erudito marroquí es considerado uno de los mayores viajeros de la historia, recorriendo 120.000 km en el siglo XIV?","Ibn Battuta, quien viajó por África, Asia y Europa durante casi 30 años"
"¿Quién lideró la primera expedición exitosa a través del Paso del Noroeste (1903-1906)?","Roald Amundsen, a bordo del Gjøa"
"¿Qué almirante chino comandó enormes flotas del tesoro por el Océano Índico a principios de los años 1400?","Zheng He, un almirante de la dinastía Ming que lideró siete grandes expediciones"
"¿Quién fue la primera mujer en volar sola a través del Océano Atlántico en 1932?","Amelia Earhart, volando desde Terranova hasta Irlanda del Norte"
"¿Qué explorador descubrió la ruta marítima alrededor de la punta sur de África en 1488?","Bartolomé Díaz, un navegante portugués que rodeó el Cabo de Buena Esperanza"
"¿Quién lideró la expedición que primero alcanzó la cumbre del Monte Everest en 1953?","Edmund Hillary (Nueva Zelanda) y Tenzing Norgay (Nepal/Tíbet)"
"¿Qué explorador español buscó la Fuente de la Juventud y descubrió Florida en 1513?","Juan Ponce de León"
"¿Quién fue la primera persona en alcanzar el punto más profundo del océano, la Fosa de las Marianas, en 1960?","Jacques Piccard y Don Walsh, a bordo del batiscafo Trieste"
"¿Qué explorador vikingo se cree que llegó a América del Norte alrededor del año 1000 d.C.?","Leif Erikson, quien estableció un asentamiento en Vinland (probablemente Terranova, Canadá)"
"¿Quién exploró el Río Amazonas y fue el primer europeo en navegar toda su longitud en 1542?","Francisco de Orellana, un explorador español"
"¿Qué explorador británico buscó la fuente del Nilo y exploró el Lago Tanganica?","Richard Francis Burton y John Hanning Speke (décadas de 1850-1860)"
"¿Quién fue la primera persona en navegar en solitario alrededor del mundo (1895-1898)?","Joshua Slocum, un marinero canadiense-estadounidense a bordo del Spray"
"¿Qué explorador cartografió gran parte del interior de África y fue famosamente 'encontrado' por Henry Morton Stanley?","David Livingstone, un misionero y explorador escocés ('Dr. Livingstone, supongo?')"
