front,back
¿En qué años tuvo lugar la Segunda Guerra Mundial?,1939–1945
¿Qué evento se considera el inicio de la Segunda Guerra Mundial?,La invasión alemana de Polonia en 1939
¿Qué países formaban las Potencias del Eje?,Alemania, Italia y Japón
¿Qué países formaban las principales Potencias Aliadas?,Estados Unidos, Unión Soviética, Reino Unido, Francia
¿Quién era el líder de la Alemania Nazi?,Adolf Hitler
¿Cuál era la ideología política de la Alemania Nazi?,Fascismo y Nazismo
¿Qué tratado terminó oficialmente la Primera Guerra Mundial?,Tratado de Versalles
¿Por qué fue significativo el Tratado de Versalles para la Segunda Guerra Mundial?,Impuso penalizaciones severas a Alemania
¿Qué era Blitzkrieg?,Una táctica militar rápida usando tanques y aviones
¿Qué país fue invadido primero por Alemania en la Segunda Guerra Mundial?,Polonia
¿Qué fue la Guerra de Broma?,Un período de poco combate al inicio de la Segunda Guerra Mundial
¿Qué batalla marcó la caída de Francia?,Batalla de Francia en 1940
¿Qué gobierno reemplazó a Francia después de su derrota?,Francia de Vichy
¿Qué operación fue la invasión alemana de la Unión Soviética?,Operación Barbarroja
¿En qué año Alemania invadió la Unión Soviética?,1941
¿Cuál fue la mayor batalla terrestre de la Segunda Guerra Mundial?,Batalla de Stalingrado
¿Por qué fue importante la Batalla de Stalingrado?,Marcó un punto de inflexión contra Alemania
¿Quién lideró la Unión Soviética durante la Segunda Guerra Mundial?,Joseph Stalin
¿Qué era el Frente Oriental?,El conflicto entre Alemania y la Unión Soviética
¿Qué evento trajo a Estados Unidos a la Segunda Guerra Mundial?,Ataque a Pearl Harbor
¿Cuándo fue atacado Pearl Harbor?,7 de diciembre de 1941
¿Qué país atacó Pearl Harbor?,Japón
¿Cuál era el objetivo del ataque japonés a Pearl Harbor?,Debilitar la Flota del Pacífico de EE.UU.
¿Qué fue el Día D?,La invasión aliada de Normandía
¿Cuándo ocurrió el Día D?,6 de junio de 1944
¿Qué fue la Operación Overlord?,La invasión aliada de Europa Occidental
¿Qué playas fueron parte del Día D?,Omaha, Utah, Gold, Juno, Sword
¿Quién fue el presidente de EE.UU. durante la mayor parte de la Segunda Guerra Mundial?,Franklin D. Roosevelt
¿Qué fue el Proyecto Manhattan?,El programa para desarrollar bombas atómicas
¿Qué ciudades fueron alcanzadas por bombas atómicas?,Hiroshima y Nagasaki
¿Cuándo se lanzaron las bombas atómicas sobre Japón?,Agosto de 1945
¿Por qué se usaron las bombas atómicas?,Para forzar la rendición de Japón
¿Cuándo se rindió Alemania?,7 de mayo de 1945
¿Cuándo se rindió Japón?,2 de septiembre de 1945
¿Qué fue el Día VE?,Día de la Victoria en Europa
¿Qué fue el Día VJ?,Día de la Victoria sobre Japón
¿Qué fue el Holocausto?,El genocidio de seis millones de judíos
¿Quién llevó a cabo el Holocausto?,Alemania Nazi
¿Qué eran los campos de concentración?,Campos usados para prisión y exterminio
Nombra un gran campo de concentración,Auschwitz
¿Qué grupo además de los judíos fue perseguido por los nazis?,Romaníes, discapacitados, oponentes políticos
¿Qué era la SS?,Una organización paramilitar nazi
¿Qué era la Gestapo?,La policía secreta nazi
¿Quién fue Winston Churchill?,Primer ministro del Reino Unido
¿Qué papel desempeñaron las mujeres en la Segunda Guerra Mundial?,Trabajo en fábricas, enfermería, apoyo militar
¿Qué era el racionamiento?,Limitación del consumo civil de bienes
¿Para qué se usó la propaganda?,Influir en la opinión pública
¿Qué fue la Batalla de Gran Bretaña?,Batalla aérea entre Alemania y el Reino Unido
¿Por qué fracasó Alemania en la Batalla de Gran Bretaña?,Fuerte defensa de la RAF y radar
¿Qué era la Luftwaffe?,Fuerza aérea alemana
¿Qué era la RAF?,Royal Air Force
¿Qué fue la Carta del Atlántico?,Objetivos aliados para el mundo de posguerra
¿Qué fue Lend-Lease?,Ayuda de EE.UU. a los países aliados
¿Qué fue el Gueto de Varsovia?,Un distrito judío aislado en Polonia
¿Cuál era el propósito de los campos de internamiento en EE.UU.?,Detener a japoneses-estadounidenses
¿Qué fueron los Juicios de Núremberg?,Juicios de líderes nazis por crímenes de guerra
¿Qué es un crimen de guerra?,Violaciones de las leyes de guerra
¿Qué organización se formó después de la Segunda Guerra Mundial?,Naciones Unidas
¿Por qué se creó la ONU?,Promover paz y cooperación
¿Qué fue la Guerra Fría?,Tensión de posguerra entre EE.UU. y URSS
¿Qué país sufrió más bajas?,Unión Soviética
¿Qué era el Telón de Acero?,División entre Europa Occidental y Oriental
¿Qué avances tecnológicos vinieron de la Segunda Guerra Mundial?,Radar, cohetes, energía nuclear
¿Qué fue la Operación Torch?,Invasión aliada del Norte de África
¿Quién fue Benito Mussolini?,Líder de la Italia Fascista
¿Cuándo cambió Italia de bando?,1943
¿Qué fue la Batalla de Midway?,Una gran victoria naval de EE.UU. sobre Japón
¿Por qué fue significativa Midway?,Cambió el poder en el Pacífico
¿Qué era island hopping?,Estrategia aliada en el Pacífico
¿Qué era kamikaze?,Ataques suicidas japoneses
¿Qué terminó la Segunda Guerra Mundial?,Rendición de Alemania y Japón
