"front","back"
"¿Qué película de 1972 es considerada una de las mejores jamás hechas?","El Padrino"
"¿Quién dirigió ""El Padrino""?","Francis Ford Coppola"
"¿Quién interpretó a Vito Corleone en ""El Padrino""?","Marlon Brando"
"¿Quién interpretó a Michael Corleone?","Al Pacino"
"¿Qué película de 1975 hizo que el público tuviera miedo de entrar al agua?","Tiburón"
"¿Quién dirigió ""Tiburón""?","Steven Spielberg"
"¿Qué película de 1977 revolucionó el cine de taquilla?","Star Wars - Una Nueva Esperanza"
"¿Quién creó Star Wars?","George Lucas"
"¿Qué película de terror sci-fi de 1979 presentó un xenomorfo?","Alien - El Octavo Pasajero"
"¿Quién dirigió ""Alien""?","Ridley Scott"
"¿Qué película de 1971 presentó a Alex DeLarge y ultraviolencia?","La Naranja Mecánica"
"¿Quién dirigió ""La Naranja Mecánica""?","Stanley Kubrick"
"¿Qué película de 1974 protagonizó Jack Nicholson como detective?","Chinatown"
"¿Quién dirigió ""Chinatown""?","Roman Polanski"
"¿Qué película de 1976 lanzó la carrera de Sylvester Stallone?","Rocky"
"¿Qué película de guerra de 1979 retrató la Guerra de Vietnam?","Apocalypse Now"
"¿Quién dirigió ""Apocalypse Now""?","Francis Ford Coppola"
"¿Qué película de terror de 1973 presentó a una niña poseída?","El Exorcista"
"¿Quién dirigió ""El Exorcista""?","William Friedkin"
"¿Qué película de 1975 arrasó en los Oscar?","Atrapado Sin Salida"
"¿Quién protagonizó ""Atrapado Sin Salida""?","Jack Nicholson"
"¿Qué película de 1976 protagonizó Robert De Niro como taxista?","Taxi Driver"
"¿Quién dirigió ""Taxi Driver""?","Martin Scorsese"
"¿Qué película de 1971 presentó a Gene Hackman como detective?","Contacto en Francia"
"¿Qué película de 1972 presentó a Burt Reynolds en una canoa?","Deliverance"
"¿Qué película de 1978 protagonizó John Travolta bailando?","Fiebre del Sábado Noche"
"¿Qué musical de 1978 protagonizaron Olivia Newton-John y John Travolta?","Grease"
"¿Qué película de 1979 inició la franquicia Superman?","Superman"
"¿Quién interpretó a Superman en 1978?","Christopher Reeve"
"¿Qué término describe a los nuevos directores de Hollywood de los años 1970?","Nuevo Hollywood"
