"front","back"
"Who delivered the 'I Have a Dream' speech in 1963?","Martin Luther King Jr., during the March on Washington for Jobs and Freedom"
"What was the opening line of Lincoln's Gettysburg Address (1863)?","'Four score and seven years ago our fathers brought forth on this continent, a new nation, conceived in Liberty'"
"Who said 'We shall fight on the beaches' in 1940?","Winston Churchill, addressing the House of Commons after the Dunkirk evacuation"
"What speech did JFK give on January 20, 1961?","His inaugural address, famous for 'Ask not what your country can do for you — ask what you can do for your country'"
"Who delivered the 'I Am Prepared to Die' speech in 1964?","Nelson Mandela, at the Rivonia Trial in South Africa"
"What did FDR say about fear in his 1933 inaugural address?","'The only thing we have to fear is fear itself'"
"Who gave the 'Tear Down This Wall' speech in 1987?","Ronald Reagan, at the Brandenburg Gate in West Berlin"
"What was the Sermon on the Mount?","A collection of teachings by Jesus Christ, including the Beatitudes, recorded in the Gospel of Matthew"
"Who said 'Give me liberty, or give me death!' in 1775?","Patrick Henry, at the Second Virginia Convention"
"What famous speech did Sojourner Truth deliver in 1851?","'Ain't I a Woman?', at the Women's Convention in Akron, Ohio"
"Who delivered 'The Ballot or the Bullet' speech in 1964?","Malcolm X, at Cory Methodist Church in Cleveland, Ohio"
"What was the main message of Emmeline Pankhurst's 'Freedom or Death' speech (1913)?","That women's suffrage was worth fighting for, even at the cost of one's life"
"Who gave the 'Blood, Toil, Tears and Sweat' speech in 1940?","Winston Churchill, in his first speech as Prime Minister to the House of Commons"
"What did Mahatma Gandhi advocate in his 'Quit India' speech of 1942?","The immediate end of British rule in India through nonviolent civil disobedience"
"Who said 'That's one small step for man, one giant leap for mankind' in 1969?","Neil Armstrong, upon stepping onto the Moon's surface"
"What was the main theme of Chief Joseph's 'I Will Fight No More Forever' speech (1877)?","The surrender of the Nez Perce tribe after a long retreat, expressing exhaustion and sorrow"
"Who delivered the 'Yes We Can' speech in 2008?","Barack Obama, during the New Hampshire primary campaign"
"What famous speech did Queen Elizabeth I give in 1588?","The Tilbury Speech, rallying troops against the Spanish Armada: 'I have the body of a weak and feeble woman, but I have the heart and stomach of a king'"
"Who gave the 'Ich bin ein Berliner' speech in 1963?","John F. Kennedy, in West Berlin, expressing solidarity with the city's residents"
"What was the key message of Frederick Douglass's 'What to the Slave Is the Fourth of July?' (1852)?","That celebrating American freedom was hypocritical while millions remained enslaved"
"Who delivered the 'A Date Which Will Live in Infamy' speech in 1941?","Franklin D. Roosevelt, asking Congress to declare war after the attack on Pearl Harbor"
"What speech did Malala Yousafzai give at the United Nations in 2013?","A speech advocating for girls' education worldwide, saying 'One child, one teacher, one book, one pen can change the world'"
"Who said 'Mr. Gorbachev, open this gate!' before the more famous line about the wall?","Ronald Reagan, in the same 1987 Berlin speech"
"What was Abraham Lincoln's 'House Divided' speech about (1858)?","That the nation could not permanently endure half slave and half free"
"Who gave the 'Atoms for Peace' speech in 1953?","President Dwight D. Eisenhower, at the United Nations General Assembly"
"What was the significance of Nikita Khrushchev's 'Secret Speech' in 1956?","He denounced Stalin's cult of personality and purges before the 20th Congress of the Communist Party"
"Who delivered the 'Rivers of Blood' speech in 1968?","Enoch Powell, a controversial British speech opposing mass immigration"
"What speech did Susan B. Anthony give after being arrested for voting in 1873?","'Is It a Crime for a Citizen of the United States to Vote?', arguing the Constitution granted women suffrage"
"Who said 'The lady's not for turning' in 1980?","Margaret Thatcher, at the Conservative Party Conference, refusing to reverse her economic policies"
"What was the core message of Vaclav Havel's 'New Year's Address' in 1990?","A call for truth, moral renewal, and responsibility as Czechoslovakia transitioned from communism to democracy"
