"front","back"
"O que foi a Guerra Fria?","Conflito ideológico entre EUA e URSS sem guerra direta"
"Quando a Guerra Fria começou?","1947"
"Quando a Guerra Fria terminou?","1991 com a queda da União Soviética"
"Por que foi chamada de Guerra Fria?","Não houve conflito militar direto entre superpotências"
"Quais eram as duas ideologias opostas?","Capitalismo e comunismo"
"Quem liderava o bloco ocidental?","Estados Unidos"
"Quem liderava o bloco oriental?","União Soviética"
"O que era a Cortina de Ferro?","Divisão entre Europa Ocidental e Oriental"
"Quem cunhou o termo Cortina de Ferro?","Winston Churchill em 1946"
"O que era a Doutrina Truman?","Política dos EUA para conter o comunismo"
"O que era a contenção?","Estratégia para prevenir a expansão do comunismo"
"O que foi o Plano Marshall?","Programa de ajuda dos EUA para reconstruir a Europa Ocidental"
"Quando o Plano Marshall foi implementado?","1948"
"O que era a OTAN?","Organização do Tratado do Atlântico Norte, aliança militar"
"Quando a OTAN foi formada?","1949"
"O que era o Pacto de Varsóvia?","Aliança militar soviética com a Europa Oriental"
"Quando o Pacto de Varsóvia foi formado?","1955"
"O que foi o Bloqueio de Berlim?","Tentativa soviética de isolar Berlim Ocidental"
"Quando foi o Bloqueio de Berlim?","1948 a 1949"
"O que foi a Ponte Aérea de Berlim?","Resposta ocidental transportando suprimentos para Berlim por avião"
"O que era o Muro de Berlim?","Muro dividindo Berlim Oriental e Ocidental"
"Quando o Muro de Berlim foi construído?","1961"
"Quando o Muro de Berlim caiu?","1989"
"O que foi a Guerra da Coreia?","Conflito entre Coreia do Norte e Coreia do Sul"
"Quando foi a Guerra da Coreia?","1950 a 1953"
"Como a Guerra da Coreia terminou?","Armistício com a Coreia ainda dividida"
"Que paralelo divide a Coreia?","Paralelo 38"
"O que foi a Guerra do Vietnã?","Envolvimento dos EUA contra o Vietnã do Norte comunista"
"Quando o envolvimento dos EUA no Vietnã atingiu o pico?","Anos 1960 a 1975"
"Como a Guerra do Vietnã terminou?","Vitória comunista em 1975"
"O que era a teoria do dominó?","Crença de que se um país caísse no comunismo, outros seguiriam"
"O que foi a Revolução Cubana?","Derrubada de Batista por Castro em 1959"
"Quem foi Fidel Castro?","Líder comunista de Cuba"
"O que foi a invasão da Baía dos Porcos?","Tentativa fracassada dos EUA de derrubar Castro em 1961"
"O que foi a Crise dos Mísseis de Cuba?","Confronto sobre mísseis soviéticos em Cuba"
"Quando foi a Crise dos Mísseis de Cuba?","Outubro de 1962"
"Quem era o presidente dos EUA durante a crise?","John F. Kennedy"
"Quem era o líder soviético durante a crise?","Nikita Khrushchev"
"Quão perto o mundo chegou de uma guerra nuclear?","O ponto mais próximo durante a Crise dos Mísseis de Cuba"
"O que era MAD?","Destruição Mútua Assegurada"
"O que MAD preveniu?","Guerra nuclear direta entre superpotências"
"O que era a corrida armamentista?","Competição para construir mais armas nucleares"
"O que era a corrida espacial?","Competição pela supremacia na exploração espacial"
"O que foi o Sputnik?","Primeiro satélite artificial lançado pela URSS"
"Quando o Sputnik foi lançado?","1957"
"Quem foi o primeiro humano no espaço?","Yuri Gagarin em 1961"
"Quem foi o primeiro americano no espaço?","Alan Shepard em 1961"
"Quando os humanos pousaram na Lua pela primeira vez?","1969"
"Quem primeiro caminhou na Lua?","Neil Armstrong"
"O que foi a distensão?","Período de tensões reduzidas da Guerra Fria"
"Quando foi a distensão?","Anos 1970"
"O que foram os tratados SALT?","Conversações sobre Limitação de Armas Estratégicas"
"O que o SALT limitava?","Armas nucleares"
"O que foi a invasão soviética do Afeganistão?","Intervenção militar da URSS de 1979 a 1989"
"Como os EUA responderam à invasão do Afeganistão?","Boicotaram as Olimpíadas de 1980 e armaram rebeldes"
"Quem eram os Mujahideen?","Combatentes afegãos contra a ocupação soviética"
"Quem foi Ronald Reagan?","Presidente dos EUA que escalou a Guerra Fria"
"Qual era a abordagem de Reagan?","Acúmulo militar e retórica agressiva"
"O que foi Guerra nas Estrelas?","Iniciativa de Defesa Estratégica de defesa antimísseis"
"Quem foi Mikhail Gorbachev?","Último líder da União Soviética"
"O que era glasnost?","Política de abertura na URSS"
"O que era perestroika?","Reestruturação econômica na URSS"
"O que aconteceu na Europa Oriental em 1989?","Governos comunistas entraram em colapso"
"O que foi o movimento Solidariedade?","Sindicato polonês que desafiou o comunismo"
"Quem foi Lech Walesa?","Líder do movimento Solidariedade"
"O que aconteceu com a União Soviética em 1991?","Dissolveu-se em estados independentes"
"O que substituiu a União Soviética?","Federação Russa e outras repúblicas"
"O que era a KGB?","Agência de inteligência soviética"
"O que era a CIA?","Agência Central de Inteligência dos EUA"
"O que eram guerras por procuração?","Conflitos onde superpotências apoiavam lados opostos"
"O que foi o Medo Vermelho?","Medo de infiltração comunista nos EUA"
"O que foi o Macartismo?","Acusações anticomunistas nos EUA dos anos 1950"
"Quem foi Joseph McCarthy?","Senador que liderou investigações anticomunistas"
"O que era o Comitê de Atividades Antiamericanas da Câmara?","Órgão do Congresso investigando comunismo"
"O que foi a lista negra de Hollywood?","Proibição de supostos comunistas na indústria cinematográfica"
"O que foi o Movimento dos Não Alinhados?","Países não aliados a nenhuma superpotência"
"Quem liderou o Movimento dos Não Alinhados?","Índia, Iugoslávia e Egito"
"O que foi a Primavera de Praga?","Movimento de reforma na Tchecoslováquia em 1968"
"Como a URSS respondeu à Primavera de Praga?","Invasão militar"
"O que foi a Doutrina Brezhnev?","Direito soviético de intervir em países socialistas"
"O que foi a Revolução Húngara?","Levante contra o controle soviético em 1956"
"Como a URSS respondeu à Hungria?","Supressão militar"
"O que foi a ruptura sino-soviética?","Divisão entre China e União Soviética"
"Quem foi Mao Zedong?","Líder comunista da China"
"O que foi a Revolução Cultural?","Campanha radical de Mao na China"
"O que foram os Acordos de Helsinque?","Acordo de 1975 sobre direitos humanos e fronteiras"
"O que foi a Doutrina Reagan?","Apoio dos EUA a movimentos anticomunistas"
"O que encerrou a Guerra Fria?","Colapso econômico soviético e movimentos de reforma"
"Qual foi o significado da Guerra Fria?","Moldou a política global por quase 50 anos"
