"front","back"
"What is logic?","The study of valid reasoning and argumentation"
"What is a proposition?","A statement that is either true or false"
"What is a valid argument?","An argument where if the premises are true the conclusion must be true"
"What is a sound argument?","A valid argument with actually true premises"
"What is deductive reasoning?","Reasoning from general premises to a specific conclusion with certainty"
"What is inductive reasoning?","Reasoning from specific observations to general conclusions with probability"
"What is a syllogism?","A logical argument with two premises and a conclusion"
"What is modus ponens?","If P then Q; P is true; therefore Q is true"
"What is modus tollens?","If P then Q; Q is false; therefore P is false"
"What is the law of non-contradiction?","Something cannot be both true and false at the same time"
"What is the law of excluded middle?","A proposition must be either true or false with no third option"
"What is a logical fallacy?","An error in reasoning that undermines the logic of an argument"
"What is ad hominem?","Attacking the person making the argument rather than the argument itself"
"What is a straw man fallacy?","Misrepresenting someone's argument to make it easier to attack"
"What is a false dichotomy?","Presenting only two options when more exist"
"What is circular reasoning?","Using the conclusion as a premise in the argument"
"What is an appeal to authority?","Arguing something is true because an authority figure says so"
"What is the slippery slope fallacy?","Claiming one event will inevitably lead to extreme consequences without justification"
"What is a conjunction in logic?","A compound statement using AND (true only if both parts are true)"
"What is a disjunction in logic?","A compound statement using OR (true if at least one part is true)"
"What is negation?","The logical operation that reverses the truth value of a proposition"
"What is a conditional statement?","An if-then statement (if P then Q)"
"What is the converse of ""if P then Q""?","If Q then P (not logically equivalent to the original)"
"What is the contrapositive of ""if P then Q""?","If not Q then not P (logically equivalent to the original)"
"What is a tautology?","A statement that is true under all possible interpretations"
"What is a contradiction?","A statement that is false under all possible interpretations"
"What is predicate logic?","Logic that analyzes the internal structure of propositions using quantifiers and predicates"
"What is the universal quantifier?","Symbol ∀ meaning ""for all"" or ""for every"""
"What is the existential quantifier?","Symbol ∃ meaning ""there exists"" or ""for some"""
"What is a necessary condition?","A condition that must be true for something else to be true (Q is necessary for P: if P then Q)"
