"front","back"
"Who invented basketball?","James Naismith in 1891 in Springfield, Massachusetts"
"How many players are on a basketball court per team?","5 players"
"What are the dimensions of an NBA basketball court?","94 feet (28.7 m) long by 50 feet (15.2 m) wide"
"How high is a regulation basketball hoop?","10 feet (3.05 meters)"
"How many points is a shot from beyond the arc worth?","3 points"
"How many points is a free throw worth?","1 point"
"How long is an NBA game?","48 minutes (four 12-minute quarters)"
"How long is a shot clock in the NBA?","24 seconds"
"Who has won the most NBA championships as a player?","Bill Russell with 11 championships"
"Who is the NBA's all-time leading scorer?","LeBron James"
"Who has the most MVP awards in NBA history?","Kareem Abdul-Jabbar with 6 MVPs"
"What team has won the most NBA championships?","Boston Celtics (18 championships)"
"Who is Michael Jordan?","Considered by many the greatest basketball player, 6 NBA titles, 5 MVPs with Chicago Bulls"
"What is a triple-double?","When a player records double digits in three statistical categories in one game"
"What is the NBA Draft Lottery?","System to determine draft order for teams that didn't make playoffs"
"What is March Madness?","The NCAA Division I basketball tournament held every March"
"What is a slam dunk?","Scoring by jumping and putting the ball directly through the hoop"
"What is the paint or key?","The rectangular area near the basket, also called the lane"
"What is a pick and roll?","Offensive play where a player sets a screen then moves toward the basket"
"Who was the first NBA player to score 100 points in a game?","Wilt Chamberlain (March 2, 1962)"
"What is the WNBA?","Women's National Basketball Association, founded in 1996"
"What does traveling mean in basketball?","Moving illegally with the ball without dribbling"
"What is a double dribble?","Illegally dribbling with both hands or stopping and starting a dribble"
"Who is the Dream Team?","The 1992 US Olympic basketball team featuring NBA stars like Jordan, Bird, and Magic"
"What is EuroLeague?","The top-tier European professional basketball competition"
"Who has won the most WNBA championships?","The Houston Comets and Seattle Storm (4 championships each)"
"What is a flagrant foul?","A serious foul involving excessive or violent contact"
"What is the restricted area arc?","A semi-circle under the basket where defenders cannot draw charging fouls"
"Who holds the record for most points in a single NBA game?","Wilt Chamberlain with 100 points"
"What is a sixth man?","A team's best substitute player who comes off the bench"
