"front","back"
"¿Qué maravilla antigua era un faro en la isla de Faros en Egipto?","Faro de Alejandría — una de las Siete Maravillas del Mundo Antiguo, construido alrededor del 280 a.C., medía aproximadamente 100 metros de altura"
"¿Qué monumento italiano es famoso por su inclinación no intencional?","Torre de Pisa — campanario iniciado en 1173, se inclina debido al suelo blando, actualmente inclinado unos 4 grados"
"¿Cuál es el anfiteatro antiguo más grande jamás construido?","El Coliseo de Roma — completado en el 80 d.C., podía albergar 50,000-80,000 espectadores para combates de gladiadores"
"¿Qué monumento indio fue construido por Shah Jahan como mausoleo para su esposa?","Taj Mahal — mausoleo de mármol blanco en Agra, completado alrededor de 1653, considerado obra maestra de la arquitectura mogol"
"¿Cuál es el edificio más alto del mundo en 2024?","Burj Khalifa en Dubái — mide 828 metros de altura, completado en 2010, tiene 163 pisos"
"¿Qué antiguo templo griego en la Acrópolis estaba dedicado a Atenea?","El Partenón — construido entre 447-432 a.C. en Atenas, considerado el mejor ejemplo de arquitectura dórica"
"¿Qué famosa estructura conecta los distritos de Manhattan y Brooklyn?","Puente de Brooklyn — completado en 1883, primer puente colgante con cables de acero, diseñado por John Augustus Roebling"
"¿Qué arquitecto español diseñó la inacabada basílica de la Sagrada Familia?","Antoni Gaudí — construcción iniciada en 1882 en Barcelona, combina formas góticas y Art Nouveau"
"¿Cuál es la catedral gótica más grande del mundo?","Catedral de Sevilla en España — completada en el siglo XVI, construida en el sitio de una antigua mezquita"
"¿Qué monumento australiano tiene un distintivo diseño en forma de vela?","Ópera de Sídney — diseñada por Jørn Utzon, inaugurada en 1973, Patrimonio de la Humanidad de la UNESCO"
"¿Qué forma de templo mesopotámico antiguo se asemeja a una pirámide escalonada?","Zigurat — estructuras masivas aterrazadas construidas en la antigua Mesopotamia, servían como templos"
"¿Qué palacio francés fue la principal residencia real de 1682 a 1789?","Palacio de Versalles — originalmente un pabellón de caza, expandido por Luis XIV en un opulento complejo"
"¿Cuál es la muralla más larga jamás construida por humanos?","Gran Muralla China — más de 21,000 km incluyendo todas las ramificaciones, construida a lo largo de siglos desde el siglo VII a.C."
"¿Qué rascacielos de Nueva York fue el más alto del mundo durante casi 40 años?","Empire State Building — completado en 1931, medía 381 metros, mantuvo el récord hasta 1970"
"¿Qué antiguo monumento de piedra en Inglaterra consiste en un círculo de piedras verticales?","Stonehenge — monumento prehistórico construido en etapas desde alrededor de 3000-2000 a.C., propósito aún debatido"
"¿Qué torre fue construida como arco de entrada para la Feria Mundial de 1889?","Torre Eiffel en París — diseñada por Gustave Eiffel, originalmente 300 metros de altura, debía ser temporal"
"¿Cuál es el monumento religioso más grande del mundo?","Angkor Wat en Camboya — complejo de templos hindú-budista construido en el siglo XII, cubre 162.6 hectáreas"
"¿Qué monumento de San Francisco está pintado de 'Naranja Internacional'?","Puente Golden Gate — puente colgante completado en 1937, extensión total de 2,737 metros"
"¿Qué maravilla antigua era una tumba masiva para el faraón egipcio Keops?","Gran Pirámide de Guiza — construida alrededor del 2560 a.C., la más antigua de las Siete Maravillas y la única en pie"
"¿Qué edificio en Bilbao revitalizó la ciudad y fue pionero en la 'arquitectura de autor'?","Museo Guggenheim Bilbao — diseñado por Frank Gehry, inaugurado en 1997, conocido por sus curvas de titanio"
"¿Qué monumento ruso presenta coloridas cúpulas en forma de cebolla?","Catedral de San Basilio en Moscú — construida 1555-1561 por Iván el Terrible, tiene nueve capillas"
"¿Qué antigua ciudad jordana fue tallada en acantilados de color rosa rojizo?","Petra — antigua ciudad nabatea establecida alrededor del 312 a.C., famosa por su arquitectura excavada en roca"
"¿Cuál es la cúpula más grande construida antes del siglo XX?","Cúpula del Panteón en Roma — 43.3 metros de diámetro, construida alrededor del 125 d.C., hormigón sin refuerzo"
"¿Qué monumento londinense contiene las Cámaras del Parlamento?","Palacio de Westminster — edificio neogótico reconstruido tras el incendio de 1834, incluye la torre del Big Ben"
"¿Qué fortaleza medieval en Praga domina el río Moldava?","Castillo de Praga — el complejo de castillo antiguo más grande del mundo con unos 70,000 metros cuadrados"
"¿Qué rascacielos de Chicago fue pionero en el método de construcción con estructura de acero?","Home Insurance Building — construido en 1885, demolido en 1931, considerado el primer verdadero rascacielos"
"¿Qué antiguo teatro griego al aire libre tenía una acústica excepcional?","Teatro de Epidauro — construido en el siglo IV a.C., capacidad para 14,000 personas, susurros audibles desde el escenario"
"¿Qué monumento de Pekín fue el palacio imperial chino durante 500 años?","Ciudad Prohibida — construida 1406-1420, tiene 980 edificios, el complejo palaciego más grande del mundo"
"¿Qué castillo alemán inspiró el Castillo de la Bella Durmiente de Disney?","Castillo de Neuschwanstein — construido para Luis II de Baviera desde 1869, estilo neorrománico"
"¿Qué antigua ciudadela inca se encuentra en lo alto de los Andes peruanos?","Machu Picchu — construida alrededor de 1450 d.C. a 2,430 metros de altitud, redescubierta en 1911"
