front,back
¿Quién escribió "Orgullo y Prejuicio"?,Jane Austen
¿Quién escribió "1984"?,George Orwell
¿Quién escribió "Matar a un Ruiseñor"?,Harper Lee
¿Quién escribió "El Gran Gatsby"?,F. Scott Fitzgerald
¿Quién escribió "Cien Años de Soledad"?,Gabriel García Márquez
¿Quién escribió "Don Quijote"?,Miguel de Cervantes
¿Quién escribió "Guerra y Paz"?,León Tolstói
¿Quién escribió "Crimen y Castigo"?,Fiódor Dostoyevski
¿Quién escribió "La Divina Comedia"?,Dante Alighieri
¿Quién escribió "Hamlet"?,William Shakespeare
¿Qué movimiento literario enfatizaba la emoción y la naturaleza?,Romanticismo
¿Qué movimiento literario se enfocaba en la representación realista de la vida?,Realismo
¿Qué movimiento literario exploraba el subconsciente?,Modernismo
¿Qué es un soneto?,Un poema de 14 versos con un esquema de rima específico
¿Qué es una epopeya?,Un largo poema narrativo sobre hazañas heroicas
¿Qué es una alegoría?,Una historia con un significado moral o político oculto
¿Qué es el flujo de conciencia?,Técnica narrativa que representa los pensamientos de un personaje
¿Quién es considerado el padre de la literatura inglesa?,Geoffrey Chaucer
¿Cuál es la obra literaria más antigua conocida?,"La Epopeya de Gilgamesh, de la antigua Mesopotamia"
¿Quién escribió "La Odisea"?,Homero
¿Quién escribió "Los Miserables"?,Victor Hugo
¿Quién escribió "Anna Karenina"?,León Tolstói
¿Quién escribió "Moby Dick"?,Herman Melville
¿Quién escribió "Los Hermanos Karamázov"?,Fiódor Dostoyevski
¿Quién escribió "Cumbres Borrascosas"?,Emily Brontë
¿Quién escribió "Jane Eyre"?,Charlotte Brontë
¿Quién escribió "Frankenstein"?,Mary Shelley
¿Quién escribió "Drácula"?,Bram Stoker
¿Quién escribió "El Retrato de Dorian Gray"?,Oscar Wilde
¿Qué fue el Renacimiento de Harlem?,Movimiento cultural celebrando el arte y literatura afroamericana en los años 1920
¿Quién escribió "Beloved" (Amada)?,Toni Morrison
¿Quién escribió "El Color Púrpura"?,Alice Walker
¿Quién escribió "El Guardián entre el Centeno"?,J.D. Salinger
¿Quién escribió "Un Mundo Feliz"?,Aldous Huxley
¿Quién escribió "El Señor de las Moscas"?,William Golding
¿Qué es el realismo mágico?,Género que mezcla narrativa realista con elementos mágicos
¿Quién ganó el primer Premio Nobel de Literatura?,Sully Prudhomme en 1901
¿Quién escribió "En Busca del Tiempo Perdido"?,Marcel Proust
¿Quién escribió "Ulises"?,James Joyce
¿Quién escribió "La Señora Dalloway"?,Virginia Woolf
¿Qué fue la Generación Beat?,Movimiento literario de los años 1950 que rechazaba los valores tradicionales
¿Quién escribió "En el Camino"?,Jack Kerouac
¿Quién escribió "La Metamorfosis"?,Franz Kafka
¿Qué es la ficción distópica?,Ficción que representa una sociedad futura oscura y opresiva
¿Quién escribió "Fahrenheit 451"?,Ray Bradbury
¿Quién escribió "El Cuento de la Criada"?,Margaret Atwood
¿Qué es un bildungsroman?,Novela de formación sobre el crecimiento de un personaje
¿Quién escribió "Grandes Esperanzas"?,Charles Dickens
¿Quién escribió "Historia de Dos Ciudades"?,Charles Dickens
¿Quién escribió "El Viejo y el Mar"?,Ernest Hemingway
