"front","back"
"Qual é o maior órgão do corpo humano?","A pele, que cobre cerca de 1,7 metros quadrados em adultos"
"Quantos ossos tem o corpo humano adulto?","206 ossos"
"Qual é o menor osso do corpo humano?","O estribo, no ouvido médio"
"Qual é o maior osso do corpo humano?","O fêmur (osso da coxa)"
"Qual órgão produz insulina?","O pâncreas, especificamente as células beta nas ilhotas de Langerhans"
"Quais são as quatro câmaras do coração?","Átrio esquerdo, átrio direito, ventrículo esquerdo, ventrículo direito"
"Qual é a função das hemácias (glóbulos vermelhos)?","Transportar oxigênio dos pulmões para os tecidos e retornar dióxido de carbono aos pulmões"
"Quantos litros de sangue tem um adulto em média?","Cerca de 5 litros"
"Qual é o músculo mais longo do corpo humano?","O músculo sartório, que vai do quadril até o joelho"
"Quais são os três tipos de tecido muscular?","Músculo esquelético, liso e cardíaco"
"Qual é a função do cerebelo?","Coordenação dos movimentos, equilíbrio e controle motor fino"
"Qual órgão filtra o sangue e remove hemácias velhas?","O baço"
"Qual é a função do sistema linfático?","Drenar excesso de líquido dos tecidos, transportar gorduras e apoiar a defesa imunológica"
"Quantos pares de costelas o ser humano possui?","12 pares (24 costelas no total)"
"O que é a córnea?","A camada transparente na frente do olho que ajuda a focalizar a luz"
"Qual é a função do fígado?","Desintoxicação, síntese de proteínas, produção de bile e regulação do metabolismo"
"Quais são as duas divisões principais do sistema nervoso?","O sistema nervoso central (cérebro e medula espinhal) e o sistema nervoso periférico"
"O que é a traqueia?","Um tubo que conecta a laringe aos brônquios, transportando ar para os pulmões"
"Quantos lobos tem o pulmão direito?","Três lobos (o pulmão esquerdo tem dois)"
"O que é o diafragma?","Um músculo em forma de cúpula abaixo dos pulmões que contrai para puxar ar durante a respiração"
"Qual é a função das plaquetas?","Ajudar na coagulação do sangue e parar sangramentos em locais de ferimentos"
"A que o apêndice está ligado?","Ao ceco, que é o início do intestino grosso"
"Pelo que o hipotálamo é responsável?","Regular temperatura corporal, fome, sede, sono e liberação de hormônios"
"Qual é o papel dos rins?","Filtrar o sangue para remover resíduos, equilibrar eletrólitos e produzir urina"
"O que conecta músculos aos ossos?","Os tendões"
"O que conecta ossos a outros ossos?","Os ligamentos"
"Qual é a maior artéria do corpo?","A aorta"
"Quantas vértebras compõem a coluna vertebral humana?","33 vértebras (7 cervicais, 12 torácicas, 5 lombares, 5 sacrais fundidas, 4 coccígeas fundidas)"
"Qual é a função da vesícula biliar?","Armazenar e concentrar a bile produzida pelo fígado para a digestão de gorduras"
"Quais são as três camadas da pele?","Epiderme (externa), derme (média) e hipoderme (camada subcutânea)"
