front,back
What are the four Grand Slam tournaments?,Australian Open, French Open, Wimbledon, US Open
Which Grand Slam is played on grass?,Wimbledon
Which Grand Slam is played on clay?,French Open (Roland Garros)
What surface is the Australian Open played on?,Hard court
What surface is the US Open played on?,Hard court
What is a Grand Slam in tennis?,Winning all four major tournaments in a calendar year
Who has won the most men's Grand Slam singles titles?,Novak Djokovic with 24 titles
Who has won the most women's Grand Slam singles titles?,Margaret Court with 24 titles (Open Era: Serena Williams with 23)
What is the scoring sequence in tennis?,Love (0), 15, 30, 40, game
What is deuce?,When both players have 40 points (40-40)
What is advantage in tennis?,The point after deuce; next point wins the game
What is a set in tennis?,A unit of scoring, typically won by the first player to win 6 games with a 2-game lead
What is a tiebreak?,A special game played at 6-6 to decide a set, first to 7 points with 2-point lead
What is an ace?,A serve that the opponent cannot touch
What is a double fault?,Two consecutive serve faults, resulting in loss of point
What is a break of serve?,Winning a game when the opponent is serving
What is a volley?,Hitting the ball before it bounces
What is a groundstroke?,A forehand or backhand shot hit after the ball bounces
What is the baseline?,The back line at each end of the court
What is the no-man's land in tennis?,The area between the baseline and service line, considered a weak position
Who is Roger Federer?,Swiss player, 20 Grand Slam titles, considered one of the greatest ever
Who is Rafael Nadal?,Spanish player, 22 Grand Slam titles, dominant on clay
Who is Serena Williams?,American player, 23 Grand Slam singles titles in the Open Era
What is the Davis Cup?,Annual international team competition in men's tennis
What is the Fed Cup (Billie Jean King Cup)?,Annual international team competition in women's tennis
What is a let in tennis?,A serve that touches the net but lands in; the serve is replayed
What is match point?,A point that, if won, ends the match in favor of the leading player
What is the ATP?,Association of Tennis Professionals, governing body for men's professional tennis
What is the WTA?,Women's Tennis Association, governing body for women's professional tennis
What does seeding mean in tennis?,Ranking players in a tournament to prevent top players meeting early
