"front","back"
"O que é uma civilização?","Uma sociedade complexa com cidades e governo organizado"
"Onde as primeiras civilizações se desenvolveram?","Perto de rios em vales férteis"
"O que é a Mesopotâmia?","Terra entre os rios Tigre e Eufrates"
"O que significa Mesopotâmia?","Terra entre dois rios"
"Onde a Mesopotâmia está localizada hoje?","Iraque moderno"
"Quem eram os sumérios?","A primeira civilização na Mesopotâmia"
"O que os sumérios inventaram?","Escrita chamada cuneiforme"
"O que é cuneiforme?","Escrita em forma de cunha em tábuas de argila"
"O que eram zigurates?","Torres de templos escalonados sumérios"
"Quem foi Hamurabi?","Rei babilônico que criou um famoso código de leis"
"O que foi o Código de Hamurabi?","Um dos primeiros códigos de leis escritos"
"Qual princípio o Código de Hamurabi seguia?","Olho por olho"
"Quem eram os assírios?","Um império militarista da Mesopotâmia"
"Qual era a capital assíria?","Nínive"
"Quem eram os babilônios?","Civilização que construiu os Jardins Suspensos"
"O que eram os Jardins Suspensos?","Uma das Sete Maravilhas do Mundo Antigo"
"Onde o Egito Antigo se desenvolveu?","Ao longo do Rio Nilo"
"Por que o Nilo era importante?","Inundações anuais tornavam a terra fértil"
"Quem eram os faraós?","Reis-deuses egípcios"
"Para que as pirâmides foram construídas?","Túmulos para faraós"
"O que é a Grande Pirâmide de Gizé?","A maior pirâmide egípcia construída para Quéops"
"O que é a Esfinge?","Estátua de calcário com corpo de leão e cabeça humana"
"O que são hieróglifos?","Escrita pictórica do Egito Antigo"
"O que é a Pedra de Roseta?","Chave para decifrar hieróglifos"
"Quem foi Cleópatra?","Última faraó do Egito Antigo"
"O que era mumificação?","Preservação de corpos para a vida após a morte"
"Quem era o deus egípcio dos mortos?","Osíris"
"O que é o Livro dos Mortos?","Guia egípcio para a vida após a morte"
"Onde a civilização do Vale do Indo se desenvolveu?","Paquistão e Índia modernos"
"Quais eram as principais cidades do Vale do Indo?","Mohenjo-Daro e Harapa"
"O que era notável nas cidades do Indo?","Planejamento urbano avançado e saneamento"
"Onde a civilização chinesa antiga começou?","Ao longo do Rio Amarelo"
"Qual dinastia construiu a Grande Muralha?","Múltiplas dinastias, mas principalmente Qin e Ming"
"Quem foi Shi Huangdi?","Primeiro Imperador da China unificada"
"O que é o Exército de Terracota?","Soldados de argila enterrados com Shi Huangdi"
"O que é o Confucionismo?","Filosofia chinesa que enfatiza ética e ordem"
"Quem foi Confúcio?","Filósofo chinês que ensinou valores morais"
"O que é o Mandato do Céu?","Crença chinesa de que governantes precisam de aprovação divina"
"O que era a Rota da Seda?","Rota comercial conectando a China ao Ocidente"
"Onde a civilização grega se desenvolveu?","Península grega e ilhas do Egeu"
"Como eram chamadas as cidades-estado gregas?","Pólis"
"Pelo que Atenas era conhecida?","Democracia e filosofia"
"Pelo que Esparta era conhecida?","Força militar e disciplina"
"O que é democracia?","Governo pelo povo"
"Quem foi o pai da democracia?","Clístenes de Atenas"
"O que era o Partenon?","Templo para Atena na Acrópole"
"Quem lutou nas Guerras Persas?","Gregos contra o Império Persa"
"O que foi a Batalha de Maratona?","Vitória grega sobre a Pérsia em 490 a.C."
"O que foi a Batalha das Termópilas?","300 espartanos resistiram ao exército persa"
"Quem foi Alexandre, o Grande?","Rei macedônio que conquistou um vasto império"
"O que era a cultura helenística?","Mistura de culturas grega e oriental"
"Quem foi Sócrates?","Filósofo grego que usou método de questionamento"
"Quem foi Platão?","Aluno de Sócrates que escreveu A República"
"Quem foi Aristóteles?","Filósofo grego e tutor de Alexandre"
"O que Hipócrates contribuiu?","Pai da medicina e ética médica"
"Quem escreveu a Ilíada e a Odisseia?","Homero"
"O que eram os Jogos Olímpicos?","Competição atlética honrando Zeus"
"Onde a civilização romana começou?","Península Itálica ao longo do Rio Tibre"
"O que era a República Romana?","Governo romano com oficiais eleitos"
"O que era o Senado Romano?","Assembleia de cidadãos romanos ricos"
"Quem eram os cônsules?","Dois líderes eleitos da República Romana"
"O que eram as Guerras Púnicas?","Guerras entre Roma e Cartago"
"Quem foi Aníbal?","General cartaginês que cruzou os Alpes"
"Quem foi Júlio César?","General romano que se tornou ditador"
"Quando Júlio César foi assassinado?","44 a.C. nos Idos de Março"
"Quem foi Augusto?","Primeiro Imperador Romano"
"O que era a Pax Romana?","200 anos de paz e prosperidade romana"
"O que era o Coliseu?","Anfiteatro romano para lutas de gladiadores"
"O que eram aquedutos romanos?","Estruturas que levavam água às cidades"
"Qual língua os romanos falavam?","Latim"
"O que era a lei romana?","Sistema legal que influenciou a lei moderna"
"Por que o Império Romano caiu?","Invasões e problemas internos"
"Quando o Império Romano Ocidental caiu?","476 d.C."
"Pelo que os fenícios eram conhecidos?","Alfabeto e comércio marítimo"
"Onde ficava a Fenícia?","Líbano moderno"
"O que os fenícios inventaram?","O alfabeto que influenciou o grego e o latim"
"Quem eram os hebreus?","Povo antigo que desenvolveu o Judaísmo"
"O que é monoteísmo?","Crença em um único deus"
"Quem foi Abraão?","Patriarca do povo hebreu"
"Quem foi Moisés?","Líder que recebeu os Dez Mandamentos"
"O que é a Torá?","Texto sagrado do Judaísmo"
"Onde ficava o Reino de Israel?","Israel e Palestina modernos"
"Quem construiu o Primeiro Templo em Jerusalém?","Rei Salomão"
"O que foi o Cativeiro Babilônico?","Exílio dos judeus para a Babilônia"
