"front","back"
"What 2019 film became the highest-grossing movie of all time?","Avengers: Endgame"
"Who directed ""Avengers: Endgame""?","Anthony and Joe Russo"
"What 2010 Christopher Nolan film featured dreams within dreams?","Inception"
"What device extracted information from dreams in ""Inception""?","The PASIV device"
"What 2012 superhero team-up film broke box office records?","The Avengers"
"Who directed ""The Avengers"" (2012)?","Joss Whedon"
"What 2017 superhero film featured an Amazonian princess?","Wonder Woman"
"Who played Wonder Woman?","Gal Gadot"
"What 2018 Marvel film took place in Wakanda?","Black Panther"
"Who directed ""Black Panther""?","Ryan Coogler"
"What 2013 animated film featured a snowman named Olaf?","Frozen"
"What was the signature song from ""Frozen""?","Let It Go"
"What 2015 Star Wars film continued the saga?","The Force Awakens"
"Who directed ""Star Wars: The Force Awakens""?","J.J. Abrams"
"What 2014 film featured a drummer and an abusive instructor?","Whiplash"
"Who directed ""Whiplash""?","Damien Chazelle"
"What 2016 musical won 6 Oscars?","La La Land"
"Who directed ""La La Land""?","Damien Chazelle"
"What 2019 South Korean film won Best Picture?","Parasite"
"Who directed ""Parasite""?","Bong Joon-ho"
"What 2017 horror film featured a sunken place?","Get Out"
"Who directed ""Get Out""?","Jordan Peele"
"What 2014 space film featured Matthew McConaughey?","Interstellar"
"Who directed ""Interstellar""?","Christopher Nolan"
"What 2015 film won Best Picture about journalism?","Spotlight"
"What 2012 film won Best Picture about a CIA rescue?","Argo"
"Who directed ""Argo""?","Ben Affleck"
"What 2016 Marvel film featured heroes fighting each other?","Captain America: Civil War"
"What 2018 film featured a Bohemian Rhapsody?","Bohemian Rhapsody (about Queen)"
"What 2019 Pixar film featured Woody's final adventure?","Toy Story 4"
