front,back
O que é ética?,O ramo da filosofia que lida com princípios morais e o que é certo e errado
O que é metaética?,O estudo da natureza, fundamentos e significado dos julgamentos morais
O que é ética normativa?,O estudo de teorias éticas que prescrevem como devemos agir
O que é ética aplicada?,A aplicação de teorias éticas a questões específicas do mundo real
O que é utilitarismo?,A teoria de que a ação correta maximiza a felicidade ou bem-estar geral
Quem fundou o utilitarismo clássico?,Jeremy Bentham e John Stuart Mill
O que é o princípio de utilidade?,Ações são corretas se promovem felicidade e erradas se produzem infelicidade
O que é ética deontológica?,Ética focada em deveres e regras em vez de consequências
Quem desenvolveu o imperativo categórico?,Immanuel Kant
O que é o imperativo categórico (primeira formulação)?,Aja apenas segundo máximas que você poderia querer como leis universais
O que é o imperativo categórico (formulação da humanidade)?,Trate a humanidade nunca apenas como meio, mas sempre também como fim
O que é ética das virtudes?,Ética focada em desenvolver bons traços de caráter em vez de seguir regras
Quem é o fundador da ética das virtudes?,Aristóteles
O que é eudaimonia?,Florescimento humano ou bem-estar - o objetivo da vida segundo Aristóteles
O que é relativismo moral?,A visão de que verdades morais variam entre culturas ou indivíduos
O que é objetivismo moral?,A visão de que algumas verdades morais são universais e independentes de opinião
O que é o problema do bonde?,Um experimento mental sobre se é ético sacrificar um para salvar muitos
O que é a doutrina do duplo efeito?,Pode ser permitido causar dano como efeito colateral, mas não como meio
O que é sorte moral?,A forma como a sorte afeta o julgamento moral de ações e seus resultados
O que é consequencialismo?,A visão de que ações devem ser julgadas apenas por suas consequências
Qual é a diferença entre utilitarismo de ato e de regra?,Ato: julga a utilidade de cada ação; Regra: segue regras que geralmente maximizam utilidade
O que é teoria do contrato social?,A visão de que regras morais e políticas são baseadas em acordos entre indivíduos
Quem escreveu "Uma Teoria da Justiça"?,John Rawls
O que é o véu da ignorância?,O experimento mental de Rawls para determinar princípios justos de justiça
O que é o problema ser-dever?,A dificuldade de derivar conclusões morais de premissas factuais (Hume)
O que é autonomia moral?,A capacidade de tomar decisões morais baseadas no próprio raciocínio
O que é egoísmo ético?,A visão de que se deve agir em interesse próprio
O que é altruísmo?,Preocupação desinteressada pelo bem-estar dos outros
O que são deveres prima facie?,Deveres que são vinculantes a menos que superados por deveres mais fortes (W.D. Ross)
O que é a regra de ouro?,Trate os outros como você gostaria de ser tratado
