"front","back"
"Quando foi realizado o primeiro Campeonato Mundial de Fórmula 1?","1950"
"Onde foi realizada a primeira corrida do Campeonato Mundial de Fórmula 1?","Circuito de Silverstone no Reino Unido"
"Quem venceu o primeiro Campeonato Mundial de Fórmula 1?","Giuseppe Farina"
"Qual equipe venceu o primeiro Campeonato de Construtores?","Vanwall em 1958"
"O que significa Fórmula 1?","A categoria mais alta de corridas de monopostos"
"Qual país sediou mais corridas de Fórmula 1 historicamente?","Itália"
"Qual equipe competiu em todas as temporadas de Fórmula 1?","Ferrari"
"Quem é conhecido como ""O Barão Vermelho"" na Fórmula 1?","Michael Schumacher"
"Quantos Campeonatos Mundiais Michael Schumacher venceu?","7"
"Qual piloto igualou os 7 títulos de Schumacher?","Lewis Hamilton"
"Quem venceu o primeiro Campeonato de Pilotos pela Ferrari?","Alberto Ascari"
"Em que década a Fórmula 1 se tornou um esporte televisivo global?","Anos 1970"
"Qual dispositivo de segurança se tornou obrigatório após 2018?","Proteção de cockpit Halo"
"Qual evento trágico levou a grandes reformas de segurança em 1994?","Morte de Ayrton Senna"
"Quem é Ayrton Senna?","Tricampeão Mundial do Brasil"
"De qual país é Ayrton Senna?","Brasil"
"Qual equipe dominou o final dos anos 1980 com motor turbo Honda?","McLaren"
"Qual inovação a Lotus introduziu no final dos anos 1970?","Aerodinâmica de efeito solo"
"Quem fundou a equipe Lotus F1?","Colin Chapman"
"Qual fabricante de motores dominou a era híbrida?","Mercedes"
"Quando começou a era turbo híbrida?","2014"
"Qual equipe dominou a Fórmula 1 de 2014 a 2020?","Mercedes"
"Quem venceu o Campeonato Mundial de Fórmula 1 de 2021?","Max Verstappen"
"Para qual equipe Max Verstappen pilota?","Red Bull Racing"
"Qual mudança de regra controversa decidiu o título de 2021?","Procedimento de relargada do Safety Car"
"Quem foi o primeiro campeão brasileiro de Fórmula 1?","Emerson Fittipaldi"
"Qual piloto venceu títulos em 1972 e 1974?","Emerson Fittipaldi"
"O que é o Campeonato de Construtores?","Título concedido à melhor equipe"
"Qual circuito sedia o Grande Prêmio da Itália?","Monza"
"Por que Monza é chamada de Templo da Velocidade?","Velocidades médias de volta muito altas"
"Qual corrida é conhecida como a mais prestigiosa da Fórmula 1?","Grande Prêmio de Mônaco"
"O que torna Mônaco único?","Circuito de rua com curvas estreitas"
"Qual equipe ganhou mais títulos de Construtores?","Ferrari"
"Quem foi o Campeão Mundial mais jovem da Fórmula 1?","Sebastian Vettel"
"Com que idade Vettel venceu seu primeiro título?","23"
"Por qual equipe Vettel venceu seus títulos?","Red Bull Racing"
"Quantos títulos consecutivos Vettel venceu?","4"
"Qual piloto disse a famosa frase ""Se você não vai mais para uma brecha...""?","Ayrton Senna"
"Qual cor os carros da Ferrari tradicionalmente têm?","Vermelho"
"Qual é o apelido da Ferrari?","Cavalo Empinado"
"Qual empresa é dona da Fórmula 1 hoje?","Liberty Media"
"Quando a Liberty Media adquiriu a Fórmula 1?","2017"
"Como a Fórmula 1 era chamada antes das mudanças de governança de 1981?","FISA Formula One"
"Qual mudança de combustível aconteceu em 2022?","Mudança para combustível sustentável E10"
"O que é parc fermé?","Área restrita onde os carros não podem ser modificados"
"O que significa DRS?","Sistema de Redução de Arrasto"
"Quando o DRS foi introduzido?","2011"
"O que é pole position?","Primeira posição de largada no grid"
"Quem tem mais pole positions na história?","Lewis Hamilton"
"Qual piloto sobreviveu a um acidente com fogo em 2020?","Romain Grosjean"
"Onde ocorreu o acidente de Grosjean?","Grande Prêmio do Bahrein"
"Qual estrutura de segurança salvou Grosjean?","Halo"
"Qual país sedia o Grande Prêmio da Grã-Bretanha?","Reino Unido"
"Qual circuito sediou mais GPs da Grã-Bretanha?","Silverstone"
"O que é o calendário da Fórmula 1?","Lista de corridas em uma temporada"
"Quantas corridas são típicas em uma temporada moderna de F1?","20-24"
"Qual novo formato de corrida foi introduzido em 2021?","Sprint qualifying"
"Quais pneus são usados na Fórmula 1?","Pirelli"
"Quais compostos de pneu existem?","""Macio, Médio, Duro"""
"Qual bandeira sinaliza o fim de uma corrida?","Bandeira quadriculada"
"Qual bandeira indica perigo?","Bandeira amarela"
"Quem foi o primeiro Campeão Mundial americano de F1?","Nenhum americano venceu"
"Qual equipe introduziu o chassi de fibra de carbono?","McLaren"
"Quando os chassis de fibra de carbono foram introduzidos?","1981"
"Qual configuração de motor dominou o início da F1?","V8 e V12 aspirados naturalmente"
"Qual país produziu mais campeões de F1?","Reino Unido"
"Qual é o órgão regulador da Fórmula 1?","FIA"
"O que significa FIA?","Fédération Internationale de l'Automobile"
"Qual é o propósito do teto de gastos?","Limitar os gastos das equipes"
"Quando o teto de gastos foi introduzido?","2021"
"Quem é considerado o maior piloto de F1 por muitos?","""Ayrton Senna, Michael Schumacher ou Lewis Hamilton"""
