front,back
¿Qué es una célula?,La unidad estructural y funcional básica de todos los organismos vivos
¿Cuáles son los dos tipos principales de células?,Procariotas (sin núcleo) y eucariotas (con núcleo)
¿Qué es el ADN?,Ácido desoxirribonucleico - la molécula que transporta información genética
¿Qué es el ARN?,Ácido ribonucleico - ayuda a traducir el ADN en proteínas
¿Qué es la mitocondria?,El orgánulo que produce ATP (energía) para la célula - la "central eléctrica"
¿Qué es la fotosíntesis?,El proceso por el cual las plantas convierten la energía lumínica en energía química (glucosa)
¿Qué es la respiración celular?,El proceso de descomponer la glucosa para producir energía ATP
¿Qué es el ATP?,Trifosfato de adenosina - la principal moneda energética de las células
¿Qué es la mitosis?,División celular que produce dos células hijas idénticas
¿Qué es la meiosis?,División celular que produce cuatro células sexuales (gametos) genéticamente diferentes
¿Qué es un cromosoma?,Una estructura de ADN y proteínas que contiene información genética
¿Qué es un gen?,Un segmento de ADN que codifica una proteína o característica específica
¿Qué es un alelo?,Diferentes versiones del mismo gen
¿Cuál es la diferencia entre genotipo y fenotipo?,El genotipo es la composición genética; el fenotipo son las características observables
¿Qué es la selección natural?,El proceso donde los organismos con características favorables sobreviven y se reproducen más
¿Qué es la evolución?,Cambio en las características hereditarias de las poblaciones a lo largo de generaciones
¿Qué es la taxonomía?,La ciencia de clasificar y nombrar organismos
¿Cuáles son los dominios de la vida?,Bacteria, Archaea y Eukarya
¿Qué es la homeostasis?,El mantenimiento de condiciones internas estables en un organismo
¿Qué es el dogma central de la biología molecular?,ADN → ARN → Proteína (flujo de información genética)
¿Qué es una enzima?,Una proteína que cataliza (acelera) reacciones bioquímicas
¿De qué está hecha la membrana celular?,Una bicapa fosfolipídica con proteínas incrustadas
¿Qué es la ósmosis?,El movimiento de agua a través de una membrana semipermeable
¿Cuál es la diferencia entre respiración aeróbica y anaeróbica?,La aeróbica requiere oxígeno; la anaeróbica no
¿Cuáles son los cuatro tipos principales de macromoléculas biológicas?,Carbohidratos, lípidos, proteínas y ácidos nucleicos
¿Qué es CRISPR?,Una tecnología de edición genética que puede modificar secuencias de ADN
¿Qué es la biodiversidad?,La variedad de formas de vida en un ecosistema o en la Tierra
¿Qué es un ecosistema?,Una comunidad de organismos interactuando con su entorno físico
¿Qué es el ciclo del nitrógeno?,La circulación de nitrógeno a través de la atmósfera, el suelo y los organismos vivos
¿Qué es una mutación?,Un cambio en la secuencia de ADN
