"front","back"
"Sesgo de Confirmación","La tendencia a buscar, interpretar y recordar información que confirma nuestras creencias preexistentes mientras ignoramos evidencia contradictoria."
"Sesgo de Anclaje","Confiar demasiado en la primera información encontrada (el 'ancla') al tomar decisiones."
"Heurística de Disponibilidad","Sobreestimar la probabilidad de eventos basándose en la facilidad con que los ejemplos vienen a la mente, frecuentemente influenciados por recuerdos recientes o vívidos."
"Efecto Dunning-Kruger","Un sesgo cognitivo donde personas con conocimiento limitado sobreestiman su competencia, mientras los expertos tienden a subestimar la suya."
"Sesgo Retrospectivo","La tendencia a creer, después de que un evento ha ocurrido, que habríamos predicho o esperado el resultado ('Yo lo sabía')."
"Falacia del Costo Hundido","Continuar invirtiendo en algo debido a recursos previamente invertidos (tiempo, dinero, esfuerzo) en lugar de valor futuro."
"Efecto Arrastre","La tendencia a adoptar creencias o comportamientos porque muchas otras personas hacen lo mismo, independientemente de la evidencia."
"Sesgo de Negatividad","Dar más peso a experiencias o información negativa que a las positivas, incluso cuando son de igual intensidad."
"Efecto Halo","Dejar que un rasgo positivo (como atractivo o éxito) influya en nuestro juicio general de una persona o cosa."
"Efecto de Encuadre","Sacar diferentes conclusiones de la misma información dependiendo de cómo se presenta o 'enmarca'."
"Aversión a la Pérdida","La tendencia a preferir evitar pérdidas sobre adquirir ganancias equivalentes; perder $100 se siente peor que ganar $100 se siente bien."
"Sesgo de Optimismo","La creencia de que somos menos propensos a experimentar eventos negativos y más propensos a experimentar eventos positivos en comparación con otros."
"Sesgo de Autoservicio","Atribuir los éxitos a nuestras propias habilidades mientras culpamos a factores externos por los fracasos."
"Pensamiento de Grupo","Priorizar el consenso grupal sobre el pensamiento crítico, llevando a malas decisiones para evitar conflictos."
"Sesgo de Recencia","Dar más importancia a eventos o información reciente sobre datos más antiguos, incluso si los más antiguos son más relevantes."
"Sesgo del Status Quo","Preferir el estado actual de las cosas sobre el cambio, incluso cuando el cambio podría ser beneficioso."
"Error Fundamental de Atribución","Atribuir el comportamiento de otros a su carácter mientras atribuimos nuestro propio comportamiento a las circunstancias."
"Sesgo de Supervivencia","Enfocarse en ejemplos exitosos mientras se ignoran los fracasos, llevando a conclusiones falsas sobre qué lleva al éxito."
"Sesgo Endogrupal","Favorecer a miembros del propio grupo sobre aquellos en otros grupos, frecuentemente de manera inconsciente."
"Sesgo de Proyección","Asumir que otros comparten nuestras creencias, valores o estados emocionales actuales."
"Falacia de la Planificación","Subestimar el tiempo, costos y riesgos de acciones futuras mientras sobreestimamos sus beneficios."
"Maldición del Conocimiento","Dificultad para imaginar cómo es no saber algo una vez que ya lo sabes."
"Sesgo de Apoyo a la Elección","Atribuir retroactivamente características positivas a una opción elegida, mientras atribuimos características negativas a las opciones rechazadas."
"Efecto Foco","Sobreestimar cuánto otros notan nuestra apariencia, comportamiento o errores."
"Regla del Pico-Final","Juzgar experiencias basándose en cómo se sintieron en su pico y al final, en lugar del promedio de todos los momentos."
"Efecto de Mera Exposición","Desarrollar preferencia por cosas simplemente porque estamos familiarizados con ellas a través de exposición repetida."
"Sesgo del Punto Ciego","Reconocer sesgos cognitivos en otros mientras fallamos en verlos en nosotros mismos."
"Falacia del Jugador","Creer que eventos aleatorios pasados afectan la probabilidad de eventos aleatorios futuros (ej: 'Me toca ganar')."
"Sesgo de Autoridad","Dar más peso a las opiniones de figuras de autoridad, independientemente de la calidad real de su argumento."
"Sesgo de Riesgo Cero","Preferir eliminar completamente un pequeño riesgo en lugar de reducir el riesgo general en una cantidad mayor."
