front,back
Who invented the telephone in 1876?,Alexander Graham Bell
Who invented the light bulb (practical incandescent) in 1879?,Thomas Edison
Who invented the World Wide Web in 1989?,Tim Berners-Lee
Who invented the printing press around 1440?,Johannes Gutenberg
Who invented the steam engine (improved version) in 1769?,James Watt
Who invented dynamite in 1867?,Alfred Nobel
Who invented the radio in the 1890s?,Guglielmo Marconi
Who invented the airplane in 1903?,The Wright Brothers (Orville and Wilbur)
Who invented the automobile (first practical gas car) in 1885?,Karl Benz
Who invented the telescope in 1608?,Hans Lippershey
Who invented the microscope around 1590?,Hans and Zacharias Janssen
Who invented the phonograph in 1877?,Thomas Edison
Who invented alternating current (AC) electrical system?,Nikola Tesla
Who invented the polio vaccine in 1955?,Jonas Salk
Who invented penicillin in 1928?,Alexander Fleming
Who invented the cotton gin in 1794?,Eli Whitney
Who invented the sewing machine (practical version) in 1846?,Elias Howe
Who invented the zipper in 1893?,Whitcomb Judson
Who invented the ballpoint pen in 1938?,László Bíró
Who invented the microprocessor (Intel 4004) in 1971?,Ted Hoff and Federico Faggin
Who invented the transistor in 1947?,John Bardeen, Walter Brattain, and William Shockley
Who invented the laser in 1960?,Theodore Maiman
Who invented photography (daguerreotype) in 1839?,Louis Daguerre
Who invented the refrigerator (practical version) in 1834?,Jacob Perkins
Who invented the bicycle in 1817?,Karl von Drais
Who invented the elevator safety brake in 1852?,Elisha Otis
Who invented the diesel engine in 1893?,Rudolf Diesel
Who invented the barometer in 1643?,Evangelista Torricelli
Who invented the thermometer in 1714?,Daniel Gabriel Fahrenheit
Who invented the X-ray machine in 1895?,Wilhelm Röntgen
